kan_neurons,kan_grid,lamb,"embed_dim, num_heads",ACC,Conf_Mtx,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
12,8,0.001,"64, 2",0.9093406796455383,"[[403  25   7   6]
 [ 11 403   4   2]
 [  2  10  48   6]
 [  8   5  13 139]]",28,0.20283891260623932,0.7971611022949219,"V7: 0.25
V1: 0.21
V12: 0.21","V13: 0.33
V8: 0.30
V12: 0.29"
12,8,0.001,"64, 4",0.91300368309021,"[[400  29   6   6]
 [ 11 404   1   4]
 [  2  12  51   1]
 [  8   6   9 142]]",96,0.24286474287509918,0.7571352124214172,"V13: 0.28
V22: 0.21
V18: 0.20","V12: 0.28
V7: 0.25
V18: 0.25"
12,8,0.001,"64, 8",0.9020146727561951,"[[401  28   8   4]
 [ 13 393  11   3]
 [  3   7  54   2]
 [  9   5  14 137]]",37,0.21129915118217468,0.7887008786201477,"V12: 0.27
V22: 0.23
V7: 0.21","V12: 0.31
V17: 0.28
V15: 0.28"
12,8,0.001,"32, 2",0.9313187003135681,"[[416  16   4   5]
 [ 10 407   3   0]
 [  2   5  59   0]
 [  9   7  14 135]]",64,0.2637340724468231,0.7362659573554993,"V15: 0.21
V18: 0.20
V14: 0.18","V15: 0.31
V12: 0.28
V10: 0.24"
12,8,0.001,"32, 4",0.9358974099159241,"[[417  17   4   3]
 [  8 404   7   1]
 [  4   3  54   5]
 [ 10   1   7 147]]",103,0.2889917194843292,0.7110082507133484,"V22: 0.30
V13: 0.15
V14: 0.13","V12: 0.27
V17: 0.26
V18: 0.25"
12,8,0.001,"32, 8",0.9368131756782532,"[[416  16   5   4]
 [ 11 403   6   0]
 [  4   5  56   1]
 [  9   5   3 148]]",108,0.25695961713790894,0.7430403232574463,"V22: 0.31
V13: 0.13
V14: 0.12","V12: 0.30
V17: 0.28
V18: 0.27"
12,8,0.001,"16, 2",0.9056776762008667,"[[405  22   8   6]
 [ 15 394  11   0]
 [  2   5  56   3]
 [ 14   9   8 134]]",71,0.8734965920448303,0.12650342285633087,"V22: 0.24
V18: 0.15
V20: 0.14","V15: 0.29
V20: 0.27
V12: 0.25"
12,8,0.001,"16, 4",0.918498158454895,"[[412  18   6   5]
 [ 10 399  11   0]
 [  3   5  58   0]
 [ 10   7  14 134]]",40,0.8697542548179626,0.13024576008319855,"V14: 0.22
V13: 0.21
V18: 0.20","V15: 0.28
V10: 0.26
V12: 0.25"
12,8,0.001,"16, 8",0.9075091481208801,"[[406  22   5   8]
 [ 10 401   6   3]
 [  3   4  53   6]
 [ 11  13  10 131]]",96,0.8770226240158081,0.1229773759841919,"V22: 0.29
V14: 0.12
V13: 0.11","V10: 0.30
V15: 0.30
V20: 0.27"
6,7,1e-05,"64, 2",0.9285714030265808,"[[414  14   5   8]
 [ 14 394   7   5]
 [  2   9  55   0]
 [  8   3   3 151]]",102,0.057318929582834244,0.942681074142456,"V11: 0.26
V14: 0.25
V3: 0.23","V12: 0.30
V7: 0.26
V18: 0.24"
6,7,1e-05,"64, 4",0.9258241653442383,"[[406  27   5   3]
 [ 10 406   4   0]
 [  2   7  54   3]
 [  5   5  10 145]]",30,0.2518216371536255,0.7481783628463745,"V11: 0.26
V14: 0.25
V3: 0.23","V24: 0.32
V20: 0.32
V15: 0.30"
