kan_neurons,kan_grid,lamb,cnn_bottleneck_dim,ACC,Conf_Mtx,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
3,3,1e-05,1,0.7302452325820923,"[[124  59]
 [ 40 144]]",4,0.9999809265136719,1.908448030008003e-05,,
3,3,1e-05,2,0.7057220339775085,"[[121  62]
 [ 46 138]]",9,0.4267251491546631,0.5732748508453369,,
3,3,1e-05,3,0.7193460464477539,"[[128  55]
 [ 48 136]]",8,0.9083969593048096,0.09160301834344864,,
3,3,1e-05,4,0.7356948256492615,"[[127  56]
 [ 41 143]]",5,0.9761095643043518,0.023890450596809387,,
3,3,1e-05,5,0.7138964533805847,"[[125  58]
 [ 47 137]]",10,0.3027059733867645,0.6972940564155579,,
3,3,1e-05,6,0.7193460464477539,"[[119  64]
 [ 39 145]]",9,0.6229643821716309,0.37703564763069153,,
3,3,1e-05,7,0.7002724409103394,"[[115  68]
 [ 42 142]]",7,0.10707303881645203,0.8929269313812256,,
3,3,1e-05,9,0.7111716270446777,"[[116  67]
 [ 39 145]]",14,0.33710068464279175,0.6628992557525635,,
3,3,1e-05,12,0.7084468603134155,"[[127  56]
 [ 51 133]]",40,0.1230890080332756,0.8769109845161438,,
2,4,1e-07,1,0.7329699993133545,"[[134  49]
 [ 49 135]]",3,0.9999991059303284,9.240454801329179e-07,,
2,4,1e-07,2,0.7029972672462463,"[[117  66]
 [ 43 141]]",4,0.7885362505912781,0.2114637941122055,,
2,4,1e-07,3,0.7138964533805847,"[[132  51]
 [ 54 130]]",4,0.8469806909561157,0.15301932394504547,,
2,4,1e-07,4,0.7084468603134155,"[[121  62]
 [ 45 139]]",3,0.9407875537872314,0.05921245738863945,,
2,4,1e-07,5,0.7138964533805847,"[[126  57]
 [ 48 136]]",4,0.6727866530418396,0.327213317155838,,
2,4,1e-07,6,0.7084468603134155,"[[122  61]
 [ 46 138]]",6,0.7238086462020874,0.2761913537979126,,
5,6,1e-06,1,0.7057220339775085,"[[128  55]
 [ 53 131]]",14,0.48232826590538025,0.5176717638969421,,
5,6,1e-06,2,0.6975476741790771,"[[134  49]
 [ 62 122]]",30,0.7627385854721069,0.23726138472557068,,
5,6,1e-06,3,0.6784741282463074,"[[131  52]
 [ 66 118]]",6,0.8055063486099243,0.19449368119239807,,
5,6,1e-06,5,0.7138964533805847,"[[131  52]
 [ 53 131]]",16,0.6137409806251526,0.3862590193748474,,
5,6,1e-06,7,0.7002724409103394,"[[118  65]
 [ 45 139]]",9,0.3949700891971588,0.6050298810005188,,
5,6,1e-06,8,0.6866484880447388,"[[127  56]
 [ 59 125]]",49,0.45245856046676636,0.5475414991378784,,
5,6,1e-06,10,0.7029972672462463,"[[123  60]
 [ 49 135]]",7,0.4047142267227173,0.5952857136726379,,
5,6,1e-06,12,0.7166212201118469,"[[132  51]
 [ 53 131]]",16,0.3167225420475006,0.683277428150177,,
5,6,1e-06,13,0.7057220339775085,"[[117  66]
 [ 42 142]]",17,0.49650707840919495,0.5034928917884827,,
5,6,1e-06,15,0.6811988949775696,"[[116  67]
 [ 50 134]]",20,0.2692331373691559,0.7307668924331665,,
5,6,1e-06,17,0.6948229074478149,"[[121  62]
 [ 50 134]]",34,0.36935871839523315,0.6306413412094116,,
1,6,0.0001,1,0.7138964533805847,"[[137  46]
 [ 59 125]]",27,0.27533993124961853,0.7246600985527039,,
1,6,0.0001,2,0.6948229074478149,"[[123  60]
 [ 52 132]]",47,0.15738064050674438,0.8426193594932556,,
1,6,0.0001,3,0.7193460464477539,"[[128  55]
 [ 48 136]]",19,0.06981472671031952,0.9301852583885193,,
1,6,0.0001,4,0.7111716270446777,"[[130  53]
 [ 53 131]]",26,0.08330132067203522,0.916698694229126,,
1,6,0.0001,5,0.7247956395149231,"[[127  56]
 [ 45 139]]",12,0.21327371895313263,0.7867262959480286,,
1,6,0.0001,6,0.6866484880447388,"[[113  70]
 [ 45 139]]",12,0.1875869482755661,0.8124130368232727,,
