kan_neurons,kan_grid,lamb,hidden_dim,RMSE,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
2,4,1e-05,128,3.262477397918701,58,0.12067994475364685,0.8793200850486755,,
2,4,1e-05,64,4.209042072296143,4,0.0,1.0,,
2,4,1e-05,32,3.8055460453033447,4,0.0,1.0,,
2,4,1e-05,16,3.8351783752441406,4,0.0,1.0,,
2,4,1e-05,8,3.740232467651367,4,0.0,1.0,,
3,5,0.0001,128,3.8545539379119873,4,0.0,1.0,,
3,5,0.0001,64,3.749112844467163,4,0.0,1.0,,
3,5,0.0001,32,3.727137565612793,4,0.0,1.0,,
3,5,0.0001,16,3.9093244075775146,30,0.06976550072431564,0.9302344918251038,,
3,5,0.0001,8,3.7184057235717773,4,0.0,1.0,,
2,3,0.01,128,3.2743823528289795,79,0.3916812837123871,0.6083186864852905,,
2,3,0.01,64,3.269165515899658,79,0.7472715377807617,0.2527284324169159,,
2,3,0.01,32,3.2814114093780518,65,0.0005754870944656432,0.9994245171546936,,
2,3,0.01,16,3.803483724594116,4,0.0,1.0,,
2,3,0.01,8,3.275067090988159,63,0.003645240794867277,0.9963547587394714,,
4,4,0.01,128,3.2732508182525635,71,0.3758871555328369,0.6241129040718079,,
4,4,0.01,64,3.8108291625976562,4,0.0,1.0,,
4,4,0.01,32,3.7521190643310547,4,0.0,1.0,,
4,4,0.01,16,3.77238392829895,4,0.0,1.0,,
4,4,0.01,8,3.279722213745117,70,0.0015924309846013784,0.9984075427055359,,
