kan_neurons,kan_grid,lamb,hidden_dim,RMSE,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
2,4,1e-05,128,0.23836052417755127,83,0.014922552742064,0.9850775003433228,,
2,4,1e-05,64,0.2541514039039612,50,0.006009268574416637,0.9939907193183899,,
2,4,1e-05,32,0.22354936599731445,84,0.011088572442531586,0.9889113903045654,,
2,4,1e-05,16,0.23061440885066986,72,0.012605926021933556,0.9873940944671631,,
2,4,1e-05,8,0.21459922194480896,79,0.006176681257784367,0.9938232898712158,,
3,5,0.0001,128,0.24087777733802795,49,0.004517743363976479,0.9954822063446045,,
3,5,0.0001,64,0.23784153163433075,64,0.006600141525268555,0.9933998584747314,,
3,5,0.0001,32,0.22764407098293304,64,0.009301234968006611,0.9906988143920898,,
3,5,0.0001,16,0.22783693671226501,77,0.0038851466961205006,0.9961148500442505,,
3,5,0.0001,8,0.2206164449453354,74,0.006222492083907127,0.9937775135040283,,
1,6,1e-06,128,0.2357572764158249,75,0.0017792439321056008,0.9982207417488098,,
1,6,1e-06,64,0.3382110595703125,79,0.00033144475310109556,0.9996685981750488,,
1,6,1e-06,32,0.25296157598495483,70,0.010982639156281948,0.9890173673629761,,
1,6,1e-06,16,0.22310221195220947,80,0.0024019312113523483,0.9975980520248413,,
1,6,1e-06,8,0.22580331563949585,81,0.0001891350984806195,0.9998108744621277,,
7,4,1e-06,128,0.2845233380794525,72,0.0056383260525763035,0.9943616986274719,,
7,4,1e-06,64,0.24798926711082458,45,0.005051198415458202,0.9949488043785095,,
7,4,1e-06,32,0.23786050081253052,82,0.0028664746787399054,0.9971334934234619,,
7,4,1e-06,16,0.22248272597789764,79,0.018810803070664406,0.9811891913414001,,
7,4,1e-06,8,0.22773084044456482,76,0.012382341548800468,0.9876176714897156,,
2,4,1e-05,128,0.2359153926372528,60,0.009605524130165577,0.9903944730758667,,
2,4,1e-05,64,0.23095425963401794,59,0.004660326987504959,0.9953396916389465,,
2,4,1e-05,32,0.22658681869506836,66,0.015328792855143547,0.9846712350845337,,
2,4,1e-05,16,0.24109038710594177,68,0.0045223599299788475,0.9954776167869568,,
2,4,1e-05,8,0.2297545075416565,69,0.002845612121745944,0.9971543550491333,,
3,5,0.0001,128,0.24081513285636902,66,0.005932313855737448,0.9940676689147949,,
3,5,0.0001,64,0.25700733065605164,40,0.0026565254665911198,0.9973434805870056,,
3,5,0.0001,32,0.22441382706165314,56,0.010427412576973438,0.9895725846290588,,
3,5,0.0001,16,0.2226373702287674,66,0.003935585729777813,0.9960644245147705,,
3,5,0.0001,8,0.23340517282485962,29,0.003956472035497427,0.9960435628890991,,
2,3,0.01,128,0.24727079272270203,65,0.016027433797717094,0.9839724898338318,,
2,3,0.01,64,0.25230997800827026,26,0.0033359453082084656,0.9966639876365662,,
2,3,0.01,32,0.2560765743255615,69,0.00020446046255528927,0.9997954964637756,,
2,3,0.01,16,0.2666689455509186,45,0.0014018474612385035,0.9985981583595276,,
2,3,0.01,8,0.260942280292511,68,0.0003903527103830129,0.999609649181366,,
3,3,0.0001,128,0.23559679090976715,68,0.0050263977609574795,0.9949736595153809,,
3,3,0.0001,64,0.22121407091617584,68,0.006779036484658718,0.9932210445404053,,
3,3,0.0001,32,0.2350260466337204,55,0.00901744794100523,0.9909825921058655,,
3,3,0.0001,16,0.22494488954544067,62,0.015506019815802574,0.9844939708709717,,
3,3,0.0001,8,0.22770878672599792,25,0.00496504083275795,0.99503493309021,,
2,4,1e-05,128,0.6564111709594727,4,0.007833083160221577,0.9921668767929077,,
2,4,1e-05,128,0.701462984085083,4,0.003324625315144658,0.9966753721237183,,
2,4,1e-05,32,0.6461279988288879,4,0.004885721020400524,0.9951143264770508,,
2,4,1e-05,32,0.8080188035964966,4,0.005017352290451527,0.9949826598167419,,
2,4,1e-05,8,0.2618197798728943,23,0.002324876608327031,0.9976751208305359,,
2,4,1e-05,8,0.24849477410316467,26,0.024124933406710625,0.9758750796318054,,
3,5,0.0001,128,0.2986457347869873,29,0.003982278052717447,0.9960176944732666,,
3,5,0.0001,128,0.24614587426185608,28,0.004470273852348328,0.9955297112464905,,
3,5,0.0001,32,0.8361233472824097,3,0.0028779152780771255,0.9971221685409546,,
3,5,0.0001,32,0.7939256429672241,3,0.0037701602559536695,0.9962298274040222,,
3,5,0.0001,8,0.49795883893966675,4,0.0011887932196259499,0.9988111853599548,,
3,5,0.0001,8,0.47085174918174744,4,0.0016918721375986934,0.9983081221580505,,
4,3,0.01,128,0.274341881275177,39,0.0031066781375557184,0.9968934059143066,,
4,3,0.01,128,0.274341881275177,39,0.0031066781375557184,0.9968934059143066,,
4,3,0.01,32,0.6085391640663147,4,0.006429535336792469,0.9935704469680786,,
4,3,0.01,32,0.6085391640663147,4,0.006429535336792469,0.9935704469680786,,
4,3,0.01,8,0.3005512058734894,23,0.0010915350867435336,0.9989084601402283,,
4,3,0.01,8,0.2614539563655853,36,0.0010108596179634333,0.9989891648292542,,
3,5,0.01,128,0.28169822692871094,27,0.0016300122952088714,0.9983699321746826,,
3,5,0.01,128,0.30262964963912964,28,0.003155734855681658,0.9968442916870117,,
3,5,0.01,32,0.2660059332847595,27,0.007820707745850086,0.9921793341636658,,
3,5,0.01,32,0.2784198522567749,23,0.004905593115836382,0.9950944185256958,,
3,5,0.01,8,0.5600966811180115,4,0.0012870111968368292,0.9987130165100098,,
3,5,0.01,8,0.5366076827049255,4,0.001521762111224234,0.9984782338142395,,
