kan_neurons,kan_grid,lamb,"embed_dim, num_heads",ACC,Conf_Mtx,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
12,8,0.001,"64, 2",0.8919413685798645,"[[390  42   4   5]
 [ 13 402   5   0]
 [  3   9  46   8]
 [  8  10  11 136]]",178,0.2505294978618622,0.7494705319404602,,
12,8,0.001,"64, 4",0.8782051205635071,"[[382  41  10   8]
 [ 17 394   9   0]
 [  1  20  43   2]
 [  7   8  10 140]]",179,0.35658106207847595,0.6434189677238464,,
12,8,0.001,"64, 8",0.8818681240081787,"[[382  44  10   5]
 [ 17 395   8   0]
 [  1  16  46   3]
 [  7   8  10 140]]",161,0.2631935775279999,0.7368063926696777,,
12,8,0.001,"32, 2",0.8699633479118347,"[[390  39   7   5]
 [ 21 394   5   0]
 [  1  30  31   4]
 [  9  12   9 135]]",179,0.12333806604146957,0.8766619563102722,,
12,8,0.001,"32, 4",0.8699633479118347,"[[383  48   7   3]
 [ 27 381  11   1]
 [  0  14  49   3]
 [  3  13  12 137]]",169,0.3042605221271515,0.6957395076751709,,
12,8,0.001,"32, 8",0.8534798622131348,"[[362  69   8   2]
 [ 14 400   4   2]
 [  3  19  43   1]
 [  5  18  15 127]]",177,0.38400039076805115,0.6159995794296265,,
12,8,0.001,"16, 2",0.8855311274528503,"[[390  39   8   4]
 [ 18 391  11   0]
 [  0  16  47   3]
 [  7   7  12 139]]",165,0.5905606150627136,0.40943944454193115,,
12,8,0.001,"16, 4",0.8681318759918213,"[[383  44  10   4]
 [ 11 403   5   1]
 [  1  21  35   9]
 [  4  15  19 127]]",95,0.35772407054901123,0.6422759294509888,,
12,8,0.001,"16, 8",0.8836996555328369,"[[390  35  10   6]
 [ 12 403   3   2]
 [  2  19  37   8]
 [  7   8  15 135]]",178,0.41939643025398254,0.5806035399436951,,
12,8,0.001,"48, 6",0.8663003444671631,"[[381  46   9   5]
 [ 21 390   9   0]
 [  2  18  42   4]
 [  8  11  13 133]]",148,0.01265235710889101,0.9873476624488831,,
12,8,0.001,"24, 6",0.9139193892478943,"[[403  27   6   5]
 [ 12 403   4   1]
 [  1  10  52   3]
 [  9   7   9 140]]",153,0.639837920665741,0.3601621389389038,,
12,8,0.001,"12, 6",0.8571428656578064,"[[374  50  12   5]
 [ 27 386   6   1]
 [  2  16  42   6]
 [ 11   6  14 134]]",127,1.0,0.0,,
6,7,1e-05,"64, 2",0.9212453961372375,"[[407  23   4   7]
 [ 14 405   1   0]
 [  2   9  54   1]
 [  8   3  14 140]]",178,0.11983388662338257,0.8801661133766174,,
6,7,1e-05,"64, 4",0.8983516693115234,"[[403  31   1   6]
 [ 14 402   2   2]
 [  2  18  34  12]
 [ 10   6   7 142]]",172,0.1197565570473671,0.8802434802055359,,
6,7,1e-05,"64, 8",0.8791208863258362,"[[378  47  10   6]
 [ 12 400   5   3]
 [  1  14  51   0]
 [  9  12  13 131]]",173,0.17210592329502106,0.8278941512107849,,
6,7,1e-05,"32, 2",0.9093406796455383,"[[398  28   8   7]
 [ 11 404   5   0]
 [  1   7  54   4]
 [  6  11  11 137]]",173,0.36750227212905884,0.6324977278709412,,
6,7,1e-05,"32, 4",0.9313187003135681,"[[409  21   5   6]
 [ 11 407   2   0]
 [  3   8  54   1]
 [  9   5   4 147]]",173,0.28303131461143494,0.7169687151908875,,
6,7,1e-05,"32, 8",0.8836996555328369,"[[387  36  10   8]
 [ 19 396   5   0]
 [  5  13  47   1]
 [  6   7  17 135]]",166,0.06343939900398254,0.9365606307983398,,
6,7,1e-05,"16, 2",0.8782051205635071,"[[377  50  10   4]
 [ 17 400   3   0]
 [  2  15  48   1]
 [ 11   6  14 134]]",177,0.3263665735721588,0.6736334562301636,,
6,7,1e-05,"16, 4",0.8836996555328369,"[[387  36   8  10]
 [ 15 403   2   0]
 [  2  16  44   4]
 [  4  15  15 131]]",172,0.5500386357307434,0.4499613642692566,,
6,7,1e-05,"16, 8",0.8956043720245361,"[[397  27  12   5]
 [ 14 405   1   0]
 [  3  13  45   5]
 [  8   8  18 131]]",131,0.4806969165802002,0.5193031430244446,,
6,7,1e-05,"48, 6",0.9093406796455383,"[[401  32   2   6]
 [ 14 401   5   0]
 [  3   5  55   3]
 [ 10   3  16 136]]",169,0.32847464084625244,0.6715253591537476,,
6,7,1e-05,"24, 6",0.8782051205635071,"[[386  44   2   9]
 [ 18 393   9   0]
 [  4  13  46   3]
 [  6   8  17 134]]",178,0.2728993892669678,0.7271006107330322,,
6,7,1e-05,"12, 6",0.8809523582458496,"[[386  41   8   6]
 [ 22 394   4   0]
 [  3  12  48   3]
 [ 14   7  10 134]]",114,0.6101181507110596,0.3898818790912628,,
