kan_neurons,kan_grid,lamb,cnn_bottleneck_dim,ACC,Conf_Mtx,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
4,3,1e-06,1,0.7084468603134155,"[[129  54]
 [ 53 131]]",1,0.9209451079368591,0.07905491441488266,"Bid_Close: 2.44
Ask_Open: 1.69
Ask_Close: 1.38","Ex3: 0.60
Ex4: 0.55
Ex5: 0.55"
4,3,1e-06,2,0.7111716270446777,"[[118  65]
 [ 41 143]]",7,0.37496861815452576,0.6250313520431519,"Bid_Close: 0.62
Ask_High: 0.49
Ask_Close: 0.41","Ex2: 0.79
Ask_Low: 0.69
Ask_High: 0.35"
4,3,1e-06,4,0.7111716270446777,"[[114  69]
 [ 37 147]]",5,0.26141247153282166,0.7385875582695007,"Bid_Close: 0.28
Bid_Open: 0.27
Ask_Low: 0.22","Ask_High: 0.83
Ask_Volume: 0.75
Ex1: 0.73"
4,3,1e-06,6,0.7220708131790161,"[[124  59]
 [ 43 141]]",9,0.26882073283195496,0.7311792969703674,"Bid_Close: 0.28
Bid_Open: 0.21
Ask_Low: 0.21","Ex2: 0.69
Ask_Low: 0.64
Ex6: 0.36"
4,3,1e-06,8,0.7138964533805847,"[[120  63]
 [ 42 142]]",9,0.08723639696836472,0.9127635955810547,"Bid_Close: 0.48
Ask_Low: 0.35
Ask_Close: 0.34","Ex2: 0.75
Ask_Low: 0.68
Bid_Close: 0.42"
4,3,1e-06,10,0.7029972672462463,"[[125  58]
 [ 51 133]]",9,0.18610353767871857,0.8138964772224426,"Bid_Close: 0.46
Ask_Low: 0.31
Bid_Low: 0.27","Ask_Low: 0.21
Ex2: 0.16
Bid_Close: 0.05"
4,3,1e-06,12,0.6866484880447388,"[[140  43]
 [ 72 112]]",10,0.32705429196357727,0.6729457378387451,"Bid_Close: 0.56
Ask_Close: 0.39
Bid_Low: 0.18","Ask_Low: 0.44
Ex2: 0.33
Bid_Close: 0.32"
3,5,0.0001,1,0.7166212201118469,"[[133  50]
 [ 54 130]]",5,0.9989519119262695,0.0010480389464646578,"Bid_Close: 3.28
Bid_High: 2.90
Ask_Close: 2.47","Ex4: 0.59
Ex5: 0.59
Ex6: 0.48"
3,5,0.0001,2,0.7111716270446777,"[[131  52]
 [ 54 130]]",7,0.9331668019294739,0.06683314591646194,"Bid_Close: 2.55
Ask_Close: 2.39
Ask_High: 1.24","Ex1: 0.47
Ask_Volume: 0.44
Ask_Close: 0.40"
3,5,0.0001,3,0.7166212201118469,"[[117  66]
 [ 38 146]]",7,0.35631391406059265,0.6436861157417297,"Ask_Close: 0.70
Bid_Close: 0.59
Bid_Open: 0.53","Ask_High: 0.70
Ask_Volume: 0.69
Ex1: 0.65"
3,5,0.0001,6,0.7084468603134155,"[[122  61]
 [ 46 138]]",11,0.3141912519931793,0.6858087778091431,"Ask_Close: 0.55
Bid_Close: 0.50
Ask_Open: 0.50","Ex2: 0.48
Bid_Close: 0.38
Ask_Low: 0.32"
