kan_neurons,kan_grid,lamb,alpha,ACC,Conf_Mtx,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
3,3,1e-05,0.75,0.6784741282463074,"[[ 98  85]
 [ 33 151]]",11,0.024225542321801186,0.9757744669914246,"Ask_High: 0.57
Bid_Low: 0.56
Bid_Open: 0.50","Ex1: 0.76
Ask_Volume: 0.68
Ex2: 0.48"
3,3,1e-05,0.5,0.6866484880447388,"[[109  74]
 [ 41 143]]",5,0.03795062005519867,0.9620493650436401,"Ask_Close: 0.86
Bid_Open: 0.59
Bid_Close: 0.52","Ex2: 0.72
Bid_Close: 0.48
Ask_Low: 0.48"
3,3,1e-05,0.25,0.6948229074478149,"[[133  50]
 [ 62 122]]",3,0.16332381963729858,0.8366761803627014,"Ask_Close: 0.45
Bid_Open: 0.39
Ask_Low: 0.35","Ask_Low: 0.71
Ex2: 0.66
Bid_Close: 0.50"
3,3,1e-05,0.1,0.7166212201118469,"[[117  66]
 [ 38 146]]",8,0.06086143106222153,0.9391385316848755,"Ask_Close: 1.00
Bid_Open: 0.65
Bid_High: 0.64","Ex4: 0.67
Ex5: 0.67
Ex1: 0.65"
3,3,1e-05,0.05,0.6893733143806458,"[[117  66]
 [ 48 136]]",4,0.08522320538759232,0.9147768020629883,"Ask_Low: 0.30
Bid_Open: 0.26
Bid_Low: 0.26","Ex2: 0.52
Ex6: 0.45
Ex1: 0.22"
2,4,1e-07,0.75,0.7302452325820923,"[[118  65]
 [ 34 150]]",6,0.01554377842694521,0.9844562411308289,"Bid_Close: 0.84
Ask_High: 0.62
Ask_Open: 0.50","Ex1: 0.91
Ask_Volume: 0.88
Ask_High: 0.72"
2,4,1e-07,0.5,0.6811988949775696,"[[131  52]
 [ 65 119]]",23,0.08915602415800095,0.9108439683914185,"Bid_Close: 7.45
Bid_High: 5.01
Ask_High: 4.29","Ex4: 0.49
Ex5: 0.49
Ask_Close: 0.42"
2,4,1e-07,0.25,0.7057220339775085,"[[110  73]
 [ 35 149]]",3,0.09183668345212936,0.9081633687019348,"Bid_Close: 5.20
Ask_Open: 3.20
Bid_Low: 2.62","Ask_High: 0.65
Ex1: 0.63
Ask_Volume: 0.61"
2,4,1e-07,0.1,0.7002724409103394,"[[135  48]
 [ 62 122]]",5,0.12647779285907745,0.8735222220420837,"Bid_Close: 5.02
Ask_Open: 2.86
Bid_Low: 2.24","Ex6: 0.26
Bid_Open: 0.20
Ex2: 0.16"
2,4,1e-07,0.05,0.6757493019104004,"[[113  70]
 [ 49 135]]",6,0.06688006222248077,0.9331200122833252,"Bid_Close: 3.82
Ask_Open: 2.11
Bid_Low: 2.05","Ex4: 0.51
Ex5: 0.51
Ex2: 0.39"
4,3,1e-06,0.75,0.6948229074478149,"[[120  63]
 [ 49 135]]",5,0.009692479856312275,0.9903075098991394,"Bid_Close: 1.03
Ask_Open: 0.82
Bid_High: 0.66","Ex4: 0.65
Ex5: 0.65
Ex3: 0.45"
4,3,1e-06,0.5,0.6348773837089539,"[[127  56]
 [ 78 106]]",12,0.009111488237977028,0.9908884763717651,"Ask_Low: 2.20
Ask_Open: 1.64
Ask_High: 1.57","Ex1: 0.35
Ask_Close: 0.35
Ask_Volume: 0.34"
4,3,1e-06,0.25,0.664850115776062,"[[145  38]
 [ 85  99]]",3,0.03705153986811638,0.9629484415054321,"Ask_Open: 0.83
Ask_Low: 0.72
Bid_Close: 0.69","Ask_Low: 0.33
Ex3: 0.22
Ex2: 0.15"
4,3,1e-06,0.1,0.6539509296417236,"[[116  67]
 [ 60 124]]",25,0.03808125853538513,0.9619187116622925,"Ask_Open: 0.69
Ask_Low: 0.61
Bid_Close: 0.52","Ask_Close: 0.52
Bid_Volume: 0.34
Bid_Open: 0.29"
4,3,1e-06,0.05,0.6839237213134766,"[[126  57]
 [ 59 125]]",3,0.018300971016287804,0.9816990494728088,"Ask_Open: 0.78
Bid_Close: 0.75
Ask_Low: 0.62","Ask_Close: 0.37
Ex3: 0.27
Ex1: 0.26"
3,5,0.0001,0.75,0.7057220339775085,"[[116  67]
 [ 41 143]]",8,0.00297829182818532,0.9970216751098633,"Bid_High: 0.96
Ask_Low: 0.77
Bid_Close: 0.68","Ask_Close: 0.66
Ex1: 0.59
Ask_Volume: 0.57"
