kan_neurons,kan_grid,lamb,hidden_dim,ACC,Conf_Mtx,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
3,3,1e-05,128,0.7084468603134155,"[[117  66]
 [ 41 143]]",35,0.015013132244348526,0.9849868416786194,"Bid_Open: 0.46
Ask_Low: 0.42
Bid_Low: 0.41","Ex2: 0.54
Ask_Low: 0.34
Bid_Close: 0.34"
3,3,1e-05,64,0.6621253490447998,"[[107  76]
 [ 48 136]]",4,0.0,1.0,"Bid_Open: 0.77
Bid_Low: 0.72
Ask_Low: 0.60","Ex2: 0.74
Ex4: 0.69
Ex5: 0.69"
3,3,1e-05,32,0.692098081111908,"[[135  48]
 [ 65 119]]",4,0.0,1.0,"Bid_Open: 0.84
Bid_Low: 0.76
Ask_Low: 0.68","Ex2: 0.75
Ask_Low: 0.60
Bid_Close: 0.31"
3,3,1e-05,16,0.6757493019104004,"[[104  79]
 [ 40 144]]",38,0.007962574250996113,0.9920374751091003,"Ask_High: 1.26
Bid_Low: 1.12
Bid_Close: 1.10","Ex6: 0.44
Ex4: 0.44
Ex5: 0.44"
3,3,1e-05,8,0.692098081111908,"[[136  47]
 [ 66 118]]",14,0.007637642789632082,0.992362380027771,"Ask_High: 0.73
Bid_Close: 0.72
Bid_Open: 0.71","Ask_Close: 0.25
Ask_Volume: 0.25
Ex2: 0.24"
2,4,1e-07,128,0.6839237213134766,"[[103  80]
 [ 36 148]]",6,0.07169530540704727,0.9283046722412109,"Bid_Close: 4.09
Ask_Open: 2.31
Bid_Open: 1.60","Ask_Close: 0.69
Ask_Volume: 0.60
Ex1: 0.58"
2,4,1e-07,64,0.6975476741790771,"[[112  71]
 [ 40 144]]",39,0.027441877871751785,0.9725581407546997,"Bid_Close: 0.55
Ask_High: 0.51
Ask_Open: 0.50","Ex1: 0.71
Ex2: 0.62
Ask_Volume: 0.58"
2,4,1e-07,32,0.692098081111908,"[[131  52]
 [ 61 123]]",28,0.010524115525186062,0.9894759058952332,"Bid_Close: 0.58
Ask_High: 0.57
Ask_Open: 0.54","Ex2: 0.46
Ask_Close: 0.30
Ask_Low: 0.26"
2,4,1e-07,16,0.7111716270446777,"[[134  49]
 [ 57 127]]",12,0.06758152693510056,0.9324184656143188,"Bid_Close: 6.25
Bid_High: 4.30
Ask_High: 4.14","Ex3: 0.36
Ex4: 0.34
Ex5: 0.34"
2,4,1e-07,8,0.7057220339775085,"[[130  53]
 [ 55 129]]",9,0.034492652863264084,0.9655073285102844,"Bid_Close: 1.28
Ask_Open: 0.74
Ask_High: 0.65","Ask_Low: 0.26
Ex2: 0.25
Ask_High: 0.21"
4,3,1e-06,128,0.6757493019104004,"[[112  71]
 [ 48 136]]",4,0.0,1.0,"Bid_Close: 0.87
Ask_Open: 0.70
Bid_High: 0.57","Ex2: 0.89
Ask_Low: 0.60
Bid_Close: 0.40"
4,3,1e-06,64,0.7138964533805847,"[[115  68]
 [ 37 147]]",10,0.001258123549632728,0.998741865158081,"Bid_Close: 0.71
Ask_Open: 0.68
Bid_Low: 0.55","Ex2: 0.83
Ask_Low: 0.55
Ex1: 0.41"
4,3,1e-06,32,0.6702997088432312,"[[ 95  88]
 [ 33 151]]",4,0.0,1.0,"Ask_Open: 0.78
Bid_Close: 0.69
Bid_Low: 0.55","Ex1: 0.95
Ask_Volume: 0.89
Ask_Close: 0.77"
4,3,1e-06,16,0.6893733143806458,"[[116  67]
 [ 47 137]]",6,0.0019791298545897007,0.9980208873748779,"Bid_Close: 0.72
Ask_Open: 0.67
Bid_Low: 0.55","Ask_Volume: 0.75
Ask_High: 0.71
Ex1: 0.71"
4,3,1e-06,8,0.7193460464477539,"[[129  54]
 [ 49 135]]",8,4.5607927745550114e-07,0.9999995827674866,"Ask_Open: 0.70
Bid_Close: 0.68
Bid_Low: 0.53","Ex2: 0.92
Ask_Low: 0.61
Bid_Close: 0.41"
3,5,0.0001,128,0.6975476741790771,"[[149  34]
 [ 77 107]]",8,0.0010986998677253723,0.9989013671875,"Bid_Low: 0.41
Bid_High: 0.40
Ask_Open: 0.32","Ex2: 0.66
Ask_Low: 0.55
Bid_Close: 0.34"
3,5,0.0001,64,0.6811988949775696,"[[121  62]
 [ 55 129]]",4,0.0,1.0,"Bid_High: 0.34
Bid_Low: 0.34
Ask_Open: 0.31","Ex2: 0.25
Bid_Close: 0.20
Ask_Low: 0.19"
3,5,0.0001,32,0.6811988949775696,"[[138  45]
 [ 72 112]]",5,0.017183924093842506,0.9828160405158997,"Bid_High: 0.27
Bid_Low: 0.21
Ask_Open: 0.18","Ask_Low: 0.19
Ask_Close: 0.19
Bid_Volume: 0.16"
3,5,0.0001,16,0.6866484880447388,"[[122  61]
 [ 54 130]]",19,0.005065863952040672,0.9949341416358948,"Bid_Low: 0.58
Bid_High: 0.35
Ask_Open: 0.33","Ask_Low: 0.65
Ex2: 0.62
Bid_Close: 0.51"
3,5,0.0001,8,0.6594005227088928,"[[106  77]
 [ 48 136]]",4,0.00020135357044637203,0.9997986555099487,"Bid_Low: 0.44
Bid_High: 0.37
Ask_Open: 0.35","Ex1: 0.86
Ask_Volume: 0.86
Ask_Close: 0.77"
