kan_neurons,kan_grid,lamb,cnn_bottleneck_dim,RMSE,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
2,4,1e-05,1,3.2582616806030273,27,0.9617708921432495,0.03822913020849228,"theta3: 0.71
theta2: 0.71
thetad2: 0.02","theta2: 0.42
theta1: 0.42
theta3: 0.35"
2,4,1e-05,1,3.254750967025757,26,0.9934093356132507,0.006590628530830145,"theta3: 0.72
theta2: 0.70
thetad2: 0.02","theta3: 0.31
theta1: 0.31
tau1: 0.30"
2,4,1e-05,2,3.270991563796997,9,0.9580481648445129,0.04195186868309975,"theta2: 0.85
theta3: 0.50
thetad2: 0.05","tau2: 0.29
thetad1: 0.28
thetad2: 0.27"
2,4,1e-05,2,3.2568864822387695,28,0.9545894265174866,0.04541059210896492,"theta2: 0.85
theta3: 0.48
thetad2: 0.04","thetad2: 0.40
thetad3: 0.37
theta2: 0.33"
2,4,1e-05,4,3.240224599838257,10,0.7090550065040588,0.2909449338912964,"theta3: 0.83
theta2: 0.56
thetad2: 0.05","thetad2: 0.66
thetad1: 0.49
theta2: 0.39"
2,4,1e-05,4,3.2534990310668945,38,0.5681755542755127,0.4318244457244873,"theta3: 0.78
theta2: 0.61
thetad2: 0.08","thetad2: 0.29
thetad1: 0.22
tau2: 0.20"
2,4,1e-05,6,3.2729744911193848,15,0.019434824585914612,0.9805651307106018,"theta2: 0.89
theta3: 0.21
thetad2: 0.20","theta3: 0.28
thetad3: 0.26
Ex1: 0.23"
2,4,1e-05,6,3.266352653503418,11,0.021215764805674553,0.9787842035293579,"theta2: 0.93
theta3: 0.29
thetad3: 0.14","tau1: 0.28
theta3: 0.26
tau2: 0.21"
3,5,0.0001,2,3.2930748462677,10,0.8363720774650574,0.16362793743610382,"theta3: 0.74
theta2: 0.59
thetad2: 0.14","theta1: 0.22
thetad2: 0.22
theta2: 0.21"
3,5,0.0001,2,3.257908344268799,12,0.827760636806488,0.17223940789699554,"theta2: 0.73
theta3: 0.67
thetad2: 0.06","theta1: 0.29
thetad1: 0.24
theta2: 0.24"
3,5,0.0001,3,3.2751762866973877,10,0.8717055320739746,0.1282944679260254,"theta2: 0.77
theta3: 0.54
thetad2: 0.13","thetad2: 0.37
theta2: 0.33
thetad3: 0.33"
3,5,0.0001,3,3.255089282989502,3,0.8267214894294739,0.17327846586704254,"theta2: 0.75
theta3: 0.61
thetad2: 0.06","tau1: 0.34
theta1: 0.24
theta3: 0.22"
3,5,0.0001,6,3.2745063304901123,12,0.10504887253046036,0.8949511647224426,"theta2: 0.81
theta3: 0.53
tau2: 0.10","tau1: 0.45
theta1: 0.40
thetad1: 0.37"
3,5,0.0001,6,3.2922325134277344,10,0.06708303838968277,0.9329169392585754,"theta2: 0.84
theta3: 0.46
thetad3: 0.09","tau1: 0.47
tau2: 0.40
theta1: 0.35"
3,5,0.0001,9,3.24812650680542,10,0.2548982799053192,0.745101809501648,"theta2: 0.71
theta3: 0.60
thetad1: 0.16","tau2: 0.51
thetad1: 0.34
thetad2: 0.33"
3,5,0.0001,9,3.2622997760772705,14,0.2322963923215866,0.7677035927772522,"theta2: 0.70
theta3: 0.58
thetad1: 0.20","tau2: 0.49
thetad2: 0.30
thetad1: 0.27"
4,3,0.01,1,3.247960329055786,7,0.7262794375419617,0.27372056245803833,"theta2: 0.78
theta3: 0.47
theta1: 0.14","thetad2: 0.28
theta2: 0.19
thetad1: 0.17"
4,3,0.01,1,3.2854647636413574,39,0.9489566683769226,0.05104329064488411,"theta2: 0.70
theta3: 0.53
thetad3: 0.15","thetad3: 0.31
theta3: 0.16
thetad2: 0.10"
4,3,0.01,2,3.2682251930236816,7,0.7485533356666565,0.2514466643333435,"theta2: 0.57
theta3: 0.50
tau2: 0.17","thetad2: 0.50
thetad1: 0.40
theta1: 0.36"
4,3,0.01,2,3.2805638313293457,11,0.7776483297348022,0.22235164046287537,"theta3: 0.50
theta2: 0.50
thetad3: 0.17","theta1: 0.53
thetad1: 0.50
thetad2: 0.48"
4,3,0.01,4,3.259634017944336,39,0.050859175622463226,0.9491407871246338,"theta3: 0.66
theta2: 0.54
tau1: 0.18","theta3: 0.37
thetad3: 0.31
tau1: 0.28"
4,3,0.01,4,3.259338855743408,37,0.011998730711638927,0.98800128698349,"theta2: 0.54
theta3: 0.42
tau1: 0.30","tau1: 0.58
tau2: 0.55
theta3: 0.54"
4,3,0.01,8,3.263920783996582,24,0.23176631331443787,0.7682336568832397,"theta2: 0.83
theta3: 0.52
thetad3: 0.06","thetad2: 0.56
theta2: 0.42
theta1: 0.39"
4,3,0.01,8,3.268278121948242,14,0.2300577014684677,0.7699422836303711,"theta2: 0.78
theta3: 0.59
thetad2: 0.03","thetad2: 0.39
thetad1: 0.20
theta2: 0.19"
4,3,0.01,12,3.260892629623413,20,0.04522358253598213,0.954776406288147,"theta2: 0.84
theta3: 0.26
thetad2: 0.12","theta1: 0.29
theta3: 0.29
theta2: 0.28"
4,3,0.01,12,3.2580254077911377,21,0.043181162327528,0.9568188786506653,"theta2: 0.75
theta3: 0.35
thetad3: 0.12","theta1: 0.32
theta2: 0.31
theta3: 0.31"
3,5,0.01,1,3.2284095287323,19,0.9971221685409546,0.0028778326231986284,"theta2: 0.69
theta3: 0.61
thetad3: 0.10","theta2: 0.31
theta1: 0.30
thetad1: 0.28"
3,5,0.01,1,3.2267274856567383,10,0.9914154410362244,0.008584517985582352,"theta2: 0.66
theta3: 0.63
thetad2: 0.07","theta1: 0.27
thetad2: 0.25
thetad1: 0.24"
3,5,0.01,2,3.2741281986236572,15,0.7274088263511658,0.27259114384651184,"theta3: 0.80
theta2: 0.54
thetad2: 0.07","theta1: 0.28
thetad1: 0.25
theta2: 0.24"
3,5,0.01,2,3.2856903076171875,20,0.5875816941261292,0.4124183654785156,"theta2: 0.55
theta3: 0.42
tau2: 0.26","thetad3: 0.28
theta3: 0.26
tau1: 0.23"
3,5,0.01,3,3.2541797161102295,10,0.9060637950897217,0.09393619745969772,"theta2: 0.87
theta3: 0.42
thetad2: 0.07","thetad2: 0.26
thetad3: 0.19
theta2: 0.16"
3,5,0.01,3,3.249695301055908,10,0.9046253561973572,0.09537461400032043,"theta2: 0.87
theta3: 0.43
thetad2: 0.07","thetad2: 0.25
thetad3: 0.18
theta2: 0.16"
3,5,0.01,6,3.2681548595428467,19,0.2558923661708832,0.7441076040267944,"theta2: 0.78
theta3: 0.33
tau2: 0.20","thetad3: 0.35
theta3: 0.31
theta1: 0.31"
3,5,0.01,6,3.2406165599823,13,0.28901544213294983,0.7109845280647278,"theta2: 0.79
theta3: 0.36
theta1: 0.17","thetad3: 0.49
theta3: 0.33
tau1: 0.09"
3,5,0.01,9,3.263833522796631,6,0.493079274892807,0.5069207549095154,"theta3: 0.69
theta2: 0.67
tau2: 0.10","Ex1: 0.58
theta3: 0.49
thetad3: 0.40"
3,5,0.01,9,3.2663094997406006,10,0.20241810381412506,0.7975819110870361,"theta2: 0.65
theta3: 0.56
theta1: 0.16","Ex1: 0.24
theta3: 0.22
thetad2: 0.12"
