kan_neurons,kan_grid,lamb,alpha,RMSE,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
2,4,1.00E-05,0.75,3.248180866,3,0.00588461,0.994115412,"theta2: 0.71
thetad2: 0.43
tau2: 0.41","tau2: 0.43
thetad1: 0.39
tau1: 0.38"
2,4,1.00E-05,0.75,3.249302626,3,0.004842919,0.995157123,"theta2: 0.70
tau2: 0.43
thetad2: 0.41","tau2: 0.43
thetad1: 0.39
tau1: 0.37"
2,4,1.00E-05,0.725,3.229415655,3,0.039485063,0.960514903,"theta2: 0.78
thetad2: 0.35
tau2: 0.28","tau2: 0.29
theta1: 0.27
thetad1: 0.27"
2,4,1.00E-05,0.725,3.227544546,3,0.014604162,0.985395849,"theta2: 0.70
tau2: 0.47
thetad2: 0.40","tau2: 0.41
thetad1: 0.34
tau1: 0.34"
2,4,1.00E-05,0.7,3.217897415,2,0.015281579,0.984718442,"theta2: 0.75
thetad2: 0.42
tau2: 0.34","thetad1: 0.32
theta1: 0.28
tau2: 0.28"
2,4,1.00E-05,0.7,3.215852261,2,0.014615792,0.985384226,"theta2: 0.74
thetad2: 0.42
tau2: 0.34","thetad1: 0.33
theta1: 0.29
tau2: 0.29"
2,4,1.00E-05,0.65,3.225956678,2,0.017666932,0.982333064,"theta2: 0.74
thetad2: 0.45
theta3: 0.28","thetad1: 0.33
tau2: 0.30
theta1: 0.28"
2,4,1.00E-05,0.65,3.225642204,2,0.017417567,0.98258245,"theta2: 0.74
thetad2: 0.46
theta3: 0.28","thetad1: 0.33
tau2: 0.30
theta1: 0.28"
2,4,1.00E-05,0.6,3.227143049,4,0.028896572,0.97110343,"theta2: 0.65
thetad2: 0.45
tau2: 0.28","thetad1: 0.36
tau2: 0.34
tau1: 0.32"
2,4,1.00E-05,0.6,3.221706152,4,0.031619642,0.968380392,"theta2: 0.68
thetad2: 0.44
tau2: 0.28","thetad1: 0.37
tau2: 0.36
tau1: 0.33"
2,4,1.00E-05,0.5,3.230064869,2,0.026645714,0.97335428,"theta2: 0.62
thetad2: 0.49
theta3: 0.41","thetad2: 0.45
thetad1: 0.44
theta1: 0.41"
2,4,1.00E-05,0.5,3.227825165,2,0.026475728,0.973524272,"theta2: 0.63
thetad2: 0.48
theta3: 0.41","thetad2: 0.45
thetad1: 0.44
theta1: 0.40"
2,4,1.00E-05,0.25,3.243507385,6,0.043471042,0.956528962,"theta2: 0.70
thetad2: 0.47
theta3: 0.28","tau1: 0.38
tau2: 0.38
thetad1: 0.25"
2,4,1.00E-05,0.25,3.243191481,6,0.040877599,0.959122419,"theta2: 0.66
thetad2: 0.48
theta3: 0.36","tau1: 0.36
tau2: 0.36
thetad1: 0.23"
2,4,1.00E-05,0.1,3.234651804,4,0.075641371,0.924358666,"theta2: 0.49
theta3: 0.46
thetad2: 0.33","tau1: 0.33
tau2: 0.32
thetad1: 0.29"
2,4,1.00E-05,0.1,3.23762393,3,0.081252947,0.918747067,"theta2: 0.50
theta3: 0.44
thetad2: 0.31","tau2: 0.29
thetad3: 0.28
tau1: 0.28"
3,5,0.0001,0.75,3.239015579,8,0.007248146,0.992751837,"thetad2: 0.57
theta2: 0.36
thetad1: 0.31","theta1: 0.40
thetad1: 0.36
thetad2: 0.31"
3,5,0.0001,0.75,3.244062185,8,0.006934216,0.993065774,"thetad2: 0.54
theta2: 0.36
tau1: 0.32","theta1: 0.39
thetad1: 0.33
tau1: 0.30"
3,5,0.0001,0.5,3.251493931,7,0.01494108,0.985058904,"thetad2: 0.63
theta2: 0.34
thetad1: 0.31","theta1: 0.35
thetad2: 0.28
thetad1: 0.28"
3,5,0.0001,0.5,3.257786274,6,0.009955999,0.990044057,"thetad2: 0.58
theta2: 0.34
thetad1: 0.32","theta1: 0.38
thetad1: 0.33
theta2: 0.31"
3,5,0.0001,0.25,3.240649939,5,0.015287301,0.98471266,"theta3: 0.53
thetad2: 0.46
thetad1: 0.29","thetad1: 0.40
tau2: 0.39
tau1: 0.38"
3,5,0.0001,0.25,3.242630482,5,0.015973199,0.984026849,"theta3: 0.52
thetad2: 0.47
thetad1: 0.29","thetad1: 0.42
tau2: 0.40
tau1: 0.40"
3,5,0.0001,0.1,3.227831364,3,0.007292215,0.992707789,"theta2: 0.69
theta3: 0.51
thetad2: 0.35","Ex1: 0.44
tau1: 0.42
tau2: 0.38"
3,5,0.0001,0.1,3.230664015,4,0.008922074,0.99107796,"theta2: 0.67
theta3: 0.49
thetad2: 0.38","Ex1: 0.45
tau1: 0.42
tau2: 0.39"
4,3,0.01,0.75,3.227272034,13,0.194259584,0.805740416,"theta2: 0.43
tau2: 0.31
theta1: 0.30","tau1: 0.38
tau2: 0.36
thetad1: 0.33"
4,3,0.01,0.75,3.229256153,11,0.179815114,0.820184946,"theta2: 0.37
tau1: 0.35
theta1: 0.29","tau1: 0.39
thetad1: 0.36
theta1: 0.36"
4,3,0.01,0.5,3.228512526,4,0.143975407,0.856024563,"theta2: 0.60
tau1: 0.25
theta3: 0.25","tau1: 0.38
tau2: 0.36
theta1: 0.35"
4,3,0.01,0.5,3.226061583,4,0.14333114,0.85666883,"theta2: 0.63
tau2: 0.27
thetad2: 0.24","tau1: 0.38
tau2: 0.36
theta1: 0.34"
4,3,0.01,0.25,3.233868122,4,0.170320377,0.829679608,"theta2: 0.74
theta3: 0.39
thetad2: 0.14","tau1: 0.40
theta1: 0.37
tau2: 0.37"
4,3,0.01,0.25,3.238517046,4,0.155203238,0.844796777,"theta2: 0.73
theta3: 0.39
thetad1: 0.13","tau1: 0.40
theta1: 0.38
thetad1: 0.36"
4,3,0.01,0.1,3.24076128,7,0.800940871,0.199059069,"theta2: 0.50
theta3: 0.48
thetad1: 0.19","theta1: 0.28
thetad1: 0.27
thetad2: 0.26"
4,3,0.01,0.1,3.244590044,12,0.848875821,0.151124179,"theta2: 0.62
theta3: 0.46
thetad1: 0.17","thetad3: 0.22
theta1: 0.21
thetad1: 0.21"
3,5,0.01,0.75,3.229744673,8,0.004839086,0.995160937,"tau2: 0.55
thetad2: 0.51
theta1: 0.23","tau1: 0.46
tau2: 0.39
theta1: 0.38"
3,5,0.01,0.75,3.225414038,7,0.000137852,0.999862134,"theta3: 0.38
theta1: 0.37
thetad3: 0.36","tau1: 0.38
theta1: 0.37
thetad1: 0.33"
3,5,0.01,0.5,3.229610682,5,0.004370432,0.995629549,"thetad2: 0.52
theta3: 0.52
theta2: 0.23","tau1: 0.35
theta1: 0.34
tau2: 0.34"
3,5,0.01,0.5,3.224467754,6,0.005490081,0.994509935,"thetad2: 0.44
theta1: 0.43
theta3: 0.31","theta1: 0.40
thetad1: 0.38
tau1: 0.36"
3,5,0.01,0.25,3.237730742,6,0.009984192,0.990015864,"thetad2: 0.74
theta1: 0.25
theta2: 0.25","tau1: 0.42
tau2: 0.39
thetad1: 0.35"
3,5,0.01,0.25,3.234110832,7,0.019480506,0.980519533,"thetad2: 0.67
theta1: 0.34
theta2: 0.29","tau1: 0.42
tau2: 0.38
thetad1: 0.36"
3,5,0.01,0.1,3.237576008,4,0.026293123,0.973706901,"theta2: 0.75
thetad2: 0.56
theta3: 0.12","tau2: 0.50
tau1: 0.47
thetad1: 0.31"
3,5,0.01,0.1,3.244690895,5,0.063671507,0.93632853,"theta2: 0.74
thetad2: 0.49
theta3: 0.17","tau2: 0.50
tau1: 0.47
thetad1: 0.32"
2,4,1.00E-05,0.725,3.229415655,3,0.039485063,0.960514903,"theta2: 0.78
thetad2: 0.35
tau2: 0.28","tau2: 0.29
theta1: 0.27
thetad1: 0.27"
2,4,1.00E-05,0.725,3.227544546,3,0.014604162,0.985395849,"theta2: 0.70
tau2: 0.47
thetad2: 0.40","tau2: 0.41
thetad1: 0.34
tau1: 0.34"
2,4,1.00E-05,0.7,3.217897415,2,0.015281579,0.984718442,"theta2: 0.75
thetad2: 0.42
tau2: 0.34","thetad1: 0.32
theta1: 0.28
tau2: 0.28"
