kan_neurons,kan_grid,lamb,hidden_dim,RMSE,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
2,4,1e-05,128,3.246669292449951,4,0.0,1.0,"theta2: 0.67
theta3: 0.42
tau2: 0.33","Ex1: 0.41
tau2: 0.35
tau1: 0.32"
2,4,1e-05,128,3.251054525375366,3,0.0,1.0,"theta2: 0.65
theta3: 0.43
tau2: 0.33","Ex1: 0.39
tau1: 0.36
tau2: 0.36"
2,4,1e-05,32,3.2523794174194336,4,0.0,1.0,"tau1: 0.39
thetad2: 0.36
tau2: 0.36","tau2: 0.41
thetad1: 0.36
thetad2: 0.33"
2,4,1e-05,32,3.2551867961883545,3,0.0,1.0,"tau1: 0.39
thetad2: 0.36
thetad3: 0.36","tau2: 0.35
thetad1: 0.31
thetad2: 0.27"
2,4,1e-05,8,3.277047872543335,23,0.03818591684103012,0.9618141055107117,"theta3: 0.70
theta2: 0.57
thetad3: 0.10","thetad2: 0.16
theta2: 0.13
thetad1: 0.13"
2,4,1e-05,8,3.279906988143921,26,0.04025733098387718,0.9597426056861877,"theta3: 0.66
theta2: 0.60
thetad3: 0.10","thetad2: 0.17
theta2: 0.14
thetad1: 0.13"
3,5,0.0001,128,3.3174824714660645,24,0.10177553445100784,0.8982244729995728,"theta3: 0.60
theta2: 0.54
thetad2: 0.30","thetad2: 0.15
theta2: 0.15
tau2: 0.13"
3,5,0.0001,128,3.3236243724823,28,0.08526486158370972,0.9147351384162903,"theta3: 0.61
theta2: 0.50
thetad2: 0.38","thetad2: 0.21
theta2: 0.18
theta1: 0.16"
3,5,0.0001,32,3.2950685024261475,3,0.0,1.0,"thetad2: 0.56
theta3: 0.36
theta2: 0.34","tau2: 0.38
tau1: 0.34
thetad1: 0.33"
3,5,0.0001,32,3.2763831615448,3,0.0,1.0,"thetad2: 0.56
theta2: 0.38
theta3: 0.33","thetad2: 0.41
theta1: 0.41
thetad1: 0.40"
3,5,0.0001,8,3.2553842067718506,4,0.0,1.0,"thetad2: 0.56
theta2: 0.38
theta3: 0.34","theta3: 0.44
thetad3: 0.28
Ex1: 0.24"
3,5,0.0001,8,3.254180669784546,4,0.0,1.0,"thetad2: 0.56
theta2: 0.37
theta3: 0.34","theta3: 0.45
thetad3: 0.27
Ex1: 0.25"
4,3,0.01,128,3.251739263534546,4,0.0,1.0,"theta2: 0.40
thetad2: 0.39
thetad1: 0.37","thetad2: 0.39
theta1: 0.37
theta2: 0.35"
4,3,0.01,128,3.2563629150390625,4,0.0,1.0,"thetad2: 0.43
thetad3: 0.43
tau1: 0.39","thetad2: 0.36
theta3: 0.35
theta2: 0.34"
4,3,0.01,32,3.234037160873413,4,0.0,1.0,"theta2: 0.57
thetad3: 0.42
tau2: 0.32","theta1: 0.39
thetad1: 0.37
thetad2: 0.36"
4,3,0.01,32,3.2363686561584473,4,0.0,1.0,"theta3: 0.40
theta1: 0.38
tau1: 0.30","theta1: 0.38
thetad1: 0.38
thetad2: 0.35"
4,3,0.01,8,3.245450496673584,9,1.7460251910961233e-05,0.9999825358390808,"thetad3: 0.67
theta3: 0.39
theta1: 0.24","thetad2: 0.43
theta1: 0.37
theta2: 0.37"
4,3,0.01,8,3.2466084957122803,11,3.5498258512234315e-05,0.9999644756317139,"theta2: 0.55
tau2: 0.41
thetad3: 0.31","thetad2: 0.45
theta2: 0.38
theta1: 0.38"
3,5,0.01,128,3.3213412761688232,24,0.2366873174905777,0.7633126378059387,"theta3: 0.68
theta2: 0.43
thetad1: 0.24","thetad2: 0.20
theta1: 0.17
theta2: 0.16"
3,5,0.01,128,3.300379991531372,25,0.2130807489156723,0.7869192957878113,"theta3: 0.67
theta2: 0.37
thetad2: 0.25","thetad3: 0.60
tau2: 0.45
theta3: 0.39"
3,5,0.01,32,3.236015796661377,14,0.0001050490973284468,0.999894917011261,"tau2: 0.51
theta1: 0.47
theta3: 0.39","tau2: 0.37
tau1: 0.36
theta1: 0.35"
3,5,0.01,32,3.229921579360962,21,2.9436490876832977e-05,0.999970555305481,"tau2: 0.67
theta1: 0.47
thetad2: 0.23","tau2: 0.37
theta1: 0.36
thetad1: 0.35"
3,5,0.01,8,3.2851507663726807,4,0.0,1.0,"tau2: 0.40
thetad1: 0.38
tau1: 0.35","theta3: 0.35
thetad3: 0.32
Ex1: 0.28"
3,5,0.01,8,3.283827781677246,4,0.0,1.0,"thetad1: 0.41
theta1: 0.41
thetad2: 0.39","theta3: 0.32
thetad3: 0.29
Ex1: 0.24"
