kan_neurons,kan_grid,lamb,embed_dim,RMSE,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
2,4,1.00E-05,"64, 2",3.264637232,39,0.093059666,0.906940341,"theta2: 0.48
theta3: 0.44
tau2: 0.35","thetad3: 0.40
theta3: 0.37
thetad2: 0.12"
2,4,1.00E-05,"64, 4",3.241344452,78,0.036513019,0.963486969,"theta2: 0.48
theta3: 0.44
tau2: 0.35","theta3: 0.11
thetad2: 0.08
tau1: 0.07"
2,4,1.00E-05,"64, 8",3.246193409,89,0.039806489,0.960193515,"theta2: 0.48
theta3: 0.44
tau2: 0.35","tau1: 0.35
tau2: 0.35
thetad1: 0.24"
2,4,1.00E-05,"32, 2",3.273071527,84,0.000171197,0.999828815,"theta2: 0.48
theta3: 0.44
tau2: 0.35","theta3: 0.31
Ex1: 0.22
thetad3: 0.22"
2,4,1.00E-05,"32, 4",3.250511646,70,0.021004861,0.978995204,"theta2: 0.48
theta3: 0.44
tau2: 0.35","theta3: 0.40
thetad3: 0.37
theta2: 0.31"
2,4,1.00E-05,"32, 8",3.257511854,40,0.026653726,0.973346293,"theta2: 0.48
theta3: 0.44
tau2: 0.35","thetad3: 0.46
theta3: 0.41
Ex1: 0.41"
2,4,1.00E-05,"16, 2",3.383561611,86,0.022237163,0.977762878,"theta2: 0.48
theta3: 0.44
tau2: 0.35","tau2: 0.56
tau1: 0.45
Ex1: 0.35"
2,4,1.00E-05,"16, 4",3.256569862,89,0.097603947,0.902396083,"theta2: 0.48
theta3: 0.44
tau2: 0.35","tau1: 0.50
tau2: 0.48
thetad1: 0.25"
2,4,1.00E-05,"16, 8",3.271742821,89,0.014869999,0.985130012,"theta2: 0.48
theta3: 0.44
tau2: 0.35","tau1: 0.48
tau2: 0.44
thetad1: 0.23"
3,5,0.0001,"64, 2",3.254825592,79,0.123918079,0.876081944,"thetad2: 0.56
theta3: 0.39
theta2: 0.31","tau1: 0.38
theta3: 0.38
theta1: 0.29"
3,5,0.0001,"64, 4",3.249853373,72,0.043229051,0.956771016,"thetad2: 0.56
theta3: 0.39
theta2: 0.31","tau1: 0.42
tau2: 0.36
thetad1: 0.35"
3,5,0.0001,"64, 8",3.270875216,78,0.074979633,0.925020397,"thetad2: 0.56
theta3: 0.39
theta2: 0.31","tau2: 0.40
thetad2: 0.39
tau1: 0.37"
3,5,0.0001,"32, 2",3.244645119,79,0.00070499,0.999294996,"thetad2: 0.56
theta3: 0.39
theta2: 0.31","tau2: 0.55
tau1: 0.46
thetad1: 0.31"
3,5,0.0001,"32, 4",3.255498171,78,0.010843335,0.989156663,"thetad2: 0.56
theta3: 0.39
theta2: 0.31","thetad1: 0.32
theta1: 0.26
tau2: 0.19"
3,5,0.0001,"32, 8",3.261871576,78,0.019052537,0.980947495,"thetad2: 0.56
theta3: 0.39
theta2: 0.31","tau2: 0.76
tau1: 0.49
theta3: 0.21"
3,5,0.0001,"16, 2",3.250752211,53,0.242406353,0.757593632,"thetad2: 0.56
theta3: 0.39
theta2: 0.31","tau1: 0.39
theta3: 0.38
tau2: 0.37"
3,5,0.0001,"16, 4",3.249731302,77,0.120680727,0.879319251,"thetad2: 0.57
theta3: 0.39
theta2: 0.30","theta3: 0.52
thetad3: 0.48
Ex1: 0.42"
3,5,0.0001,"16, 8",3.249491692,51,0.099538051,0.900461912,"thetad2: 0.56
theta3: 0.39
theta2: 0.31","theta3: 0.46
thetad3: 0.34
Ex1: 0.28"
4,3,0.01,"64, 2",3.253706932,79,0.026187871,0.973812103,"tau2: 0.40
theta2: 0.39
theta1: 0.33","tau1: 0.38
tau2: 0.34
theta3: 0.28"
4,3,0.01,"64, 4",3.248229027,70,0.039539326,0.960460663,"theta3: 0.44
theta1: 0.41
thetad2: 0.37","tau1: 0.38
tau2: 0.34
theta1: 0.28"
4,3,0.01,"64, 8",3.250074625,62,0.131215245,0.868784726,"thetad2: 0.41
theta2: 0.38
theta3: 0.32","theta3: 0.25
tau1: 0.22
Ex1: 0.17"
4,3,0.01,"32, 2",3.239969492,72,0.337681025,0.662319005,"thetad1: 0.36
theta3: 0.28
thetad3: 0.28","Ex1: 0.20
thetad2: 0.14
theta3: 0.13"
4,3,0.01,"32, 4",3.260975838,55,0.442462713,0.557537258,"thetad3: 0.46
tau2: 0.33
theta3: 0.28","theta1: 0.22
thetad1: 0.21
tau1: 0.19"
4,3,0.01,"32, 8",3.251750946,41,0.34905234,0.65094763,"tau2: 0.49
tau1: 0.32
thetad3: 0.32","theta1: 0.17
thetad2: 0.14
theta2: 0.10"
4,3,0.01,"16, 2",3.251773357,62,0.053207278,0.946792781,"thetad1: 0.45
tau1: 0.42
theta1: 0.40","Ex1: 0.52
theta3: 0.30
thetad3: 0.21"
4,3,0.01,"16, 4",3.254075289,62,0.022847874,0.977152109,"thetad3: 0.57
theta1: 0.40
tau2: 0.28","Ex1: 0.18
thetad2: 0.12
theta3: 0.11"
4,3,0.01,"16, 8",3.26886344,48,0.117561936,0.882438064,"thetad1: 0.41
thetad2: 0.40
tau2: 0.40","theta3: 0.26
thetad3: 0.24
thetad2: 0.19"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
3,5,0.01,"64, 2",3.785816192626953,15,0.29464930295944214,0.7053506970405579,"thetad3: 0.46
tau1: 0.38
tau2: 0.33","theta3: 0.31
tau1: 0.20
thetad2: 0.17"
3,5,0.01,"64, 4",3.8149712085723877,37,0.3337583541870117,0.6662416458129883,"thetad3: 0.46
tau1: 0.37
tau2: 0.34","theta3: 0.14
tau1: 0.14
theta1: 0.13"
