kan_neurons,kan_grid,lamb,hidden_dim,ACC,Conf_Mtx,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
3,3,1e-05,128,0.7111716270446777,"[[134  49]
 [ 57 127]]",23,0.006455518770962954,0.9935444593429565,,
3,3,1e-05,64,0.7193460464477539,"[[133  50]
 [ 53 131]]",17,0.0006558557506650686,0.9993441700935364,,
3,3,1e-05,32,0.7193460464477539,"[[126  57]
 [ 46 138]]",1,0.0,1.0,,
3,3,1e-05,16,0.7193460464477539,"[[122  61]
 [ 42 142]]",3,0.02166125737130642,0.9783387780189514,,
3,3,1e-05,8,0.7111716270446777,"[[123  60]
 [ 46 138]]",3,0.019798526540398598,0.9802015423774719,,
2,4,1e-07,128,0.7084468603134155,"[[121  62]
 [ 45 139]]",2,0.009964453056454659,0.9900355339050293,,
2,4,1e-07,64,0.7302452325820923,"[[124  59]
 [ 40 144]]",1,4.728293867550803e-10,1.0,,
2,4,1e-07,32,0.7220708131790161,"[[129  54]
 [ 48 136]]",5,0.0032872087322175503,0.9967127442359924,,
2,4,1e-07,16,0.7302452325820923,"[[136  47]
 [ 52 132]]",3,0.004826811142265797,0.9951731562614441,,
2,4,1e-07,8,0.7111716270446777,"[[123  60]
 [ 46 138]]",3,0.008616700768470764,0.9913832545280457,,
3,7,1e-06,128,0.6948229074478149,"[[131  52]
 [ 60 124]]",8,5.656138819176704e-05,0.9999434351921082,,
3,7,1e-06,64,0.7193460464477539,"[[124  59]
 [ 44 140]]",3,0.0,1.0,,
3,7,1e-06,32,0.6811988949775696,"[[128  55]
 [ 62 122]]",2,0.0011628485517576337,0.9988371729850769,,
3,7,1e-06,16,0.6730245351791382,"[[124  59]
 [ 61 123]]",1,0.0011489024618640542,0.9988511204719543,,
3,7,1e-06,8,0.7220708131790161,"[[137  46]
 [ 56 128]]",17,0.013218206353485584,0.9867817759513855,,
5,7,0.0001,128,0.7220708131790161,"[[131  52]
 [ 50 134]]",6,0.01844760961830616,0.9815523624420166,,
5,7,0.0001,64,0.7247956395149231,"[[128  55]
 [ 46 138]]",2,0.014144829474389553,0.9858551621437073,,
5,7,0.0001,32,0.7166212201118469,"[[138  45]
 [ 59 125]]",16,0.005723556037992239,0.9942764639854431,,
5,7,0.0001,16,0.7166212201118469,"[[134  49]
 [ 55 129]]",8,0.0044771782122552395,0.9955228567123413,,
5,7,0.0001,8,0.7138964533805847,"[[129  54]
 [ 51 133]]",8,0.01451759785413742,0.985482394695282,,
