kan_neurons,kan_grid,lamb,"embed_dim, num_heads",ACC,Conf_Mtx,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
2,4,1e-05,"64, 2",0.7084468603134155,"[[128  55]
 [ 52 132]]",21,0.0006654358003288507,0.9993346333503723,,
2,4,1e-05,"64, 4",0.7138964533805847,"[[127  56]
 [ 49 135]]",7,0.035879749804735184,0.9641202092170715,,
2,4,1e-05,"64, 8",0.6784741282463074,"[[120  63]
 [ 55 129]]",6,0.014980800449848175,0.9850192070007324,,
2,4,1e-05,"32, 2",0.7002724409103394,"[[119  64]
 [ 46 138]]",8,0.11648164689540863,0.883518397808075,,
2,4,1e-05,"32, 4",0.7002724409103394,"[[119  64]
 [ 46 138]]",8,0.11648164689540863,0.883518397808075,,
2,4,1e-05,"32, 8",0.7002724409103394,"[[119  64]
 [ 46 138]]",8,0.11648164689540863,0.883518397808075,,
2,4,1e-05,"16, 2",0.7084468603134155,"[[119  64]
 [ 43 141]]",6,0.0427698977291584,0.9572300910949707,,
2,4,1e-05,"16, 4",0.7084468603134155,"[[127  56]
 [ 51 133]]",17,0.024889612570405006,0.9751104116439819,,
2,4,1e-05,"16, 8",0.7193460464477539,"[[129  54]
 [ 49 135]]",8,0.12389352172613144,0.8761064410209656,,
2,4,1e-05,"48, 6",0.692098081111908,"[[125  58]
 [ 55 129]]",9,0.04352943226695061,0.9564706087112427,,
2,4,1e-05,"24, 6",0.7275204062461853,"[[120  63]
 [ 37 147]]",7,0.18826356530189514,0.8117364048957825,,
2,4,1e-05,"12, 6",0.6893733143806458,"[[125  58]
 [ 56 128]]",14,0.7332494258880615,0.2667505741119385,,
3,5,0.0001,"64, 2",0.7193460464477539,"[[129  54]
 [ 49 135]]",14,0.0190122053027153,0.9809877872467041,,
3,5,0.0001,"64, 4",0.7275204062461853,"[[126  57]
 [ 43 141]]",21,0.017640015110373497,0.9823599457740784,,
3,5,0.0001,"64, 8",0.7138964533805847,"[[127  56]
 [ 49 135]]",7,0.007493987213820219,0.9925060272216797,,
3,5,0.0001,"32, 2",0.6948229074478149,"[[126  57]
 [ 55 129]]",11,0.03510555252432823,0.9648944139480591,,
3,5,0.0001,"32, 4",0.7057220339775085,"[[131  52]
 [ 56 128]]",12,0.004938969388604164,0.9950610399246216,,
3,5,0.0001,"32, 8",0.6948229074478149,"[[123  60]
 [ 52 132]]",13,0.0018184160580858588,0.9981816411018372,,
3,5,0.0001,"16, 2",0.7247956395149231,"[[128  55]
 [ 46 138]]",6,0.5441729426383972,0.4558270275592804,,
3,5,0.0001,"16, 4",0.7111716270446777,"[[127  56]
 [ 50 134]]",4,0.5238871574401855,0.47611281275749207,,
3,5,0.0001,"16, 8",0.7166212201118469,"[[126  57]
 [ 47 137]]",3,0.5076205134391785,0.49237945675849915,,
3,5,0.0001,"48, 6",0.7302452325820923,"[[129  54]
 [ 45 139]]",16,0.0029554020147770643,0.997044563293457,,
3,5,0.0001,"24, 6",0.7166212201118469,"[[126  57]
 [ 47 137]]",7,4.360645471024327e-05,0.9999563694000244,,
3,5,0.0001,"12, 6",0.7220708131790161,"[[126  57]
 [ 45 139]]",5,0.4876991808414459,0.5123007893562317,,
3,7,1e-06,"64, 2",0.6784741282463074,"[[127  56]
 [ 62 122]]",13,0.0373757965862751,0.962624192237854,,
3,7,1e-06,"64, 4",0.7084468603134155,"[[124  59]
 [ 48 136]]",24,0.033506859093904495,0.9664930701255798,,
3,7,1e-06,"64, 8",0.7247956395149231,"[[128  55]
 [ 46 138]]",12,0.029913386330008507,0.9700866341590881,,
3,7,1e-06,"32, 2",0.7275204062461853,"[[126  57]
 [ 43 141]]",7,0.05339008942246437,0.9466099143028259,,
