kan_neurons,kan_grid,lamb,hidden_dim,ACC,Conf_Mtx,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
3,3,1e-05,128,0.7138964533805847,"[[126  57]
 [ 48 136]]",1,0.0024467192124575377,0.997553288936615,,
3,3,1e-05,64,0.7220708131790161,"[[123  60]
 [ 42 142]]",1,0.0037197384517639875,0.9962802529335022,,
3,3,1e-05,32,0.7029972672462463,"[[116  67]
 [ 42 142]]",1,0.00048101009451784194,0.9995189905166626,,
3,3,1e-05,16,0.7138964533805847,"[[123  60]
 [ 45 139]]",2,0.0012888499768450856,0.9987111687660217,,
3,3,1e-05,8,0.7138964533805847,"[[126  57]
 [ 48 136]]",1,0.0034183566458523273,0.9965816140174866,,
2,4,1e-07,128,0.7029972672462463,"[[125  58]
 [ 51 133]]",1,0.0004296426195651293,0.999570369720459,,
2,4,1e-07,64,0.7193460464477539,"[[121  62]
 [ 41 143]]",1,3.4823860914912075e-05,0.9999651908874512,,
2,4,1e-07,32,0.7384195923805237,"[[144  39]
 [ 57 127]]",51,0.006564577575773001,0.9934354424476624,,
2,4,1e-07,16,0.7465940117835999,"[[146  37]
 [ 56 128]]",9,0.005230023059993982,0.9947699904441833,,
2,4,1e-07,8,0.7057220339775085,"[[125  58]
 [ 50 134]]",1,0.0025892220437526703,0.997410774230957,,
5,6,0.001,128,0.7029972672462463,"[[129  54]
 [ 55 129]]",3,0.0029632244259119034,0.9970367550849915,,
5,6,0.001,64,0.6975476741790771,"[[121  62]
 [ 49 135]]",2,0.0019719551783055067,0.998028039932251,,
5,6,0.001,32,0.7220708131790161,"[[137  46]
 [ 56 128]]",2,0.0034771100617945194,0.9965229034423828,,
5,6,0.001,16,0.6975476741790771,"[[129  54]
 [ 57 127]]",62,0.0490221343934536,0.9509778618812561,,
5,6,0.001,8,0.6893733143806458,"[[122  61]
 [ 53 131]]",1,0.0021026746835559607,0.9978973865509033,,
3,3,0.0001,128,0.7166212201118469,"[[124  59]
 [ 45 139]]",2,0.0035460605286061764,0.9964538812637329,,
3,3,0.0001,64,0.7411444187164307,"[[138  45]
 [ 50 134]]",5,0.004832550883293152,0.9951674342155457,,
3,3,0.0001,32,0.7002724409103394,"[[122  61]
 [ 49 135]]",1,0.002291252836585045,0.9977087378501892,,
3,3,0.0001,16,0.7111716270446777,"[[122  61]
 [ 45 139]]",1,0.007141823880374432,0.9928582310676575,,
3,3,0.0001,8,0.7193460464477539,"[[125  58]
 [ 45 139]]",2,0.00015314575284719467,0.9998468160629272,,
