kan_neurons,kan_grid,lamb,"embed_dim, num_heads",ACC,Conf_Mtx,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
2,4,1e-05,"64, 2",0.7438691854476929,"[[135  48]
 [ 46 138]]",8,0.026455482468008995,0.9735444784164429,,
2,4,1e-05,"64, 4",0.7084468603134155,"[[121  62]
 [ 45 139]]",7,0.02142203040421009,0.9785780310630798,,
2,4,1e-05,"64, 8",0.7084468603134155,"[[121  62]
 [ 45 139]]",7,0.02142203040421009,0.9785780310630798,,
2,4,1e-05,"32, 2",0.7302452325820923,"[[129  54]
 [ 45 139]]",8,0.0005598795833066106,0.99944007396698,,
2,4,1e-05,"32, 4",0.7302452325820923,"[[129  54]
 [ 45 139]]",8,0.0005598795833066106,0.99944007396698,,
2,4,1e-05,"32, 8",0.7302452325820923,"[[129  54]
 [ 45 139]]",8,0.0005598795833066106,0.99944007396698,,
2,4,1e-05,"16, 2",0.7111716270446777,"[[123  60]
 [ 46 138]]",3,0.015289278700947762,0.9847107529640198,,
2,4,1e-05,"16, 4",0.7111716270446777,"[[123  60]
 [ 46 138]]",3,0.015289278700947762,0.9847107529640198,,
2,4,1e-05,"16, 8",0.7111716270446777,"[[123  60]
 [ 46 138]]",3,0.015289278700947762,0.9847107529640198,,
2,4,1e-05,"48, 6",0.7247956395149231,"[[126  57]
 [ 44 140]]",4,0.0020039998926222324,0.9979960322380066,,
2,4,1e-05,"24, 6",0.7111716270446777,"[[125  58]
 [ 48 136]]",6,0.011309701018035412,0.9886903166770935,,
2,4,1e-05,"12, 6",0.6975476741790771,"[[128  55]
 [ 56 128]]",11,0.0015150026883929968,0.9984850287437439,,
3,5,0.0001,"64, 2",0.7111716270446777,"[[126  57]
 [ 49 135]]",4,0.02307918667793274,0.9769208431243896,,
3,5,0.0001,"64, 4",0.7111716270446777,"[[126  57]
 [ 49 135]]",4,0.02307918667793274,0.9769208431243896,,
3,5,0.0001,"64, 8",0.7111716270446777,"[[126  57]
 [ 49 135]]",4,0.02307918667793274,0.9769208431243896,,
3,5,0.0001,"32, 2",0.7329699993133545,"[[130  53]
 [ 45 139]]",5,0.0997113361954689,0.9002887010574341,,
3,5,0.0001,"32, 4",0.7329699993133545,"[[130  53]
 [ 45 139]]",5,0.0997113361954689,0.9002887010574341,,
3,5,0.0001,"32, 8",0.7329699993133545,"[[130  53]
 [ 45 139]]",5,0.0997113361954689,0.9002887010574341,,
3,5,0.0001,"16, 2",0.7138964533805847,"[[123  60]
 [ 45 139]]",4,0.08160510659217834,0.918394923210144,,
3,5,0.0001,"16, 4",0.7138964533805847,"[[123  60]
 [ 45 139]]",4,0.08160510659217834,0.918394923210144,,
3,5,0.0001,"16, 8",0.7138964533805847,"[[123  60]
 [ 45 139]]",4,0.08160510659217834,0.918394923210144,,
3,5,0.0001,"48, 6",0.7302452325820923,"[[126  57]
 [ 42 142]]",5,0.03762632980942726,0.962373673915863,,
3,5,0.0001,"24, 6",0.7002724409103394,"[[129  54]
 [ 56 128]]",4,0.05577940493822098,0.9442205429077148,,
3,5,0.0001,"12, 6",0.7029972672462463,"[[125  58]
 [ 51 133]]",4,0.14826315641403198,0.8517369031906128,,
2,3,0.01,"64, 2",0.6239781975746155,"[[ 73 110]
 [ 28 156]]",0,0.029925670474767685,0.9700742959976196,,
2,3,0.01,"64, 4",0.5912806391716003,"[[ 45 138]
 [ 12 172]]",0,0.030818941071629524,0.9691810011863708,,
