kan_neurons,kan_grid,lamb,cnn_bottleneck_dim,RMSE,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
2,4,1e-05,1,3.24668025970459,18,0.9908549189567566,0.009145164862275124,"theta3: 0.85
theta2: 0.51
thetad2: 0.06","thetad3: 0.13
theta2: 0.12
theta3: 0.10"
2,4,1e-05,1,3.268252372741699,47,0.9859949350357056,0.01400505006313324,"theta2: 0.83
theta3: 0.40
thetad2: 0.07","theta2: 0.35
thetad1: 0.31
thetad2: 0.29"
2,4,1e-05,2,3.2622997760772705,10,0.8779821991920471,0.12201780825853348,"theta2: 0.85
theta3: 0.49
thetad2: 0.04","tau2: 0.29
thetad1: 0.26
tau1: 0.25"
2,4,1e-05,3,3.265467405319214,11,0.7825536131858826,0.21744641661643982,"theta3: 0.84
theta2: 0.54
thetad2: 0.05","theta3: 0.43
thetad3: 0.34
theta2: 0.20"
2,4,1e-05,4,3.3500571250915527,42,0.5740596055984497,0.4259404242038727,"theta3: 0.65
theta2: 0.59
tau2: 0.20","theta2: 0.45
theta1: 0.43
thetad1: 0.42"
2,4,1e-05,5,3.288881301879883,16,0.8760640621185303,0.12393592298030853,"theta3: 0.83
theta2: 0.51
theta1: 0.07","theta2: 0.16
thetad1: 0.15
thetad3: 0.12"
2,4,1e-05,6,3.2621681690216064,11,0.8114446997642517,0.1885552853345871,"theta2: 0.84
theta3: 0.49
thetad3: 0.05","thetad1: 0.44
theta1: 0.31
tau2: 0.31"
3,5,0.0001,1,3.2582788467407227,16,0.9805313944816589,0.019468575716018677,"theta3: 0.83
theta2: 0.56
thetad2: 0.02","theta1: 0.34
thetad1: 0.24
tau1: 0.23"
3,5,0.0001,2,3.2551705837249756,11,0.879927933216095,0.12007211893796921,"theta2: 0.81
theta3: 0.50
thetad2: 0.11","tau1: 0.34
tau2: 0.34
thetad1: 0.33"
3,5,0.0001,3,3.2501845359802246,8,0.9905092716217041,0.009490719996392727,"theta2: 0.85
theta3: 0.43
thetad2: 0.06","thetad2: 0.34
thetad1: 0.29
tau1: 0.28"
