kan_neurons,kan_grid,lamb,hidden_dim,RMSE,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
2,4,1e-05,128,3.740359306335449,3,0.0,1.0,,
2,4,1e-05,64,3.2809054851531982,41,0.011665304191410542,0.9883346557617188,,
2,4,1e-05,32,3.2898330688476562,68,0.006736446171998978,0.9932635426521301,,
2,4,1e-05,16,3.288928508758545,37,0.012591619044542313,0.9874083995819092,,
2,4,1e-05,8,3.294102430343628,33,0.007111429702490568,0.9928885102272034,,
3,5,0.0001,128,3.2777206897735596,50,0.0005194958066567779,0.9994805455207825,,
3,5,0.0001,64,3.2967441082000732,33,0.0017923553241416812,0.998207688331604,,
3,5,0.0001,32,3.731451988220215,3,0.0,1.0,,
3,5,0.0001,16,3.7570319175720215,3,0.0,1.0,,
3,5,0.0001,8,3.288412570953369,21,0.00168776570353657,0.9983122944831848,,
2,3,0.01,128,3.7405452728271484,3,0.0,1.0,,
2,3,0.01,64,3.5859758853912354,42,0.03863239660859108,0.9613676071166992,,
2,3,0.01,32,3.3878328800201416,69,0.2464149296283722,0.7535850405693054,,
2,3,0.01,16,3.2681679725646973,21,0.2686379551887512,0.7313620448112488,,
2,3,0.01,8,3.415929079055786,55,0.0012923479080200195,0.99870765209198,,
3,3,0.0001,128,3.2699756622314453,28,0.0042305560782551765,0.9957695007324219,,
3,3,0.0001,64,3.276284694671631,59,0.01040694396942854,0.9895930290222168,,
3,3,0.0001,32,3.2926676273345947,49,0.0031505257356911898,0.9968494772911072,,
3,3,0.0001,16,3.2874226570129395,47,0.0069489916786551476,0.9930509924888611,,
3,3,0.0001,8,3.272141456604004,31,0.004970925394445658,0.9950290322303772,,
