kan_neurons,kan_grid,lamb,"embed_dim, num_heads",RMSE,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
2,4,1e-05,"64, 2",3.747051954269409,11,0.11897425353527069,0.8810257315635681,,
2,4,1e-05,"64, 4",3.747051954269409,11,0.11897425353527069,0.8810257315635681,,
2,4,1e-05,"64, 8",3.747051954269409,11,0.11897425353527069,0.8810257315635681,,
2,4,1e-05,"32, 2",3.7242393493652344,27,0.05495209991931915,0.9450478553771973,,
2,4,1e-05,"32, 4",3.7242393493652344,27,0.05495209991931915,0.9450478553771973,,
2,4,1e-05,"32, 8",3.7242393493652344,27,0.05495209991931915,0.9450478553771973,,
2,4,1e-05,"16, 2",3.7774600982666016,58,0.19591142237186432,0.8040886521339417,,
2,4,1e-05,"16, 4",3.7774600982666016,58,0.19591142237186432,0.8040886521339417,,
2,4,1e-05,"16, 8",3.7774600982666016,58,0.19591142237186432,0.8040886521339417,,
2,4,1e-05,"48, 6",3.7385647296905518,14,0.0021606532391160727,0.9978393316268921,,
2,4,1e-05,"24, 6",3.7514190673828125,20,0.2015208750963211,0.7984791398048401,,
2,4,1e-05,"12, 6",3.732337474822998,27,0.15512335300445557,0.8448766469955444,,
3,5,0.0001,"64, 2",3.7437667846679688,15,0.002788952784612775,0.9972110390663147,,
3,5,0.0001,"64, 4",3.7437667846679688,15,0.002788952784612775,0.9972110390663147,,
3,5,0.0001,"64, 8",3.7437667846679688,15,0.002788952784612775,0.9972110390663147,,
3,5,0.0001,"32, 2",3.7353832721710205,39,0.00020811492868233472,0.9997919201850891,,
3,5,0.0001,"32, 4",3.7251572608947754,74,0.026914095506072044,0.973085880279541,,
3,5,0.0001,"32, 8",3.7503602504730225,16,0.01777607388794422,0.9822239279747009,,
3,5,0.0001,"16, 2",3.757920980453491,25,0.008421842008829117,0.9915781021118164,,
3,5,0.0001,"16, 4",3.7399954795837402,14,0.06294424831867218,0.937055766582489,,
3,5,0.0001,"16, 8",3.7399954795837402,14,0.06294424831867218,0.937055766582489,,
3,5,0.0001,"48, 6",3.7466650009155273,26,0.024112507700920105,0.9758874773979187,,
3,5,0.0001,"24, 6",3.750800371170044,56,0.013373843394219875,0.986626148223877,,
3,5,0.0001,"12, 6",3.745039939880371,38,0.4717770218849182,0.5282229781150818,,
2,3,0.01,"64, 2",3.86104154586792,45,0.006763887591660023,0.9932361245155334,,
2,3,0.01,"64, 4",3.7351949214935303,24,0.22728881239891052,0.7727112174034119,,
2,3,0.01,"64, 8",3.7351949214935303,24,0.22728881239891052,0.7727112174034119,,
2,3,0.01,"32, 2",3.7637317180633545,50,0.0003654923930298537,0.9996345043182373,,
2,3,0.01,"32, 4",3.759159564971924,57,0.0002079112164210528,0.9997921586036682,,
2,3,0.01,"32, 8",3.743946075439453,43,0.008618481457233429,0.9913815855979919,,
2,3,0.01,"16, 2",3.735097646713257,15,0.04723186045885086,0.9527681469917297,,
2,3,0.01,"16, 4",3.735097646713257,15,0.04723186045885086,0.9527681469917297,,
2,3,0.01,"16, 8",3.735097646713257,15,0.04723186045885086,0.9527681469917297,,
2,3,0.01,"48, 6",3.7385799884796143,74,0.0001730586081976071,0.9998269081115723,,
2,3,0.01,"24, 6",3.724377155303955,67,0.00018315434863325208,0.9998168349266052,,
2,3,0.01,"12, 6",3.7589914798736572,26,0.004526342265307903,0.9954736828804016,,
3,3,0.0001,"64, 2",3.7347514629364014,64,0.006038083229213953,0.9939619898796082,,
3,3,0.0001,"64, 4",3.733137845993042,77,7.5136536906939e-05,0.999924898147583,,
3,3,0.0001,"64, 8",3.7347514629364014,64,0.006038083229213953,0.9939619898796082,,
3,3,0.0001,"32, 2",3.7535412311553955,79,0.18453598022460938,0.8154640197753906,,
3,3,0.0001,"32, 4",3.7599053382873535,69,0.1903499960899353,0.8096500039100647,,
3,3,0.0001,"32, 8",3.755890130996704,69,0.1956009864807129,0.8043990135192871,,
3,3,0.0001,"16, 2",3.7562694549560547,58,0.05273722857236862,0.9472627639770508,,
3,3,0.0001,"16, 4",3.7562694549560547,58,0.05273722857236862,0.9472627639770508,,
3,3,0.0001,"16, 8",3.7562694549560547,58,0.05273722857236862,0.9472627639770508,,
3,3,0.0001,"48, 6",3.7652809619903564,48,0.08628574013710022,0.9137142896652222,,
3,3,0.0001,"24, 6",3.7309350967407227,30,0.17463816702365875,0.8253618478775024,,
3,3,0.0001,"12, 6",3.7446811199188232,19,0.22046558558940887,0.7795343995094299,,
