kan_neurons,kan_grid,lamb,cnn_bottleneck_dim,RMSE,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
5,4,0.0001,1,0.2792660892009735,38,0.3590014576911926,0.6409986019134521,,
5,4,0.0001,2,0.20171146094799042,15,0.9295199513435364,0.07047998905181885,,
5,4,0.0001,4,0.3947943150997162,37,0.29238036274909973,0.7076196670532227,,
5,4,0.0001,6,0.318071573972702,34,0.20159511268138885,0.7984049320220947,,
5,4,0.0001,8,0.2910442352294922,49,0.19399498403072357,0.8060050010681152,,
5,4,0.0001,10,0.32959848642349243,20,0.23534774780273438,0.7646523118019104,,
5,4,0.0001,12,0.3314546048641205,49,0.24583305418491364,0.7541669011116028,,
6,5,1e-05,1,0.22474519908428192,16,0.9704568386077881,0.029543153941631317,,
6,5,1e-05,2,0.2549959123134613,24,0.4662344455718994,0.5337655544281006,,
6,5,1e-05,4,0.268271267414093,41,0.38208428025245667,0.6179157495498657,,
6,5,1e-05,6,0.2776196599006653,47,0.22301365435123444,0.7769863605499268,,
6,5,1e-05,8,0.2596750259399414,31,0.45092231035232544,0.5490776896476746,,
6,5,1e-05,10,0.2636111080646515,35,0.19380523264408112,0.8061947822570801,,
6,5,1e-05,12,0.2622850835323334,24,0.6662680506706238,0.33373191952705383,,
1,6,1e-06,1,0.2697935104370117,39,0.48172253370285034,0.5182774662971497,,
1,6,1e-06,2,0.4537045657634735,34,0.06094404682517052,0.9390559792518616,,
5,4,0.0001,3,0.3201027810573578,35,0.36996451020240784,0.6300355195999146,,
5,4,0.0001,5,0.28382939100265503,24,0.3793247938156128,0.6206751465797424,,
5,4,0.0001,8,0.22437173128128052,47,0.28459033370018005,0.7154096961021423,,
5,4,0.0001,10,0.3052186369895935,49,0.2579731047153473,0.7420268654823303,,
5,4,0.0001,13,0.3032936155796051,31,0.2441091537475586,0.7558908462524414,,
5,4,0.0001,15,0.299248605966568,47,0.0742182582616806,0.9257817268371582,,
6,5,1e-05,3,0.2971900999546051,39,0.4800789952278137,0.5199210047721863,,
6,5,1e-05,6,0.2866614758968353,37,0.18091632425785065,0.8190836906433105,,
6,5,1e-05,9,0.23609794676303864,48,0.3500855565071106,0.6499144434928894,,
6,5,1e-05,12,0.2666662633419037,29,0.6019965410232544,0.3980034291744232,,
6,5,1e-05,15,0.2941425144672394,49,0.3568151593208313,0.6431848406791687,,
1,6,1e-06,1,0.2697935104370117,39,0.48172253370285034,0.5182774662971497,,
1,6,1e-06,2,0.4035485088825226,44,0.10850827395915985,0.891491711139679,,
1,6,1e-06,3,0.34551340341567993,49,0.16546659171581268,0.8345333933830261,,
1,6,1e-06,4,0.42207902669906616,31,0.12422247231006622,0.875777542591095,,
1,6,1e-06,5,0.42775535583496094,49,0.025628622621297836,0.9743714332580566,,
7,4,1e-06,1,0.2740822434425354,20,0.39003464579582214,0.6099653244018555,,
7,4,1e-06,3,0.2928504943847656,42,0.7088497877120972,0.29115018248558044,,
7,4,1e-06,5,0.26511260867118835,43,0.40877142548561096,0.5912285447120667,,
7,4,1e-06,7,0.24770310521125793,49,0.5073518753051758,0.4926481246948242,,
7,4,1e-06,9,0.20996275544166565,22,0.5576800107955933,0.44231995940208435,,
7,4,1e-06,11,0.2874538004398346,27,0.37511512637138367,0.624884843826294,,
7,4,1e-06,14,0.2699705958366394,49,0.3887125551700592,0.6112874746322632,,
7,4,1e-06,17,0.26912814378738403,49,0.4729674160480499,0.5270325541496277,,
