kan_neurons,kan_grid,lamb,"embed_dim, num_heads",RMSE,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
5,4,0.0001,"64, 2",0.4929032325744629,89,0.010932658798992634,0.9890673160552979,,
5,4,0.0001,"64, 4",0.5106421709060669,89,0.009090845473110676,0.9909091591835022,,
5,4,0.0001,"64, 8",0.5035069584846497,89,0.031731802970170975,0.9682682156562805,,
5,4,0.0001,"64, 2",0.5022209286689758,98,0.011458201333880424,0.9885417819023132,,
5,4,0.0001,"64, 4",0.4893162250518799,107,0.04693043977022171,0.9530695080757141,,
5,4,0.0001,"64, 8",0.4893162250518799,107,0.04693043977022171,0.9530695080757141,,
5,4,0.0001,"32, 2",0.5373333096504211,109,0.03940342366695404,0.9605965614318848,,
5,4,0.0001,"32, 4",0.4795447289943695,74,0.08797689527273178,0.9120230674743652,,
5,4,0.0001,"32, 8",0.4580709934234619,50,0.1447577178478241,0.8552423119544983,,
5,4,0.0001,"16, 2",0.45450225472450256,97,0.16092826426029205,0.8390716910362244,,
5,4,0.0001,"16, 4",0.4379902184009552,107,0.332220196723938,0.6677798628807068,,
5,4,0.0001,"16, 8",0.45418980717658997,109,0.3811383843421936,0.6188616156578064,,
5,4,0.0001,"48, 6",0.464813232421875,104,0.025854695588350296,0.9741453528404236,,
5,4,0.0001,"24, 6",0.5070131421089172,40,0.35125619173049927,0.6487438082695007,,
5,4,0.0001,"12, 6",0.46906664967536926,79,0.12938040494918823,0.870619535446167,,
6,5,1e-05,"64, 2",0.5096463561058044,57,0.19955626130104065,0.8004437685012817,,
6,5,1e-05,"64, 4",0.5050390958786011,42,0.20086152851581573,0.7991384863853455,,
6,5,1e-05,"64, 8",0.5123715400695801,89,0.10830875486135483,0.891691267490387,,
6,5,1e-05,"32, 2",0.45910537242889404,53,0.10984962433576584,0.8901503682136536,,
6,5,1e-05,"32, 4",0.461604505777359,46,0.10600839555263519,0.8939916491508484,,
6,5,1e-05,"32, 8",0.49144378304481506,109,0.1405421942472458,0.8594578504562378,,
6,5,1e-05,"16, 2",0.4806225299835205,81,0.6966225504875183,0.3033774197101593,,
6,5,1e-05,"16, 4",0.4806225299835205,81,0.6966225504875183,0.3033774197101593,,
6,5,1e-05,"16, 8",0.4806225299835205,81,0.6966225504875183,0.3033774197101593,,
6,5,1e-05,"48, 6",0.4942477345466614,109,0.006877526640892029,0.9931224584579468,,
6,5,1e-05,"24, 6",0.4583873152732849,103,0.10977409034967422,0.8902259469032288,,
6,5,1e-05,"12, 6",0.49342966079711914,75,0.36798709630966187,0.6320129632949829,,
1,6,1e-06,"64, 2",0.48995527625083923,48,0.0008608635980635881,0.999139130115509,,
1,6,1e-06,"64, 4",0.48995527625083923,48,0.0008608635980635881,0.999139130115509,,
1,6,1e-06,"64, 8",0.48995527625083923,48,0.0008608635980635881,0.999139130115509,,
1,6,1e-06,"32, 2",0.4762340784072876,44,0.0006680633523501456,0.9993319511413574,,
1,6,1e-06,"32, 4",0.4442795515060425,53,0.00040764978621155024,0.9995923042297363,,
1,6,1e-06,"32, 8",0.4762340784072876,44,0.0006680633523501456,0.9993319511413574,,
1,6,1e-06,"16, 2",0.8241291046142578,70,0.001276873517781496,0.9987230896949768,,
1,6,1e-06,"16, 4",0.8241291046142578,70,0.001276873517781496,0.9987230896949768,,
1,6,1e-06,"16, 8",0.8241291046142578,70,0.001276873517781496,0.9987230896949768,,
1,6,1e-06,"48, 6",0.46629199385643005,43,0.0015743318945169449,0.9984256625175476,,
1,6,1e-06,"24, 6",0.5063520073890686,77,0.10420282930135727,0.8957971334457397,,
1,6,1e-06,"12, 6",0.4993419051170349,98,1.318118869425981e-21,1.0,,
7,4,1e-06,"64, 2",0.5085126757621765,46,0.053116023540496826,0.9468839764595032,,
7,4,1e-06,"64, 4",0.5020716786384583,76,0.11703772842884064,0.8829623460769653,,
7,4,1e-06,"64, 8",0.5020716786384583,76,0.11703772842884064,0.8829623460769653,,
7,4,1e-06,"32, 2",0.4527898132801056,77,0.33635038137435913,0.6636495590209961,,
7,4,1e-06,"32, 4",0.49146074056625366,109,0.47537729144096375,0.5246226787567139,,
7,4,1e-06,"32, 8",0.4527898132801056,77,0.33635038137435913,0.6636495590209961,,
7,4,1e-06,"16, 2",0.5116262435913086,53,0.7978916764259338,0.20210829377174377,,
7,4,1e-06,"16, 4",0.4735530912876129,108,0.8069504499435425,0.19304953515529633,,
7,4,1e-06,"16, 8",0.46414774656295776,102,0.8087500929832458,0.19124984741210938,,
7,4,1e-06,"48, 6",0.4716103672981262,41,0.17989934980869293,0.8201006054878235,,
7,4,1e-06,"24, 6",0.5034455060958862,27,0.11855747550725937,0.8814425468444824,,
7,4,1e-06,"12, 6",0.49517130851745605,62,0.5514973998069763,0.44850265979766846,,
