kan_neurons,kan_grid,lamb,hidden_dim,ACC,Conf_Mtx,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
12,8,0.001,128,0.9413919448852539,"[[418  14   4   5]
 [ 10 407   3   0]
 [  2   5  58   1]
 [  7   3  10 145]]",45,0.0018824075814336538,0.9981176257133484,"V15: 0.33
V20: 0.31
V19: 0.26","V15: 0.35
V20: 0.32
V10: 0.30"
12,8,0.001,64,0.9523809552192688,"[[422  10   4   5]
 [  8 408   3   1]
 [  1   3  62   0]
 [ 11   1   5 148]]",36,0.11616978049278259,0.8838302493095398,"V20: 0.39
V15: 0.35
V19: 0.30","V12: 0.27
V17: 0.24
V18: 0.22"
12,8,0.001,32,0.9239926934242249,"[[416  18   2   5]
 [  9 402   6   3]
 [  1   7  53   5]
 [  9   6  12 138]]",42,0.1410295069217682,0.8589705228805542,"V20: 0.39
V15: 0.27
V19: 0.23","V10: 0.28
V15: 0.27
V20: 0.23"
12,8,0.001,16,0.9514651894569397,"[[413  14   3  11]
 [  4 411   3   2]
 [  0   5  61   0]
 [  8   1   2 154]]",73,0.12050527334213257,0.8794947266578674,"V15: 0.32
V20: 0.31
V2: 0.19","V15: 0.30
V12: 0.29
V10: 0.26"
12,8,0.001,8,0.9468864798545837,"[[417  15   6   3]
 [  9 404   6   1]
 [  1   2  62   1]
 [  6   4   4 151]]",42,0.08936385810375214,0.9106361269950867,"V15: 0.43
V20: 0.23
V13: 0.20","V12: 0.25
V18: 0.23
V17: 0.23"
6,7,1e-05,128,0.9230769276618958,"[[408  21   7   5]
 [ 13 397   8   2]
 [  2   4  56   4]
 [  7   2   9 147]]",52,0.014653943479061127,0.9853460192680359,"V14: 0.28
V15: 0.23
V22: 0.20","V15: 0.28
V12: 0.27
V10: 0.26"
6,7,1e-05,64,0.9075091481208801,"[[408  26   4   3]
 [ 21 384  12   3]
 [  2   4  59   1]
 [  7   6  12 140]]",45,0.021016472950577736,0.9789835214614868,"V15: 0.29
V22: 0.23
V14: 0.20","V15: 0.31
V10: 0.28
V5: 0.28"
6,7,1e-05,32,0.9505494832992554,"[[418  17   0   6]
 [  6 411   2   1]
 [  2   3  61   0]
 [  5   2  10 148]]",50,0.011482357047498226,0.9885176420211792,"V19: 0.23
V6: 0.21
V3: 0.21","V12: 0.33
V17: 0.29
V13: 0.28"
6,7,1e-05,16,0.9120879173278809,"[[411  20   4   6]
 [ 18 392   7   3]
 [  0  11  55   0]
 [  7   6  14 138]]",56,0.030635898932814598,0.9693641662597656,"V15: 0.37
V20: 0.25
V19: 0.21","V12: 0.29
V7: 0.27
V15: 0.27"
6,7,1e-05,8,0.9432234764099121,"[[411  19   6   5]
 [ 11 407   1   1]
 [  2   3  61   0]
 [  4   4   6 151]]",29,0.014056818559765816,0.9859431982040405,"V22: 0.22
V15: 0.21
V11: 0.20","V24: 0.30
V12: 0.27
V17: 0.27"
11,3,0.001,128,0.9551281929016113,"[[419   9   6   7]
 [  8 408   3   1]
 [  1   3  62   0]
 [  7   2   2 154]]",39,1.6873029380803928e-05,0.9999830722808838,"V7: 0.25
V20: 0.22
V15: 0.18","V12: 0.25
V18: 0.24
V17: 0.21"
11,3,0.001,64,0.9523809552192688,"[[422   6   9   4]
 [  6 409   3   2]
 [  0   7  59   0]
 [  7   2   6 150]]",52,1.3598866644315422e-05,0.9999864101409912,"V7: 0.24
V15: 0.18
V20: 0.17","V12: 0.29
V18: 0.27
V17: 0.27"
11,3,0.001,32,0.9487179517745972,"[[417   9   8   7]
 [  6 408   5   1]
 [  3   5  58   0]
 [  8   1   3 153]]",58,2.5095505407080054e-05,0.9999749064445496,"V7: 0.23
V15: 0.20
V22: 0.17","V12: 0.32
V18: 0.30
V17: 0.28"
11,3,0.001,16,0.9468864798545837,"[[418  12   3   8]
 [ 15 403   2   0]
 [  0   4  62   0]
 [  9   2   3 151]]",58,2.4431266865576617e-05,0.9999755620956421,"V7: 0.27
V20: 0.20
V9: 0.16","V12: 0.42
V18: 0.38
V17: 0.37"
11,3,0.001,8,0.9578754901885986,"[[422   6   6   7]
 [  7 408   2   3]
 [  1   3  62   0]
 [  7   2   2 154]]",73,2.5247716166632017e-06,0.9999974966049194,"V7: 0.18
V12: 0.13
V9: 0.13","V12: 0.28
V18: 0.25
V17: 0.25"
7,3,0.001,128,0.9459707140922546,"[[418  12   6   5]
 [  7 406   3   4]
 [  1   5  60   0]
 [  9   5   2 149]]",62,1.275553586310707e-05,0.9999872446060181,"V9: 0.22
V12: 0.17
V10: 0.16","V18: 0.36
V12: 0.33
V17: 0.30"
7,3,0.001,64,0.9441391825675964,"[[411  17   5   8]
 [  6 408   4   2]
 [  1   7  58   0]
 [  7   1   3 154]]",54,0.0010847870726138353,0.9989151954650879,"V15: 0.41
V9: 0.20
V10: 0.18","V12: 0.25
V18: 0.21
V17: 0.21"
7,3,0.001,32,0.9368131756782532,"[[416  12   6   7]
 [ 11 402   5   2]
 [  2   7  57   0]
 [  8   2   7 148]]",52,5.405488082033116e-06,0.9999945759773254,"V15: 0.28
V9: 0.21
V10: 0.18","V23: 0.18
V24: 0.14
V22: 0.14"
7,3,0.001,16,0.9487179517745972,"[[417  15   4   5]
 [  9 408   1   2]
 [  5   0  61   0]
 [  4   4   7 150]]",48,2.0003237295895815e-05,0.9999800324440002,"V7: 0.25
V22: 0.21
V5: 0.18","V12: 0.17
V20: 0.17
V17: 0.17"
7,3,0.001,8,0.9496337175369263,"[[422   6   5   8]
 [ 13 404   3   0]
 [  2   2  62   0]
 [  5   5   6 149]]",76,2.0699344531749375e-06,0.9999979734420776,"V22: 0.17
V12: 0.14
V23: 0.14","V12: 0.33
V18: 0.29
V17: 0.27"
