cnn_blocks,dense_layers,_,Acc,Best_Epoch
1,1,_,0.7302452325820923,1
1,2,_,0.7193460464477539,2
1,3,_,0.7166212201118469,6
2,1,_,0.692098081111908,1
2,2,_,0.6948229074478149,2
2,3,_,0.7166212201118469,7
3,1,_,0.7302452325820923,3
3,2,_,0.7356948256492615,62
3,3,_,0.7247956395149231,3
1,1,_,0.7166212201118469,1
1,2,_,0.7057220339775085,18
1,3,_,0.7193460464477539,5
2,1,_,0.7029972672462463,7
2,2,_,0.7220708131790161,15
2,3,_,0.7111716270446777,11
3,1,_,0.7029972672462463,0
3,2,_,0.7138964533805847,1
3,3,_,0.7220708131790161,3
