kan_neurons,kan_grid,lamb,ACC,Best_Epoch
3,7,1.00E-06,0.743869185,3
5,7,0.0001,0.738419592,4
6,3,0.001,0.738419592,1
8,4,1.00E-05,0.738419592,2
1,7,1.00E-05,0.738419592,3
5,8,0.0001,0.735694826,5
5,8,1.00E-07,0.735694826,3
7,5,1.00E-06,0.735694826,2
7,6,0.001,0.735694826,2
7,8,1.00E-07,0.735694826,2
8,8,0.001,0.735694826,2
3,5,1.00E-07,0.732969999,2
3,6,1.00E-07,0.732969999,2
4,3,1.00E-06,0.732969999,3
4,8,0.001,0.732969999,10
5,3,0.0001,0.732969999,5
6,8,0.0001,0.732969999,4
7,8,1.00E-05,0.732969999,3
3,3,0.001,0.730245233,14
3,5,0.0001,0.730245233,11
4,5,0.001,0.730245233,18
4,7,0.001,0.730245233,3
5,3,0.001,0.730245233,6
5,5,1.00E-05,0.730245233,5
5,7,1.00E-05,0.730245233,3
7,4,1.00E-05,0.730245233,24
7,5,1.00E-07,0.730245233,4
7,7,0.0001,0.730245233,3
7,8,1.00E-06,0.730245233,4
8,4,1.00E-07,0.730245233,3
8,7,1.00E-06,0.730245233,7
1,5,1.00E-07,0.730245233,4
1,6,1.00E-05,0.730245233,2
2,5,1.00E-05,0.730245233,1
2,8,1.00E-07,0.730245233,5
3,4,1.00E-06,0.727520406,3
3,6,0.001,0.727520406,3
3,6,1.00E-05,0.727520406,2
3,7,1.00E-05,0.727520406,2
3,7,1.00E-07,0.727520406,5
4,5,1.00E-06,0.727520406,5
5,4,0.0001,0.727520406,1
5,7,1.00E-06,0.727520406,3
6,8,1.00E-06,0.727520406,7
7,3,1.00E-06,0.727520406,10
7,5,1.00E-05,0.727520406,4
7,6,0.0001,0.727520406,2
8,5,0.0001,0.727520406,3
1,6,0.0001,0.727520406,5
1,7,1.00E-07,0.727520406,4
1,8,1.00E-07,0.727520406,2
2,7,1.00E-06,0.727520406,9
2,7,1.00E-07,0.727520406,5
3,8,0.001,0.72479564,5
4,3,0.001,0.72479564,3
4,5,0.0001,0.72479564,6
4,7,0.0001,0.72479564,5
4,8,1.00E-07,0.72479564,2
5,3,1.00E-07,0.72479564,16
5,5,1.00E-06,0.72479564,4
5,6,0.001,0.72479564,2
5,6,1.00E-06,0.72479564,2
5,7,0.001,0.72479564,2
5,7,1.00E-07,0.72479564,3
5,8,1.00E-05,0.72479564,3
6,3,1.00E-07,0.72479564,12
6,4,1.00E-07,0.72479564,19
6,5,1.00E-07,0.72479564,1
6,6,1.00E-06,0.72479564,5
6,6,1.00E-07,0.72479564,2
7,7,0.001,0.72479564,7
8,8,1.00E-05,0.72479564,2
1,7,0.0001,0.72479564,2
2,3,1.00E-06,0.72479564,14
2,4,1.00E-07,0.72479564,28
2,5,1.00E-07,0.72479564,3
2,6,0.0001,0.72479564,7
3,3,0.0001,0.722070813,5
3,5,1.00E-05,0.722070813,20
4,7,1.00E-05,0.722070813,2
4,7,1.00E-07,0.722070813,2
5,3,1.00E-05,0.722070813,2
5,4,1.00E-07,0.722070813,1
5,6,0.0001,0.722070813,25
5,8,0.001,0.722070813,2
6,4,1.00E-06,0.722070813,1
6,5,0.0001,0.722070813,1
7,5,0.001,0.722070813,10
7,6,1.00E-05,0.722070813,2
8,6,1.00E-05,0.722070813,3
8,6,1.00E-07,0.722070813,4
8,7,0.0001,0.722070813,4
8,8,1.00E-06,0.722070813,4
1,5,0.001,0.722070813,1
1,6,1.00E-06,0.722070813,3
1,8,0.0001,0.722070813,5
1,8,1.00E-05,0.722070813,2
1,8,1.00E-06,0.722070813,2
3,3,1.00E-07,0.719346046,5
3,7,0.001,0.719346046,2
4,3,1.00E-05,0.719346046,18
4,7,1.00E-06,0.719346046,16
5,6,1.00E-05,0.719346046,2
5,8,1.00E-06,0.719346046,3
6,4,1.00E-05,0.719346046,1
6,5,1.00E-05,0.719346046,1
6,7,1.00E-07,0.719346046,4
6,8,0.001,0.719346046,1
7,7,1.00E-06,0.719346046,8
7,7,1.00E-07,0.719346046,4
7,8,0.0001,0.719346046,6
8,5,1.00E-05,0.719346046,2
8,6,0.0001,0.719346046,9
8,8,0.0001,0.719346046,2
8,8,1.00E-07,0.719346046,2
1,3,1.00E-06,0.719346046,1
1,7,0.001,0.719346046,2
2,3,1.00E-07,0.719346046,2
2,4,0.0001,0.719346046,1
2,4,1.00E-05,0.719346046,16
2,6,1.00E-05,0.719346046,5
2,8,0.001,0.719346046,2
4,3,0.0001,0.71662122,1
4,3,1.00E-07,0.71662122,20
