kan_neurons,kan_grid,lamb,RMSE,Best_Epoch
1,3,0.1,4.1096510887146,15
1,3,0.1,3.7442874908447266,48
1,3,0.01,3.341777801513672,51
1,3,0.001,3.3839046955108643,17
1,3,0.0001,3.3649160861968994,43
1,3,1e-05,3.3642194271087646,12
1,3,1e-06,3.3247969150543213,50
1,4,0.1,3.786616802215576,49
1,4,0.01,3.345952033996582,50
1,4,0.001,3.3640432357788086,23
1,4,0.0001,3.3753371238708496,39
1,4,1e-05,3.323759078979492,48
1,4,1e-06,3.3816680908203125,27
1,5,0.1,3.7493479251861572,48
1,5,0.01,3.4202425479888916,62
1,5,0.001,3.6122970581054688,43
1,5,0.0001,3.3795666694641113,39
1,5,1e-05,3.5612294673919678,44
1,5,1e-06,3.5060086250305176,65
1,6,0.1,3.7371654510498047,48
1,6,0.01,3.406285047531128,67
1,6,0.001,3.4780406951904297,43
1,6,0.0001,3.5251269340515137,43
1,6,1e-05,3.48138689994812,59
1,6,1e-06,3.5504634380340576,43
2,3,0.1,3.7515127658843994,48
2,3,0.01,3.440415143966675,66
2,3,0.001,3.2987654209136963,50
2,3,0.0001,3.3364555835723877,17
2,3,1e-05,3.311347484588623,67
2,3,1e-06,3.345580816268921,44
2,4,0.1,3.74649715423584,48
2,4,0.01,3.444571018218994,38
2,4,0.001,3.4299123287200928,65
2,4,0.0001,3.4417526721954346,38
2,4,1e-05,3.4681785106658936,43
2,4,1e-06,3.4201316833496094,27
2,5,0.1,3.7963247299194336,48
2,5,0.01,3.553269863128662,61
2,5,0.001,3.5675806999206543,31
2,5,0.0001,3.556769371032715,20
2,5,1e-05,3.5352113246917725,50
2,5,1e-06,3.529315233230591,33
2,6,0.1,3.801431655883789,48
2,6,0.01,3.4138457775115967,39
2,6,0.001,3.5685722827911377,43
2,6,0.0001,3.4456024169921875,48
2,6,1e-05,3.5688023567199707,16
2,6,1e-06,3.464817762374878,21
3,3,0.1,3.7856152057647705,57
3,3,0.01,3.377096652984619,44
3,3,0.001,3.351515531539917,23
3,3,0.0001,3.3587348461151123,12
3,3,1e-05,3.3445756435394287,39
3,3,1e-06,3.3343379497528076,17
3,4,0.1,3.779689073562622,43
3,4,0.01,3.4403011798858643,50
3,4,0.001,3.3821194171905518,45
3,4,0.0001,3.4777305126190186,44
3,4,1e-05,3.652477979660034,5
3,4,1e-06,3.460925579071045,45
3,5,0.1,3.793257236480713,46
3,5,0.01,3.3677937984466553,44
3,5,0.001,3.337348461151123,69
3,5,0.0001,3.366847515106201,60
3,5,1e-05,3.4514706134796143,44
3,5,1e-06,3.371988534927368,43
3,6,0.1,3.802232503890991,62
3,6,0.01,3.392549514770508,15
3,6,0.001,3.4304726123809814,57
3,6,0.0001,3.4141876697540283,38
3,6,1e-05,3.4105679988861084,48
3,6,1e-06,3.47948956489563,28
4,3,0.1,3.7530431747436523,48
4,3,0.01,3.432819366455078,23
4,3,0.001,3.3846652507781982,45
4,3,0.0001,3.334507703781128,17
4,3,1e-05,3.280463218688965,67
4,3,1e-06,3.305161714553833,69
4,4,0.1,3.736781597137451,48
4,4,0.01,3.420992374420166,28
4,4,0.001,3.4173290729522705,17
4,4,0.0001,3.400137424468994,62
4,4,1e-05,3.427375316619873,50
4,4,1e-06,3.4385621547698975,43
4,5,0.1,3.783271551132202,50
4,5,0.01,3.5419132709503174,62
4,5,0.001,3.549499750137329,47
4,5,0.0001,3.3025877475738525,45
4,5,1e-05,3.3849496841430664,44
4,5,1e-06,3.553333282470703,17
4,6,0.1,3.7507050037384033,48
4,6,0.01,3.436614751815796,50
4,6,0.001,3.5086913108825684,11
4,6,0.0001,3.515942335128784,19
4,6,1e-05,3.5485756397247314,15
4,6,1e-06,3.525853395462036,20
1,3,0.1,3.743666410446167,69
1,3,0.01,3.3347671031951904,68
1,3,0.001,3.3096494674682617,26
1,3,0.0001,3.279135227203369,69
1,3,1e-05,3.3047995567321777,49
1,3,1e-06,3.3056976795196533,17
2,3,0.01,3.3065714836120605,47
2,3,0.001,3.2532551288604736,69
2,3,0.0001,3.2967090606689453,47
2,3,1e-05,3.2619967460632324,68
2,3,1e-06,3.261824369430542,69
3,4,0.0001,3.3807151317596436,33
3,4,1e-05,3.3731117248535156,35
3,4,1e-06,3.375619411468506,48
3,5,0.0001,3.352489709854126,47
3,5,1e-05,3.3403778076171875,43
3,5,1e-06,3.2931010723114014,48
3,6,0.0001,3.4510903358459473,33
3,6,1e-05,3.3782436847686768,38
3,6,1e-06,3.355403184890747,38
3,7,0.0001,3.3141794204711914,17
3,7,1e-05,3.277484178543091,47
3,7,1e-06,3.3182079792022705,47
1,3,0.1,3.7184648513793945,51
1,3,0.01,3.2894680500030518,15
1,3,0.001,3.2899515628814697,9
1,3,0.0001,3.276296377182007,9
1,3,1e-05,3.297412872314453,8
1,3,1e-06,3.288259983062744,12
1,4,0.1,3.7400951385498047,55
1,4,0.01,3.3009560108184814,17
1,4,0.001,3.29063081741333,10
1,4,0.0001,3.3000354766845703,11
1,4,1e-05,3.303493022918701,12
1,4,1e-06,3.3032901287078857,12
1,5,0.1,3.7362425327301025,68
1,5,0.01,3.297236442565918,13
1,5,0.001,3.5497632026672363,9
1,5,0.0001,3.308621406555176,12
1,5,1e-05,3.3939476013183594,10
1,5,1e-06,3.434159994125366,13
1,6,0.1,3.728724241256714,34
1,6,0.01,3.310715436935425,23
1,6,0.001,3.3524389266967773,9
1,6,0.0001,3.3851144313812256,10
1,6,1e-05,3.3883259296417236,9
1,6,1e-06,3.3933937549591064,9
2,3,0.1,3.731600046157837,69
2,3,0.01,3.2401466369628906,15
2,3,0.001,3.249769449234009,7
2,3,0.0001,3.2460548877716064,7
2,3,1e-05,3.267484664916992,11
2,3,1e-06,3.26613450050354,9
2,4,0.1,3.716884136199951,34
2,4,0.01,3.3584816455841064,10
2,4,0.001,3.2697393894195557,17
2,4,0.0001,3.2792716026306152,15
2,4,1e-05,3.269481897354126,15
2,4,1e-06,3.303321599960327,22
2,5,0.1,3.723238945007324,68
2,5,0.01,3.3049814701080322,17
2,5,0.001,3.2683160305023193,9
2,5,0.0001,3.266551971435547,10
2,5,1e-05,3.2630093097686768,10
2,5,1e-06,3.2705860137939453,7
2,6,0.1,3.726940155029297,69
2,6,0.01,3.3080453872680664,8
2,6,0.001,3.3522231578826904,7
2,6,0.0001,3.362509250640869,7
2,6,1e-05,3.3488197326660156,8
2,6,1e-06,3.3564870357513428,8
3,3,0.1,3.7168521881103516,56
3,3,0.01,3.278012275695801,19
3,3,0.001,3.262432813644409,7
3,3,0.0001,3.241042375564575,8
3,3,1e-05,3.255601644515991,9
3,3,1e-06,3.269246816635132,10
3,4,0.1,3.7229113578796387,43
3,4,0.01,3.259615898132324,10
3,4,0.001,3.2584786415100098,8
3,4,0.0001,3.294732093811035,8
3,4,1e-05,3.2688798904418945,9
3,4,1e-06,3.2715516090393066,7
3,5,0.1,3.7386138439178467,61
3,5,0.01,3.3086395263671875,9
3,5,0.001,3.2526581287384033,9
3,5,0.0001,3.254310369491577,9
3,5,1e-05,3.2742276191711426,9
3,5,1e-06,3.279921531677246,10
3,6,0.1,3.724607229232788,65
3,6,0.01,3.2854976654052734,12
3,6,0.001,3.2543625831604004,11
3,6,0.0001,3.2814159393310547,9
3,6,1e-05,3.2724456787109375,9
3,6,1e-06,3.297744035720825,13
4,3,0.1,3.7263576984405518,67
4,3,0.01,3.2552876472473145,16
4,3,0.001,3.268609046936035,10
4,3,0.0001,3.26244854927063,13
4,3,1e-05,3.266373872756958,11
4,3,1e-06,3.264479398727417,11
4,4,0.1,3.7300350666046143,51
4,4,0.01,3.247169256210327,18
4,4,0.001,3.291691541671753,9
4,4,0.0001,3.274857521057129,6
4,4,1e-05,3.283357858657837,6
4,4,1e-06,3.267063617706299,6
4,5,0.1,3.7325196266174316,59
4,5,0.01,3.267481565475464,9
4,5,0.001,3.2704007625579834,8
4,5,0.0001,3.268444299697876,6
4,5,1e-05,3.2593371868133545,7
4,5,1e-06,3.274592399597168,7
4,6,0.1,3.722223997116089,39
4,6,0.01,3.2897002696990967,9
4,6,0.001,3.2640323638916016,8
4,6,0.0001,3.2789816856384277,10
4,6,1e-05,3.3177435398101807,9
4,6,1e-06,3.2628889083862305,8
