kan_neurons,kan_grid,lamb,RMSE,Best_Epoch
1,3,0.1,0.5384042859077454,68
1,3,0.01,0.40469643473625183,35
1,3,0.001,0.4229992926120758,16
1,3,0.0001,0.4002418518066406,37
1,3,1e-05,0.43674442172050476,17
1,3,1e-06,0.4207456409931183,61
1,4,0.1,0.5297943949699402,67
1,4,0.01,0.3906252980232239,30
1,4,0.001,0.41916805505752563,38
1,4,0.0001,0.4324268400669098,20
1,4,1e-05,0.43538641929626465,22
1,4,1e-06,0.45902931690216064,14
1,5,0.1,0.5238381028175354,69
1,5,0.01,0.40799635648727417,60
1,5,0.001,0.3783859610557556,40
1,5,0.0001,0.41656383872032166,22
1,5,1e-05,0.36731693148612976,68
1,5,1e-06,0.42530906200408936,27
1,6,0.1,0.5210767984390259,69
1,6,0.01,0.40076014399528503,69
1,6,0.001,0.3777577579021454,22
1,6,0.0001,0.38743534684181213,23
1,6,1e-05,0.4041249454021454,17
1,6,1e-06,0.4052566587924957,16
2,3,0.1,0.5156128406524658,52
2,3,0.01,0.40377384424209595,20
2,3,0.001,0.41545823216438293,13
2,3,0.0001,0.3981156349182129,13
2,3,1e-05,0.39799511432647705,14
2,3,1e-06,0.43077975511550903,23
2,4,0.1,0.5089972615242004,68
2,4,0.01,0.4003438651561737,23
2,4,0.001,0.39884182810783386,18
2,4,0.0001,0.4179593622684479,15
2,4,1e-05,0.40572893619537354,54
2,4,1e-06,0.4249995946884155,59
2,5,0.1,0.5050476789474487,66
2,5,0.01,0.3938852548599243,69
2,5,0.001,0.39690878987312317,33
2,5,0.0001,0.3799014687538147,54
2,5,1e-05,0.3880232274532318,16
2,5,1e-06,0.3838493824005127,27
2,6,0.1,0.5121456980705261,41
2,6,0.01,0.4076451361179352,22
2,6,0.001,0.42679300904273987,17
2,6,0.0001,0.428753137588501,36
2,6,1e-05,0.44652989506721497,14
2,6,1e-06,0.43017715215682983,30
3,3,0.1,0.5234476923942566,49
3,3,0.01,0.38700756430625916,24
3,3,0.001,0.37187930941581726,23
3,3,0.0001,0.3908903896808624,35
3,3,1e-05,0.3568207621574402,36
3,3,1e-06,0.4018308222293854,21
3,4,0.1,0.511626124382019,69
3,4,0.01,0.40451663732528687,20
3,4,0.001,0.3778762221336365,32
3,4,0.0001,0.41677185893058777,35
3,4,1e-05,0.4140119254589081,26
3,4,1e-06,0.4222622215747833,16
3,5,0.1,0.5131720900535583,69
3,5,0.01,0.394015908241272,48
3,5,0.001,0.34260377287864685,27
3,5,0.0001,0.46073949337005615,14
3,5,1e-05,0.40814313292503357,60
3,5,1e-06,0.42903879284858704,15
3,6,0.1,0.5304275751113892,69
3,6,0.01,0.4011843800544739,38
3,6,0.001,0.3602016568183899,24
3,6,0.0001,0.3670724630355835,35
3,6,1e-05,0.40946516394615173,26
3,6,1e-06,0.39289233088493347,44
4,3,0.1,0.5176844596862793,69
4,3,0.01,0.39386752247810364,18
4,3,0.001,0.3866089880466461,48
4,3,0.0001,0.42373305559158325,37
4,3,1e-05,0.4457179605960846,14
4,3,1e-06,0.4529021978378296,14
4,4,0.1,0.5276210308074951,69
4,4,0.01,0.41962990164756775,57
4,4,0.001,0.4206003248691559,49
4,4,0.0001,0.40687495470046997,32
4,4,1e-05,0.4114071726799011,66
4,4,1e-06,0.4078046977519989,21
4,5,0.1,0.5146642923355103,69
4,5,0.01,0.3919828534126282,57
4,5,0.001,0.40365079045295715,57
4,5,0.0001,0.42121484875679016,57
4,5,1e-05,0.4045350253582001,18
4,5,1e-06,0.35659170150756836,41
4,6,0.1,0.5145712494850159,46
4,6,0.01,0.4044475555419922,29
4,6,0.001,0.39372679591178894,27
4,6,0.0001,0.40396398305892944,35
4,6,1e-05,0.40735018253326416,27
4,6,1e-06,0.4101952910423279,60
5,3,0.1,0.5355650186538696,53
5,3,0.01,0.4254159927368164,30
5,3,0.001,0.40596210956573486,21
5,3,0.0001,0.3817324638366699,29
5,3,1e-05,0.389470636844635,13
5,3,1e-06,0.4155636727809906,25
5,4,0.1,0.5230991244316101,69
5,4,0.01,0.3943385183811188,22
5,4,0.001,0.3661457896232605,31
5,4,0.0001,0.37862858176231384,62
5,4,1e-05,0.37286531925201416,67
5,4,1e-06,0.37216559052467346,68
5,5,0.1,0.5146324634552002,63
5,5,0.01,0.409508615732193,19
5,5,0.001,0.3723241686820984,26
5,5,0.0001,0.37255656719207764,14
5,5,1e-05,0.38234299421310425,67
5,5,1e-06,0.35933783650398254,40
5,6,0.1,0.5273897647857666,69
5,6,0.01,0.40507540106773376,22
5,6,0.001,0.3777417540550232,14
5,6,0.0001,0.3995878994464874,26
5,6,1e-05,0.4017963409423828,17
5,6,1e-06,0.43338510394096375,16
6,3,0.1,0.5143690705299377,69
6,3,0.01,0.39206910133361816,68
6,3,0.001,0.3555698096752167,69
6,3,0.0001,0.4271952211856842,21
6,3,1e-05,0.4465081989765167,21
6,3,1e-06,0.43586069345474243,15
6,4,0.1,0.5117684602737427,69
6,4,0.01,0.39171451330184937,29
6,4,0.001,0.3971051871776581,33
6,4,0.0001,0.42491939663887024,32
6,4,1e-05,0.41139253973960876,20
6,4,1e-06,0.43839648365974426,15
6,5,0.1,0.537203311920166,69
6,5,0.01,0.415551096200943,21
6,5,0.001,0.44465526938438416,21
6,5,0.0001,0.41641634702682495,29
6,5,1e-05,0.42358922958374023,57
6,5,1e-06,0.3938072919845581,28
6,6,0.1,0.5234099626541138,67
6,6,0.01,0.39187759160995483,24
6,6,0.001,0.38540664315223694,15
6,6,0.0001,0.43894466757774353,25
6,6,1e-05,0.40888723731040955,18
6,6,1e-06,0.38985148072242737,28
7,3,0.1,0.5159773826599121,33
7,3,0.01,0.36466678977012634,19
7,3,0.001,0.41885000467300415,14
7,3,0.0001,0.35792097449302673,66
7,3,1e-05,0.3657083511352539,16
7,3,1e-06,0.42077142000198364,13
7,4,0.1,0.5163500308990479,59
7,4,0.01,0.4048444330692291,64
7,4,0.001,0.3897310197353363,43
7,4,0.0001,0.4099687337875366,31
7,4,1e-05,0.3602091073989868,36
7,4,1e-06,0.3904631435871124,24
7,5,0.1,0.5202812552452087,69
7,5,0.01,0.42349085211753845,56
7,5,0.001,0.41528934240341187,40
7,5,0.0001,0.43249306082725525,48
7,5,1e-05,0.4402816891670227,12
7,5,1e-06,0.4676896631717682,51
7,6,0.1,0.5178195834159851,69
7,6,0.01,0.3899167478084564,22
7,6,0.001,0.3279411196708679,54
7,6,0.0001,0.33742937445640564,64
7,6,1e-05,0.357223778963089,68
7,6,1e-06,0.3830473721027374,68
