kan_neurons,kan_grid,lamb,ACC,Best_Epoch
13,3,0.1,0.38461539149284363,0
13,3,0.01,0.9285714030265808,47
13,3,0.001,0.9020146727561951,79
13,3,0.0001,0.8388278484344482,24
13,3,1e-05,0.8498168587684631,61
13,3,1e-06,0.8479853272438049,18
13,3,1e-07,0.8424908518791199,56
13,4,0.1,0.38461539149284363,0
13,4,0.01,0.9358974099159241,60
13,4,0.001,0.9093406796455383,53
13,4,0.0001,0.8452380895614624,27
13,4,1e-05,0.8507326245307922,97
13,4,1e-06,0.8379120826721191,41
13,4,1e-07,0.8461538553237915,27
13,5,0.1,0.38461539149284363,0
13,5,0.01,0.9322344064712524,59
13,5,0.001,0.9047619104385376,53
13,5,0.0001,0.8717948794364929,61
13,5,1e-05,0.8791208863258362,73
13,5,1e-06,0.8305860757827759,30
13,5,1e-07,0.8461538553237915,36
13,6,0.1,0.38461539149284363,0
13,6,0.01,0.918498158454895,41
13,6,0.001,0.9368131756782532,44
13,6,0.0001,0.8736263513565063,77
13,6,1e-05,0.860805869102478,56
13,6,1e-06,0.8534798622131348,39
13,6,1e-07,0.83699631690979,37
13,7,0.1,0.38461539149284363,0
13,7,0.01,0.942307710647583,26
13,7,0.001,0.9075091481208801,55
13,7,0.0001,0.8470696210861206,24
13,7,1e-05,0.8543956279754639,28
13,7,1e-06,0.8388278484344482,43
13,7,1e-07,0.8388278484344482,32
13,8,0.1,0.38461539149284363,0
13,8,0.01,0.9349817037582397,62
13,8,0.001,0.901098906993866,64
13,8,0.0001,0.8470696210861206,26
13,8,1e-05,0.8406593203544617,18
13,8,1e-06,0.8516483306884766,71
13,8,1e-07,0.8278388381004333,17
12,3,0.1,0.38461539149284363,0
12,3,0.01,0.9468864798545837,82
12,3,0.001,0.9267399311065674,58
12,3,0.0001,0.8855311274528503,55
12,3,1e-05,0.8516483306884766,34
12,3,1e-06,0.8589743375778198,94
12,3,1e-07,0.8598901033401489,34
12,4,0.1,0.38461539149284363,0
12,4,0.01,0.9267399311065674,32
12,4,0.001,0.8965201377868652,48
12,4,0.0001,0.8424908518791199,97
12,4,1e-05,0.8159340620040894,21
12,4,1e-06,0.8250916004180908,22
12,4,1e-07,0.8223443031311035,66
12,5,0.1,0.38461539149284363,0
12,5,0.01,0.9340659379959106,92
12,5,0.001,0.9120879173278809,34
12,5,0.0001,0.8791208863258362,94
12,5,1e-05,0.8479853272438049,79
12,5,1e-06,0.8379120826721191,35
12,5,1e-07,0.83699631690979,43
12,6,0.1,0.38461539149284363,0
12,6,0.01,0.9322344064712524,73
12,6,0.001,0.91300368309021,39
12,6,0.0001,0.8461538553237915,30
12,6,1e-05,0.8635531067848206,46
12,6,1e-06,0.8580586314201355,32
12,6,1e-07,0.8708791136741638,96
12,7,0.1,0.38461539149284363,0
12,7,0.01,0.918498158454895,38
12,7,0.001,0.9056776762008667,90
12,7,0.0001,0.8864468932151794,76
12,7,1e-05,0.8553113341331482,66
12,7,1e-06,0.8424908518791199,18
12,7,1e-07,0.8626373410224915,52
