kan_neurons,kan_grid,lamb,hidden_dim,ACC,Conf_Mtx,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
3,3,1e-05,128,0.7002724409103394,"[[116  67]
 [ 43 141]]",34,0.002154964953660965,0.9978450536727905,,
3,3,1e-05,64,0.7002724409103394,"[[114  69]
 [ 41 143]]",13,0.006238166708499193,0.9937618374824524,,
3,3,1e-05,32,0.7084468603134155,"[[119  64]
 [ 43 141]]",40,0.00465403264388442,0.9953460097312927,,
3,3,1e-05,16,0.7057220339775085,"[[124  59]
 [ 49 135]]",11,0.06578241288661957,0.934217631816864,,
3,3,1e-05,8,0.6948229074478149,"[[120  63]
 [ 49 135]]",13,0.0028005887288600206,0.9971993565559387,,
2,4,1e-07,128,0.6811988949775696,"[[116  67]
 [ 50 134]]",14,0.0006399729172699153,0.9993600249290466,,
2,4,1e-07,64,0.7111716270446777,"[[123  60]
 [ 46 138]]",11,0.00014882897085044533,0.9998511672019958,,
2,4,1e-07,32,0.7166212201118469,"[[126  57]
 [ 47 137]]",6,0.49950510263442993,0.5004948973655701,,
2,4,1e-07,16,0.7111716270446777,"[[125  58]
 [ 48 136]]",55,0.00030805173446424305,0.999691903591156,,
2,4,1e-07,8,0.7029972672462463,"[[122  61]
 [ 48 136]]",12,0.0005461861146613955,0.9994537830352783,,
5,6,1e-06,128,0.7111716270446777,"[[128  55]
 [ 51 133]]",59,0.0008395064505748451,0.9991604685783386,,
5,6,1e-06,64,0.7193460464477539,"[[128  55]
 [ 48 136]]",10,0.0072190300561487675,0.9927809834480286,,
5,6,1e-06,32,0.7247956395149231,"[[132  51]
 [ 50 134]]",38,0.0037467770744115114,0.996253252029419,,
5,6,1e-06,16,0.7166212201118469,"[[120  63]
 [ 41 143]]",15,0.013917360454797745,0.9860826730728149,,
5,6,1e-06,8,0.7084468603134155,"[[128  55]
 [ 52 132]]",7,0.010282916016876698,0.9897170662879944,,
1,6,0.0001,128,0.692098081111908,"[[115  68]
 [ 45 139]]",11,0.0007553030154667795,0.999244749546051,,
1,6,0.0001,64,0.7057220339775085,"[[126  57]
 [ 51 133]]",30,0.0016894781729206443,0.9983105063438416,,
1,6,0.0001,32,0.7138964533805847,"[[125  58]
 [ 47 137]]",20,0.0017700518947094679,0.99822998046875,,
1,6,0.0001,16,0.7002724409103394,"[[130  53]
 [ 57 127]]",52,0.0017774736043065786,0.9982225298881531,,
1,6,0.0001,8,0.7111716270446777,"[[129  54]
 [ 52 132]]",36,0.000573241151869297,0.9994267821311951,,
