kan_neurons,kan_grid,lamb,"embed_dim, num_heads",ACC,Conf_Mtx,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
2,4,1e-05,"64, 2",0.7111716270446777,"[[127  56]
 [ 50 134]]",26,0.0018154947319999337,0.9981844425201416,,
2,4,1e-05,"64, 4",0.7111716270446777,"[[127  56]
 [ 50 134]]",26,0.0018154947319999337,0.9981844425201416,,
2,4,1e-05,"64, 8",0.6893733143806458,"[[123  60]
 [ 54 130]]",75,0.0014362744987010956,0.9985637068748474,,
2,4,1e-05,"32, 2",0.6975476741790771,"[[117  66]
 [ 45 139]]",5,0.07340380549430847,0.9265962243080139,,
2,4,1e-05,"32, 4",0.6975476741790771,"[[117  66]
 [ 45 139]]",5,0.07340380549430847,0.9265962243080139,,
2,4,1e-05,"32, 8",0.6975476741790771,"[[117  66]
 [ 45 139]]",5,0.07340380549430847,0.9265962243080139,,
2,4,1e-05,"16, 2",0.7111716270446777,"[[120  63]
 [ 43 141]]",8,0.05980227515101433,0.940197765827179,,
2,4,1e-05,"16, 4",0.6975476741790771,"[[117  66]
 [ 45 139]]",6,0.03759907931089401,0.9624009132385254,,
2,4,1e-05,"16, 8",0.7138964533805847,"[[122  61]
 [ 44 140]]",6,0.046692896634340286,0.9533071517944336,,
2,4,1e-05,"48, 6",0.7111716270446777,"[[120  63]
 [ 43 141]]",23,0.011422649025917053,0.9885773658752441,,
2,4,1e-05,"24, 6",0.6975476741790771,"[[116  67]
 [ 44 140]]",33,0.36177903413772583,0.6382209658622742,,
2,4,1e-05,"12, 6",0.7166212201118469,"[[120  63]
 [ 41 143]]",15,0.02064121700823307,0.9793587327003479,,
3,5,0.0001,"64, 2",0.6811988949775696,"[[111  72]
 [ 45 139]]",23,0.0999031588435173,0.9000968337059021,,
3,5,0.0001,"64, 4",0.7057220339775085,"[[120  63]
 [ 45 139]]",22,0.11085754632949829,0.8891424536705017,,
3,5,0.0001,"64, 8",0.6975476741790771,"[[118  65]
 [ 46 138]]",32,0.08343878388404846,0.9165611863136292,,
3,5,0.0001,"32, 2",0.7193460464477539,"[[120  63]
 [ 40 144]]",13,0.08382207155227661,0.9161779284477234,,
3,5,0.0001,"32, 4",0.7138964533805847,"[[118  65]
 [ 40 144]]",8,0.12333537638187408,0.8766646385192871,,
3,5,0.0001,"32, 8",0.7193460464477539,"[[120  63]
 [ 40 144]]",13,0.08382207155227661,0.9161779284477234,,
3,5,0.0001,"16, 2",0.6975476741790771,"[[119  64]
 [ 47 137]]",4,4.263540176907554e-06,0.9999957084655762,,
3,5,0.0001,"16, 4",0.664850115776062,"[[118  65]
 [ 58 126]]",2,3.4115939342882484e-05,0.9999659061431885,,
3,5,0.0001,"16, 8",0.692098081111908,"[[118  65]
 [ 48 136]]",2,6.788780592614785e-05,0.9999321699142456,,
3,5,0.0001,"48, 6",0.6975476741790771,"[[114  69]
 [ 42 142]]",13,0.050220880657434464,0.9497790932655334,,
3,5,0.0001,"24, 6",0.7166212201118469,"[[116  67]
 [ 37 147]]",26,0.13932031393051147,0.8606796860694885,,
3,5,0.0001,"12, 6",0.7057220339775085,"[[123  60]
 [ 48 136]]",6,0.2058408409357071,0.7941591143608093,,
5,6,1e-06,"64, 2",0.6948229074478149,"[[123  60]
 [ 52 132]]",39,0.04970536753535271,0.9502946138381958,,
5,6,1e-06,"64, 4",0.7111716270446777,"[[120  63]
 [ 43 141]]",15,0.0980566143989563,0.9019433856010437,,
5,6,1e-06,"64, 8",0.7111716270446777,"[[120  63]
 [ 43 141]]",15,0.0980566143989563,0.9019433856010437,,
5,6,1e-06,"32, 2",0.7138964533805847,"[[119  64]
 [ 41 143]]",13,0.044096775352954865,0.9559032917022705,,
5,6,1e-06,"32, 4",0.7138964533805847,"[[119  64]
 [ 41 143]]",13,0.044096775352954865,0.9559032917022705,,
5,6,1e-06,"32, 8",0.7138964533805847,"[[119  64]
 [ 41 143]]",13,0.044096775352954865,0.9559032917022705,,
5,6,1e-06,"16, 2",0.7029972672462463,"[[115  68]
 [ 41 143]]",21,0.24779348075389862,0.7522065043449402,,
5,6,1e-06,"16, 4",0.7029972672462463,"[[115  68]
 [ 41 143]]",21,0.24779348075389862,0.7522065043449402,,
5,6,1e-06,"16, 8",0.7029972672462463,"[[115  68]
 [ 41 143]]",21,0.24779348075389862,0.7522065043449402,,
5,6,1e-06,"48, 6",0.7057220339775085,"[[119  64]
 [ 44 140]]",9,0.01815786585211754,0.9818421602249146,,
5,6,1e-06,"24, 6",0.6866484880447388,"[[116  67]
 [ 48 136]]",11,0.052890803664922714,0.9471091628074646,,
5,6,1e-06,"12, 6",0.7193460464477539,"[[122  61]
 [ 42 142]]",9,0.5613942742347717,0.43860575556755066,,
1,6,0.0001,"64, 2",0.692098081111908,"[[116  67]
 [ 46 138]]",7,0.001947344047948718,0.998052716255188,,
1,6,0.0001,"64, 4",0.6702997088432312,"[[118  65]
 [ 56 128]]",4,0.0011069945758208632,0.9988930225372314,,
1,6,0.0001,"64, 8",0.7084468603134155,"[[120  63]
 [ 44 140]]",10,0.0019871010445058346,0.9980128407478333,,
1,6,0.0001,"32, 2",0.6839237213134766,"[[120  63]
 [ 53 131]]",7,0.005044284276664257,0.9949557185173035,,
1,6,0.0001,"32, 4",0.6512261629104614,"[[107  76]
 [ 52 132]]",19,0.0009478323627263308,0.9990522265434265,,
1,6,0.0001,"32, 8",0.7084468603134155,"[[120  63]
 [ 44 140]]",11,7.246257155202329e-05,0.9999275803565979,,
1,6,0.0001,"16, 2",0.7002724409103394,"[[116  67]
 [ 43 141]]",3,0.5609981417655945,0.43900179862976074,,
1,6,0.0001,"16, 4",0.6975476741790771,"[[121  62]
 [ 49 135]]",4,0.14523249864578247,0.8547675013542175,,
1,6,0.0001,"16, 8",0.7057220339775085,"[[122  61]
 [ 47 137]]",10,0.27108073234558105,0.7289193272590637,,
1,6,0.0001,"48, 6",0.6784741282463074,"[[123  60]
 [ 58 126]]",12,9.520824164610531e-07,0.9999990463256836,,
1,6,0.0001,"24, 6",0.7002724409103394,"[[118  65]
 [ 45 139]]",13,0.10986260324716568,0.8901373744010925,,
1,6,0.0001,"12, 6",0.7029972672462463,"[[114  69]
 [ 40 144]]",14,0.03799167275428772,0.9620083570480347,,
