kan_neurons,kan_grid,lamb,cnn_bottleneck_dim,RMSE,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
2,4,1e-05,1,3.2675366401672363,12,0.9959573745727539,0.004042659420520067,,
2,4,1e-05,2,3.2479488849639893,42,0.3829209804534912,0.6170790195465088,,
2,4,1e-05,3,3.240765333175659,46,0.33060577511787415,0.6693942546844482,,
2,4,1e-05,4,3.2445669174194336,6,0.8523393273353577,0.14766064286231995,,
2,4,1e-05,5,3.247089385986328,40,0.7073824405670166,0.2926175594329834,,
2,4,1e-05,6,3.2565255165100098,25,0.6198121905326843,0.3801878094673157,,
3,5,0.0001,1,3.2800910472869873,15,0.9994674921035767,0.0005325357196852565,,
3,5,0.0001,2,3.2406821250915527,12,0.9977246522903442,0.0022753775119781494,,
3,5,0.0001,3,3.273249387741089,8,0.8369553089141846,0.16304472088813782,,
3,5,0.0001,4,3.258267879486084,18,0.49407556653022766,0.50592440366745,,
3,5,0.0001,5,3.2787299156188965,25,0.23791959881782532,0.7620803713798523,,
3,5,0.0001,6,3.2739970684051514,12,0.43125492334365845,0.5687450766563416,,
3,5,0.0001,7,3.256568193435669,25,0.4529675543308258,0.5470324754714966,,
3,5,0.0001,9,3.264518976211548,36,0.2771138548851013,0.7228860855102539,,
3,4,1e-05,1,3.2605936527252197,12,0.9329269528388977,0.0670730248093605,,
3,4,1e-05,2,3.243260622024536,7,0.8200335502624512,0.17996646463871002,,
3,4,1e-05,3,3.2362911701202393,20,0.9967033863067627,0.0032966765575110912,,
3,4,1e-05,4,3.29972767829895,46,0.49512797594070435,0.5048719644546509,,
3,4,1e-05,5,3.257538318634033,23,0.41593533754348755,0.5840646624565125,,
3,4,1e-05,6,3.264103412628174,7,0.41037437319755554,0.5896255970001221,,
3,4,1e-05,7,3.25577449798584,49,0.42256391048431396,0.5774361491203308,,
3,4,1e-05,9,3.261050224304199,20,0.4035613536834717,0.5964385867118835,,
4,4,0.01,1,3.2515556812286377,12,0.8861824870109558,0.11381751298904419,,
4,4,0.01,2,3.3076963424682617,18,0.8320439457893372,0.16795602440834045,,
4,4,0.01,3,3.2693686485290527,9,0.9400722980499268,0.05992767587304115,,
4,4,0.01,4,3.2686972618103027,6,0.9082551002502441,0.09174493700265884,,
4,4,0.01,6,3.251267910003662,9,0.4632267653942108,0.5367732048034668,,
4,4,0.01,7,3.287499189376831,9,0.7776696085929871,0.22233042120933533,,
4,4,0.01,8,3.2542049884796143,38,0.8656246066093445,0.13437539339065552,,
4,4,0.01,10,3.245028018951416,23,0.6765930652618408,0.32340696454048157,,
4,4,0.01,12,3.266430377960205,8,0.5342888236045837,0.46571114659309387,,
