kan_neurons,kan_grid,lamb,alpha,RMSE,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
2,4,1e-05,0.9,3.2730495929718018,49,0.2631553113460541,0.7368446588516235,,
2,4,1e-05,0.8,3.274381637573242,38,0.21280378103256226,0.7871962189674377,,
2,4,1e-05,0.75,3.3428428173065186,18,0.1603091061115265,0.8396908640861511,,
2,4,1e-05,0.7,3.346850633621216,39,0.2747211456298828,0.7252788543701172,,
2,4,1e-05,0.6,3.340095281600952,18,0.1488809883594513,0.8511189818382263,,
2,4,1e-05,0.5,3.357679843902588,29,0.11567918956279755,0.8843207955360413,,
2,4,1e-05,0.4,3.352269411087036,59,0.06429176032543182,0.935708224773407,,
2,4,1e-05,0.3,3.3732235431671143,39,0.09984017163515091,0.9001598358154297,,
2,4,1e-05,0.2,3.3890016078948975,26,0.1908182054758072,0.809181809425354,,
2,4,1e-05,0.1,3.3500375747680664,23,0.2037075161933899,0.7962924838066101,,
2,4,1e-05,0.05,3.3595499992370605,59,0.08266859501600266,0.9173313975334167,,
2,4,1e-05,0.01,3.381791353225708,38,0.10337210446596146,0.8966278433799744,,
3,5,0.0001,0.9,3.303567409515381,27,0.26958608627319336,0.7304139137268066,,
3,5,0.0001,0.8,3.3013577461242676,27,0.2807856500148773,0.7192143201828003,,
3,5,0.0001,0.75,3.332907199859619,25,0.10523943603038788,0.8947606086730957,,
3,5,0.0001,0.7,3.3711252212524414,51,0.06338417530059814,0.9366158246994019,,
3,5,0.0001,0.6,3.318861961364746,39,0.1818263828754425,0.8181736469268799,,
3,5,0.0001,0.5,3.2787444591522217,14,0.09993880242109299,0.9000611305236816,,
3,5,0.0001,0.4,3.2985947132110596,27,0.09653754532337189,0.9034624695777893,,
3,5,0.0001,0.3,3.318786382675171,20,0.1169242337346077,0.8830757737159729,,
3,5,0.0001,0.2,3.308716058731079,17,0.13888801634311676,0.8611119985580444,,
3,5,0.0001,0.1,3.337949514389038,56,0.11684641242027283,0.8831536173820496,,
3,5,0.0001,0.05,3.286742687225342,59,0.11680058389902115,0.8831994533538818,,
3,5,0.0001,0.01,3.4638888835906982,55,0.04130740463733673,0.9586926102638245,,
3,4,1e-05,0.9,3.2651734352111816,59,0.2434816062450409,0.7565184235572815,,
3,4,1e-05,0.8,3.2958335876464844,41,0.1587117314338684,0.8412882685661316,,
3,4,1e-05,0.75,3.331838607788086,58,0.13565786182880402,0.8643421530723572,,
3,4,1e-05,0.7,3.28544020652771,53,0.09079311788082123,0.9092068672180176,,
3,4,1e-05,0.6,3.2719149589538574,31,0.21216745674610138,0.7878325581550598,,
3,4,1e-05,0.5,3.3130338191986084,59,0.058994729071855545,0.9410052299499512,,
3,4,1e-05,0.4,3.3213305473327637,23,0.09869462251663208,0.9013053774833679,,
3,4,1e-05,0.3,3.3106143474578857,56,0.14044980704784393,0.8595501780509949,,
3,4,1e-05,0.2,3.368342638015747,48,0.11048785597085953,0.8895121216773987,,
3,4,1e-05,0.1,3.287984848022461,59,0.16673891246318817,0.8332610726356506,,
3,4,1e-05,0.05,3.256666898727417,14,0.2984560430049896,0.7015439867973328,,
3,4,1e-05,0.01,3.305215358734131,16,0.11378561705350876,0.8862143754959106,,
4,4,0.01,0.9,3.2432148456573486,41,0.7076980471611023,0.2923019826412201,,
4,4,0.01,0.8,3.2603909969329834,59,0.968981921672821,0.031018074601888657,,
4,4,0.01,0.75,3.275848865509033,47,0.9167358875274658,0.0832640752196312,,
4,4,0.01,0.7,3.26475191116333,39,0.95523601770401,0.044763967394828796,,
4,4,0.01,0.6,3.248926877975464,34,0.9005644917488098,0.0994354858994484,,
4,4,0.01,0.5,3.24746036529541,10,0.7216420769691467,0.27835792303085327,,
4,4,0.01,0.4,3.2531895637512207,13,0.7620213627815247,0.23797865211963654,,
4,4,0.01,0.3,3.2909035682678223,32,0.888765275478363,0.11123475432395935,,
4,4,0.01,0.2,3.234769105911255,17,0.8048734664916992,0.1951265037059784,,
4,4,0.01,0.1,3.2513880729675293,32,0.8354605436325073,0.16453953087329865,,
4,4,0.01,0.05,3.2727997303009033,59,0.6160657405853271,0.38393425941467285,,
4,4,0.01,0.01,3.2398085594177246,17,0.8650842905044556,0.13491567969322205,,
