kan_neurons,kan_grid,lamb,cnn_bottleneck_dim,RMSE,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
2,4,1e-05,1,0.19291247427463531,74,0.9559239745140076,0.04407600685954094,,
2,4,1e-05,2,0.25081250071525574,62,0.2509673833847046,0.7490325570106506,,
2,4,1e-05,3,0.2206074297428131,67,0.7846948504447937,0.21530510485172272,,
2,4,1e-05,4,0.23369623720645905,74,0.7185284495353699,0.28147152066230774,,
2,4,1e-05,5,0.24510908126831055,53,0.6506194472312927,0.3493805527687073,,
2,4,1e-05,6,0.22833339869976044,74,0.5145478844642639,0.48545217514038086,,
3,5,0.0001,1,0.18825408816337585,46,0.9814867377281189,0.018513228744268417,,
3,5,0.0001,2,0.2212451994419098,51,0.9215933680534363,0.07840665429830551,,
3,5,0.0001,3,0.22900426387786865,50,0.8250309824943542,0.17496898770332336,,
3,5,0.0001,4,0.2288234978914261,73,0.7364349961280823,0.26356494426727295,,
3,5,0.0001,5,0.2146446853876114,71,0.6640430092811584,0.33595696091651917,,
3,5,0.0001,6,0.21177324652671814,68,0.7552399635314941,0.24476006627082825,,
3,5,0.0001,7,0.24666544795036316,74,0.8487817049026489,0.15121836960315704,,
3,5,0.0001,9,0.22418729960918427,74,0.5449686646461487,0.45503130555152893,,
1,6,1e-06,1,0.24043969810009003,42,0.6342355608940125,0.36576446890830994,,
1,6,1e-06,2,0.25778594613075256,72,0.3479876220226288,0.6520123481750488,,
1,6,1e-06,3,0.2936837375164032,74,0.12157882004976273,0.8784211277961731,,
1,6,1e-06,4,0.29800257086753845,73,0.09119454771280289,0.9088054299354553,,
1,6,1e-06,5,0.2816193699836731,74,0.3066522479057312,0.6933477520942688,,
1,6,1e-06,6,0.24170060455799103,59,0.6545997858047485,0.3454001843929291,,
7,4,1e-06,1,0.20822063088417053,47,0.8626176714897156,0.13738231360912323,,
7,4,1e-06,2,0.24776898324489594,65,0.781864583492279,0.21813546121120453,,
7,4,1e-06,3,0.22036480903625488,51,0.846897304058075,0.15310269594192505,,
7,4,1e-06,4,0.2175588458776474,47,0.7691429853439331,0.23085695505142212,,
7,4,1e-06,5,0.22414760291576385,72,0.7289493083953857,0.27105072140693665,,
7,4,1e-06,6,0.2219473123550415,30,0.8512305617332458,0.14876939356327057,,
7,4,1e-06,7,0.23545657098293304,74,0.7108057141304016,0.2891942262649536,,
7,4,1e-06,9,0.23648887872695923,66,0.5291544198989868,0.47084560990333557,,
