kan_neurons,kan_grid,lamb,hidden_dim,ACC,Conf_Mtx,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
12,8,0.001,128,0.9139193892478943,"[[406  32   3   0]
 [ 17 398   5   0]
 [  0  12  50   4]
 [  1   1  19 144]]",135,0.4486551582813263,0.5513448715209961,,
12,8,0.001,64,0.8965201377868652,"[[402  36   3   0]
 [ 17 394   8   1]
 [  1  11  47   7]
 [  1   2  26 136]]",148,0.2963501214981079,0.7036498785018921,,
12,8,0.001,32,0.9111721515655518,"[[409  28   4   0]
 [ 13 400   7   0]
 [  1   5  48  12]
 [  1   4  22 138]]",142,0.10376587510108948,0.8962340950965881,,
12,8,0.001,16,0.49175825715065,"[[138 276  27   0]
 [ 27 367  26   0]
 [  0  34  32   0]
 [  6  61  98   0]]",3,0.0,1.0,,
12,8,0.001,8,0.9358974099159241,"[[412  23   5   1]
 [ 10 406   4   0]
 [  1   7  56   2]
 [  0   6  11 148]]",148,0.40160560607910156,0.5983943939208984,,
6,7,1e-05,128,0.9349817037582397,"[[418  17   4   2]
 [ 15 400   3   2]
 [  0   8  58   0]
 [  1   6  13 145]]",147,0.04736165329813957,0.9526383280754089,,
6,7,1e-05,64,0.7133699655532837,"[[293 141   6   1]
 [ 47 347  22   4]
 [  0  23  39   4]
 [  1   7  57 100]]",86,0.15872159600257874,0.8412784337997437,,
6,7,1e-05,32,0.9258241653442383,"[[406  27   6   2]
 [ 12 403   4   1]
 [  0   8  58   0]
 [  1   7  13 144]]",86,0.028555501252412796,0.9714444875717163,,
6,7,1e-05,16,0.9322344064712524,"[[412  23   1   5]
 [ 14 402   1   3]
 [  1  10  53   2]
 [  3   7   4 151]]",143,0.24276208877563477,0.7572379112243652,,
6,7,1e-05,8,0.9258241653442383,"[[413  22   5   1]
 [ 16 399   4   1]
 [  0  10  52   4]
 [  3   5  10 147]]",69,0.016022447496652603,0.9839775562286377,,
8,8,0.001,128,0.9230769276618958,"[[407  28   5   1]
 [ 14 401   3   2]
 [  1   7  56   2]
 [  0   6  15 144]]",136,0.341608464717865,0.658391535282135,,
8,8,0.001,64,0.942307710647583,"[[418  17   5   1]
 [ 12 401   7   0]
 [  1   5  59   1]
 [  0   3  11 151]]",147,0.41199594736099243,0.5880039930343628,,
8,8,0.001,32,0.5338827967643738,"[[197 222  20   2]
 [ 52 324  44   0]
 [  0  27  39   0]
 [  8  34 100  23]]",11,0.5455318689346313,0.45446816086769104,,
8,8,0.001,16,0.9487179517745972,"[[421  11   6   3]
 [  9 406   4   1]
 [  0   7  57   2]
 [  3   3   7 152]]",128,0.33133843541145325,0.6686615347862244,,
8,8,0.001,8,0.9386447072029114,"[[415  17   6   3]
 [ 10 405   3   2]
 [  1   6  59   0]
 [  3   6  10 146]]",148,0.03322938084602356,0.9667706489562988,,
3,7,0.001,128,0.91300368309021,"[[407  27   6   1]
 [ 14 402   2   2]
 [  3  12  49   2]
 [  1   3  22 139]]",142,0.23727256059646606,0.7627274990081787,,
3,7,0.001,64,0.6703296899795532,"[[281 153   7   0]
 [ 93 299  26   2]
 [  0  11  45  10]
 [  0  10  48 107]]",127,0.15367557108402252,0.8463243842124939,,
3,7,0.001,32,0.930402934551239,"[[415  19   6   1]
 [ 14 397   8   1]
 [  0   7  59   0]
 [  1   5  14 145]]",115,0.14295247197151184,0.8570474982261658,,
3,7,0.001,16,0.9111721515655518,"[[407  29   5   0]
 [ 15 395  10   0]
 [  1   8  52   5]
 [  1   4  19 141]]",141,0.2064453363418579,0.7935546040534973,,
3,7,0.001,8,0.9276556968688965,"[[414  20   5   2]
 [ 13 404   1   2]
 [  3   3  57   3]
 [  1   6  20 138]]",115,0.25162190198898315,0.7483780384063721,,
