kan_neurons,kan_grid,lamb,ACC,Best_Epoch
1,3,0.1,0.5122615694999695,34
1,3,0.01,0.5694822669029236,11
1,3,0.001,0.6948229074478149,18
1,3,0.0001,0.7166212201118469,29
1,3,1e-05,0.7084468603134155,7
1,3,1e-06,0.7057220339775085,20
1,3,1e-07,0.7002724409103394,8
1,4,0.1,0.5204359889030457,21
1,4,0.01,0.5367847084999084,8
1,4,0.001,0.7057220339775085,12
1,4,0.0001,0.7057220339775085,4
1,4,1e-05,0.6893733143806458,7
1,4,1e-06,0.7029972672462463,14
1,4,1e-07,0.6866484880447388,11
1,5,0.1,0.5667575001716614,20
1,5,0.01,0.6158037781715393,10
1,5,0.001,0.7002724409103394,8
1,5,0.0001,0.7084468603134155,9
1,5,1e-05,0.7057220339775085,12
1,5,1e-06,0.6975476741790771,9
1,5,1e-07,0.7220708131790161,14
1,6,0.1,0.553133487701416,26
1,6,0.01,0.6130790114402771,27
1,6,0.001,0.6975476741790771,10
1,6,0.0001,0.7247956395149231,17
1,6,1e-05,0.6975476741790771,14
1,6,1e-06,0.7220708131790161,28
1,6,1e-07,0.7002724409103394,10
1,7,0.1,0.6076294183731079,29
1,7,0.01,0.5967302322387695,18
1,7,0.001,0.6784741282463074,21
1,7,0.0001,0.7057220339775085,41
1,7,1e-05,0.7193460464477539,10
1,7,1e-06,0.7084468603134155,12
1,7,1e-07,0.6948229074478149,10
1,8,0.1,0.5122615694999695,13
1,8,0.01,0.6103541851043701,33
1,8,0.001,0.7220708131790161,35
1,8,0.0001,0.6893733143806458,13
1,8,1e-05,0.7029972672462463,20
1,8,1e-06,0.7002724409103394,26
1,8,1e-07,0.692098081111908,22
2,3,0.1,0.555858314037323,27
2,3,0.01,0.555858314037323,10
2,3,0.001,0.7111716270446777,49
2,3,0.0001,0.7084468603134155,10
2,3,1e-05,0.7057220339775085,10
2,3,1e-06,0.6948229074478149,29
2,3,1e-07,0.6975476741790771,26
2,4,0.1,0.5122615694999695,25
2,4,0.01,0.6103541851043701,11
2,4,0.001,0.6811988949775696,9
2,4,0.0001,0.6811988949775696,9
2,4,1e-05,0.7029972672462463,9
2,4,1e-06,0.7057220339775085,9
2,4,1e-07,0.7084468603134155,14
2,5,0.1,0.6376021504402161,18
2,5,0.01,0.580381453037262,18
2,5,0.001,0.7166212201118469,29
2,5,0.0001,0.7002724409103394,6
2,5,1e-05,0.7002724409103394,7
2,5,1e-06,0.7084468603134155,10
2,5,1e-07,0.7138964533805847,17
2,6,0.1,0.5204359889030457,14
2,6,0.01,0.6239781975746155,18
2,6,0.001,0.7247956395149231,45
2,6,0.0001,0.7138964533805847,49
2,6,1e-05,0.7111716270446777,12
2,6,1e-06,0.6811988949775696,12
2,6,1e-07,0.6975476741790771,17
2,7,0.1,0.5613079071044922,24
2,7,0.01,0.6130790114402771,26
2,7,0.001,0.6975476741790771,33
2,7,0.0001,0.7193460464477539,19
2,7,1e-05,0.7029972672462463,12
2,7,1e-06,0.7193460464477539,13
2,7,1e-07,0.7111716270446777,21
2,8,0.1,0.5177111625671387,23
2,8,0.01,0.5994550585746765,24
2,8,0.001,0.7057220339775085,44
2,8,0.0001,0.7029972672462463,18
2,8,1e-05,0.6948229074478149,24
2,8,1e-06,0.6975476741790771,13
2,8,1e-07,0.7138964533805847,24
3,3,0.1,0.5313351154327393,47
3,3,0.01,0.5422343015670776,7
3,3,0.001,0.7111716270446777,11
3,3,0.0001,0.7111716270446777,15
3,3,1e-05,0.6948229074478149,9
3,3,1e-06,0.7084468603134155,30
3,3,1e-07,0.7084468603134155,12
3,4,0.1,0.48501360416412354,36
3,4,0.01,0.5776566863059998,11
3,4,0.001,0.7193460464477539,34
3,4,0.0001,0.6948229074478149,14
3,4,1e-05,0.7193460464477539,34
3,4,1e-06,0.7029972672462463,9
3,4,1e-07,0.692098081111908,10
3,5,0.1,0.5095368027687073,5
3,5,0.01,0.5776566863059998,14
3,5,0.001,0.7247956395149231,12
3,5,0.0001,0.6948229074478149,9
3,5,1e-05,0.7111716270446777,28
3,5,1e-06,0.6975476741790771,24
3,5,1e-07,0.6975476741790771,10
3,6,0.1,0.5204359889030457,14
3,6,0.01,0.6321525573730469,20
3,6,0.001,0.7057220339775085,27
3,6,0.0001,0.7057220339775085,15
3,6,1e-05,0.6975476741790771,17
3,6,1e-06,0.6893733143806458,11
3,6,1e-07,0.7057220339775085,44
3,7,0.1,0.5149863958358765,3
3,7,0.01,0.640326976776123,23
3,7,0.001,0.692098081111908,22
3,7,0.0001,0.7220708131790161,19
3,7,1e-05,0.6893733143806458,13
3,7,1e-06,0.7220708131790161,44
3,7,1e-07,0.7029972672462463,12
3,8,0.1,0.5313351154327393,35
3,8,0.01,0.5776566863059998,15
3,8,0.001,0.7057220339775085,22
3,8,0.0001,0.7193460464477539,17
3,8,1e-05,0.7220708131790161,48
3,8,1e-06,0.7166212201118469,12
3,8,1e-07,0.7057220339775085,10
4,3,0.1,0.5367847084999084,4
4,3,0.01,0.5640326738357544,11
