kan_neurons,kan_grid,lamb,RMSE,Best_Epoch
1,3,0.1,3.745814561843872,29
1,3,0.01,3.589313507080078,52
1,3,0.001,3.2797200679779053,15
1,3,0.0001,3.2968266010284424,23
1,3,1e-05,3.3151304721832275,19
1,3,1e-06,3.298553705215454,22
1,4,0.1,3.7413904666900635,33
1,4,0.01,3.499896287918091,57
1,4,0.001,3.303799629211426,18
1,4,0.0001,3.2985026836395264,19
1,4,1e-05,3.311509847640991,16
1,4,1e-06,3.386059522628784,15
1,5,0.1,3.7480642795562744,40
1,5,0.01,3.7248952388763428,7
1,5,0.001,3.4119279384613037,17
1,5,0.0001,3.5548298358917236,35
1,5,1e-05,3.447312593460083,20
1,5,1e-06,3.441901922225952,23
1,6,0.1,3.7621982097625732,40
1,6,0.01,3.4952380657196045,45
1,6,0.001,3.487334728240967,28
1,6,0.0001,3.411682367324829,21
1,6,1e-05,3.4046833515167236,21
1,6,1e-06,3.503122568130493,27
2,3,0.1,3.7352101802825928,28
2,3,0.01,3.5196421146392822,58
2,3,0.001,3.361818313598633,16
2,3,0.0001,3.356820821762085,40
2,3,1e-05,3.363374710083008,29
2,3,1e-06,3.3071064949035645,27
2,4,0.1,3.762826681137085,27
2,4,0.01,3.367382287979126,18
2,4,0.001,3.299499273300171,14
2,4,0.0001,3.3138585090637207,15
2,4,1e-05,3.293806791305542,16
2,4,1e-06,3.31634259223938,23
2,5,0.1,3.763563394546509,42
2,5,0.01,3.5241539478302,68
2,5,0.001,3.2788612842559814,16
2,5,0.0001,3.286553382873535,20
2,5,1e-05,3.3298285007476807,25
2,5,1e-06,3.2965614795684814,16
2,6,0.1,3.7454781532287598,40
2,6,0.01,3.423994541168213,16
2,6,0.001,3.416572332382202,30
2,6,0.0001,3.3598086833953857,41
2,6,1e-05,3.347651243209839,17
2,6,1e-06,3.415846824645996,75
3,3,0.1,3.7339296340942383,18
3,3,0.01,3.3772315979003906,21
3,3,0.001,3.448333501815796,21
3,3,0.0001,3.390493631362915,25
3,3,1e-05,3.321981191635132,23
3,3,1e-06,3.4065208435058594,20
3,4,0.1,3.7516281604766846,24
3,4,0.01,3.363778829574585,14
3,4,0.001,3.411785364151001,21
3,4,0.0001,3.333233118057251,17
3,4,1e-05,3.3424134254455566,46
3,4,1e-06,3.3923943042755127,29
3,5,0.1,3.749973773956299,28
3,5,0.01,3.2990262508392334,18
3,5,0.001,3.285953998565674,16
3,5,0.0001,3.3114447593688965,16
3,5,1e-05,3.312309980392456,16
3,5,1e-06,3.2937145233154297,17
3,6,0.1,3.752713918685913,27
3,6,0.01,3.3492343425750732,24
3,6,0.001,3.2852272987365723,18
3,6,0.0001,3.3324697017669678,17
3,6,1e-05,3.3162455558776855,18
3,6,1e-06,3.2691328525543213,14
4,3,0.1,3.7405102252960205,20
4,3,0.01,3.36252498626709,19
4,3,0.001,3.3392186164855957,50
4,3,0.0001,3.306006669998169,41
4,3,1e-05,3.3229730129241943,27
4,3,1e-06,3.2908413410186768,23
4,4,0.1,3.735111951828003,19
4,4,0.01,3.264357089996338,17
4,4,0.001,3.2670464515686035,12
4,4,0.0001,3.3152072429656982,17
4,4,1e-05,3.278376817703247,13
4,4,1e-06,3.2844150066375732,13
4,5,0.1,3.760455369949341,26
4,5,0.01,3.2829275131225586,20
4,5,0.001,3.3030035495758057,20
4,5,0.0001,3.276160478591919,15
4,5,1e-05,3.3026282787323,13
4,5,1e-06,3.3114607334136963,13
4,6,0.1,3.770845890045166,33
4,6,0.01,3.2518997192382812,18
4,6,0.001,3.310354232788086,16
4,6,0.0001,3.3585684299468994,19
4,6,1e-05,3.3028202056884766,19
4,6,1e-06,3.298821210861206,15
