cnn_blocks,dense_layers,_,RMSE,Best_Epoch
1,1,_,0.5016944408416748,74
1,2,_,0.836775541305542,77
1,3,_,1.0621724128723145,13
2,1,_,0.3721349537372589,146
2,2,_,0.4056892991065979,146
2,3,_,0.47209349274635315,128
3,1,_,0.3708224594593048,47
3,2,_,0.38543403148651123,140
3,3,_,0.4498925805091858,141
1,1,_,0.3997863233089447,119
1,2,_,0.8334820866584778,18
1,3,_,1.0477486848831177,66
2,1,_,0.31567326188087463,146
2,2,_,0.3899955749511719,114
2,3,_,0.44615140557289124,146
3,1,_,0.3347720801830292,122
3,2,_,0.44277068972587585,20
3,3,_,0.46442463994026184,149
