kan_neurons,kan_grid,lamb,RMSE,Best_Epoch
1,3,0.1,0.9293932914733887,57
1,3,0.01,0.26620736718177795,56
1,3,0.001,0.24404576420783997,59
1,3,0.0001,0.21781057119369507,47
1,3,1e-05,0.23804420232772827,16
1,3,1e-06,0.23314373195171356,30
1,4,0.1,0.955496072769165,49
1,4,0.01,0.26053059101104736,53
1,4,0.001,0.5234566926956177,24
1,4,0.0001,0.7845880389213562,9
1,4,1e-05,1.4244264364242554,4
1,4,1e-06,0.5091456174850464,24
1,5,0.1,0.9267686009407043,59
1,5,0.01,0.25253844261169434,29
1,5,0.001,0.2289056032896042,37
1,5,0.0001,0.2226848304271698,53
1,5,1e-05,0.24103927612304688,31
1,5,1e-06,0.575752854347229,4
1,6,0.1,0.8951861262321472,59
1,6,0.01,0.26329219341278076,29
1,6,0.001,0.27525654435157776,16
1,6,0.0001,0.5266804099082947,4
1,6,1e-05,0.41149425506591797,4
1,6,1e-06,0.5272395610809326,4
2,3,0.1,0.35304829478263855,56
2,3,0.01,0.2547023892402649,58
2,3,0.001,0.24850672483444214,23
2,3,0.0001,0.22956255078315735,35
2,3,1e-05,0.23442906141281128,21
2,3,1e-06,0.2321045696735382,25
2,4,0.1,0.35739073157310486,50
2,4,0.01,0.2836798131465912,55
2,4,0.001,0.2228568196296692,53
2,4,0.0001,0.21944697201251984,59
2,4,1e-05,0.2098638415336609,40
2,4,1e-06,0.2415156215429306,24
2,5,0.1,0.34197378158569336,39
2,5,0.01,0.2514707148075104,59
2,5,0.001,0.23289744555950165,16
2,5,0.0001,0.23521879315376282,19
2,5,1e-05,1.5921337604522705,4
2,5,1e-06,0.22401177883148193,24
2,6,0.1,0.3506847023963928,22
2,6,0.01,0.24436089396476746,56
2,6,0.001,0.2359556257724762,19
2,6,0.0001,0.21622082591056824,53
2,6,1e-05,0.22324888408184052,58
2,6,1e-06,0.21260473132133484,59
3,3,0.1,1.1694631576538086,9
3,3,0.01,0.26093801856040955,53
3,3,0.001,0.20532794296741486,54
3,3,0.0001,0.221625417470932,53
3,3,1e-05,0.24330908060073853,24
3,3,1e-06,0.23299294710159302,28
3,4,0.1,0.9008079767227173,59
3,4,0.01,0.24535010755062103,44
3,4,0.001,0.23576506972312927,59
3,4,0.0001,0.22263203561306,50
3,4,1e-05,0.21616971492767334,52
3,4,1e-06,0.40714746713638306,4
3,5,0.1,1.020574927330017,59
3,5,0.01,0.24744342267513275,54
3,5,0.001,0.22677764296531677,51
3,5,0.0001,0.2196873426437378,10
3,5,1e-05,0.23472626507282257,59
3,5,1e-06,0.2268056422472,18
3,6,0.1,0.37210455536842346,59
3,6,0.01,0.2580452859401703,28
3,6,0.001,0.26918303966522217,56
3,6,0.0001,0.24805882573127747,59
3,6,1e-05,0.29965659976005554,11
3,6,1e-06,0.28996720910072327,9
4,3,0.1,0.646037757396698,59
4,3,0.01,0.25765618681907654,34
4,3,0.001,0.24297071993350983,40
4,3,0.0001,0.22856222093105316,27
4,3,1e-05,0.235922172665596,35
4,3,1e-06,0.24366731941699982,32
4,4,0.1,0.895709753036499,56
4,4,0.01,0.2550906836986542,59
4,4,0.001,0.2226967215538025,56
4,4,0.0001,0.23769938945770264,13
4,4,1e-05,0.2278834730386734,21
4,4,1e-06,0.22165106236934662,18
4,5,0.1,0.9012085199356079,59
4,5,0.01,0.2508045434951782,58
4,5,0.001,0.22741113603115082,37
4,5,0.0001,0.21175014972686768,29
4,5,1e-05,0.21949326992034912,57
4,5,1e-06,0.22808317840099335,49
4,6,0.1,0.874477207660675,57
4,6,0.01,0.24509942531585693,45
4,6,0.001,0.2814669609069824,4
4,6,0.0001,0.20890368521213531,53
4,6,1e-05,0.23552629351615906,42
4,6,1e-06,0.22076623141765594,28
5,3,0.1,0.9172382950782776,51
5,3,0.01,0.26111099123954773,59
5,3,0.001,0.24930191040039062,24
5,3,0.0001,0.23482422530651093,45
5,3,1e-05,0.23443469405174255,27
5,3,1e-06,0.23571011424064636,25
5,4,0.1,0.8551337718963623,54
5,4,0.01,0.25361889600753784,53
5,4,0.001,0.21253550052642822,41
5,4,0.0001,0.21254435181617737,59
5,4,1e-05,0.23094728589057922,17
5,4,1e-06,0.23711545765399933,14
5,5,0.1,0.9121720790863037,59
5,5,0.01,0.24816405773162842,18
5,5,0.001,0.24397598206996918,24
5,5,0.0001,0.30981698632240295,4
5,5,1e-05,0.3138626217842102,4
5,5,1e-06,0.24056871235370636,10
5,6,0.1,0.9743881821632385,59
5,6,0.01,0.2510850429534912,44
5,6,0.001,0.24365776777267456,59
5,6,0.0001,0.22269651293754578,58
5,6,1e-05,0.20916984975337982,35
5,6,1e-06,0.2305271178483963,59
6,3,0.1,0.3281901478767395,54
6,3,0.01,0.2569984197616577,59
6,3,0.001,0.2241886407136917,49
6,3,0.0001,0.24474963545799255,14
6,3,1e-05,0.23298756778240204,37
6,3,1e-06,0.21139690279960632,36
6,4,0.1,0.9163380861282349,59
6,4,0.01,0.26294419169425964,59
6,4,0.001,0.239607036113739,14
6,4,0.0001,0.2090720385313034,53
6,4,1e-05,0.22403085231781006,46
6,4,1e-06,0.21360628306865692,59
6,5,0.1,0.3352068364620209,19
6,5,0.01,0.24655576050281525,59
6,5,0.001,0.24862569570541382,25
6,5,0.0001,0.2079838514328003,59
6,5,1e-05,0.23062609136104584,58
6,5,1e-06,0.23266535997390747,57
6,6,0.1,0.8680230379104614,59
6,6,0.01,0.24169759452342987,58
6,6,0.001,0.22436757385730743,55
6,6,0.0001,0.2814294099807739,4
6,6,1e-05,0.22265814244747162,34
6,6,1e-06,0.2211066037416458,58
7,3,0.1,0.3025497496128082,52
7,3,0.01,0.2526589334011078,57
7,3,0.001,0.250870943069458,4
7,3,0.0001,0.21787089109420776,45
7,3,1e-05,0.21900539100170135,23
7,3,1e-06,0.2341192215681076,25
7,4,0.1,0.4219147264957428,59
7,4,0.01,0.2537750005722046,59
7,4,0.001,0.5729095339775085,4
7,4,0.0001,0.2283240109682083,45
7,4,1e-05,0.33963721990585327,4
7,4,1e-06,0.223577618598938,30
7,5,0.1,0.9560601115226746,24
7,5,0.01,0.24502478539943695,58
7,5,0.001,0.25354400277137756,32
7,5,0.0001,0.2905693054199219,4
7,5,1e-05,0.21443161368370056,47
7,5,1e-06,0.2724277973175049,59
7,6,0.1,0.388381689786911,59
7,6,0.01,0.29752668738365173,9
7,6,0.001,0.23602540791034698,55
7,6,0.0001,0.22691583633422852,39
7,6,1e-05,0.20010890066623688,54
7,6,1e-06,0.2175273299217224,31
