cnn_blocks,dense_layers,_,Acc,Best_Epoch
1,1,_,0.6474359035491943,242
1,2,_,0.4523809552192688,20
1,3,_,0.44413918256759644,10
2,1,_,0.8095238208770752,215
2,2,_,0.7820512652397156,208
2,3,_,0.877289354801178,218
3,1,_,0.8049450516700745,243
3,2,_,0.7939560413360596,131
3,3,_,0.7921245694160461,224
1,1,_,0.6666666865348816,242
1,2,_,0.47252747416496277,16
1,3,_,0.46886447072029114,2
2,1,_,0.7948718070983887,167
2,2,_,0.7591575384140015,247
2,3,_,0.872710645198822,248
3,1,_,0.819597065448761,50
3,2,_,0.7921245694160461,160
3,3,_,0.7847985625267029,132
