kan_neurons,kan_grid,lamb,cnn_bottleneck_dim,ACC,Conf_Mtx,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
3,3,1.00E-06,1,0.732969999,"[[127  56]
 [ 42 142]]",3,0.999662101,0.000337901,"Bid_Close: 2.70
Ask_Close: 2.44
Ask_High: 2.20","Ex5: 0.45
Ex1: 0.43
Ex4: 0.36"
3,3,1.00E-06,1,0.71662122,"[[124  59]
 [ 45 139]]",2,0.999601126,0.000398865,"Bid_Close: 2.28
Ask_Close: 2.12
Bid_Open: 1.52","Ex5: 0.46
Ex1: 0.43
Ex4: 0.37"
3,3,1.00E-06,2,0.72479564,"[[132  51]
 [ 50 134]]",4,0.955740094,0.044259917,"Ask_Close: 2.70
Bid_Close: 2.68
Ask_High: 2.07","Ex6: 0.45
Ex2: 0.19
Bid_Open: 0.08"
3,3,1.00E-06,2,0.730245233,"[[130  53]
 [ 46 138]]",6,0.843837261,0.156162694,"Bid_Close: 2.94
Ask_Close: 2.75
Ask_High: 2.63","Ex3: 0.66
Bid_Close: 0.59
Ask_Close: 0.47"
3,3,1.00E-06,3,0.719346046,"[[125  58]
 [ 45 139]]",2,0.844891846,0.155108139,"Bid_Close: 2.22
Ask_Close: 2.21
Bid_Open: 2.19","Ex1: 0.56
Ask_Volume: 0.53
Ex5: 0.42"
3,3,1.00E-06,3,0.713896453,"[[135  48]
 [ 57 127]]",6,0.927961051,0.072038956,"Bid_Close: 3.47
Ask_Close: 3.12
Ask_High: 2.87","Ex1: 0.67
Ex5: 0.64
Ask_Volume: 0.62"
3,3,1.00E-06,6,0.732969999,"[[130  53]
 [ 45 139]]",3,0.924930036,0.075069949,"Bid_Close: 2.34
Ask_Close: 2.14
Bid_Open: 1.63","Bid_Close: 0.63
Bid_Low: 0.58
Bid_Open: 0.57"
3,3,1.00E-06,6,0.735694826,"[[129  54]
 [ 43 141]]",4,0.829978347,0.170021638,"Bid_Close: 2.50
Ask_Close: 2.24
Ask_High: 1.97","Ex1: 0.56
Ask_Volume: 0.51
Ask_High: 0.49"
3,3,1.00E-06,9,0.702997267,"[[119  64]
 [ 45 139]]",3,0.584801316,0.415198714,"Ask_High: 2.06
Bid_Close: 2.02
Ask_Close: 1.72","Bid_Close: 0.59
Ask_Low: 0.44
Ex2: 0.29"
3,3,1.00E-06,9,0.70844686,"[[116  67]
 [ 40 144]]",3,0.575828969,0.42417106,"Ask_High: 2.18
Bid_Close: 1.99
Ask_Close: 1.72","Bid_Close: 0.70
Ask_Low: 0.62
Ex2: 0.33"
