kan_neurons,kan_grid,lamb,hidden_dim,ACC,Conf_Mtx,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
3,3,1e-06,128,0.6485013365745544,"[[ 96  87]
 [ 42 142]]",23,0.04665151610970497,0.9533484578132629,"Ask_High: 2.27
Bid_Close: 2.27
Ask_Close: 2.04","Ex4: 0.49
Ex5: 0.44
Ex3: 0.35"
3,3,1e-06,128,0.6485013365745544,"[[ 96  87]
 [ 42 142]]",23,0.04665151610970497,0.9533484578132629,"Ask_High: 2.27
Bid_Close: 2.27
Ask_Close: 2.04","Ex4: 0.49
Ex5: 0.44
Ex3: 0.35"
3,3,1e-06,32,0.7220708131790161,"[[136  47]
 [ 55 129]]",11,0.09874076396226883,0.9012592434883118,"Bid_Close: 3.37
Ask_Close: 3.09
Ask_High: 3.01","Ex3: 0.40
Ex4: 0.39
Ex5: 0.35"
3,3,1e-06,32,0.7084468603134155,"[[135  48]
 [ 59 125]]",5,0.07672649621963501,0.923273503780365,"Ask_Close: 1.80
Bid_Close: 1.77
Bid_Open: 1.63","Ask_Volume: 0.40
Ex4: 0.40
Ex1: 0.40"
3,3,1e-06,8,0.6811988949775696,"[[121  62]
 [ 55 129]]",12,0.048231370747089386,0.9517686367034912,"Bid_Open: 0.99
Bid_Close: 0.98
Ask_Close: 0.91","Ex1: 0.64
Ask_Volume: 0.55
Ask_High: 0.55"
3,3,1e-06,8,0.7411444187164307,"[[124  59]
 [ 36 148]]",15,0.041071537882089615,0.9589284658432007,"Bid_Close: 2.26
Bid_Open: 2.09
Ask_Close: 1.95","Ex5: 0.63
Ex4: 0.57
Ex1: 0.55"
3,4,0.0001,128,0.7057220339775085,"[[125  58]
 [ 50 134]]",35,0.09907904267311096,0.9009209871292114,"Bid_Close: 1.04
Ask_High: 0.57
Ask_Low: 0.44","Ask_Low: 0.12
Ex2: 0.11
Ex1: 0.07"
3,4,0.0001,128,0.7057220339775085,"[[125  58]
 [ 50 134]]",35,0.09907904267311096,0.9009209871292114,"Bid_Close: 1.04
Ask_High: 0.57
Ask_Low: 0.44","Ask_Low: 0.12
Ex2: 0.11
Ex1: 0.07"
3,4,0.0001,32,0.7029972672462463,"[[121  62]
 [ 47 137]]",21,0.020942943170666695,0.9790570735931396,"Bid_Close: 0.88
Ask_Open: 0.51
Bid_Open: 0.47","Ex2: 0.25
Ex6: 0.21
Ask_Low: 0.14"
3,4,0.0001,32,0.7111716270446777,"[[121  62]
 [ 44 140]]",12,0.05817321315407753,0.9418267607688904,"Bid_Close: 2.67
Bid_Open: 1.28
Ask_High: 1.22","Ex6: 0.30
Ex2: 0.27
Ex5: 0.20"
3,4,0.0001,8,0.7084468603134155,"[[129  54]
 [ 53 131]]",17,0.07201650738716125,0.9279835224151611,"Bid_Close: 3.55
Ask_High: 2.16
Ask_Close: 1.75","Ex6: 0.51
Ex2: 0.35
Ask_Low: 0.20"
3,4,0.0001,8,0.7111716270446777,"[[133  50]
 [ 56 128]]",19,0.04938434436917305,0.950615644454956,"Bid_Close: 2.62
Ask_High: 1.19
Ask_Close: 1.10","Ask_Close: 0.29
Ask_Volume: 0.25
Bid_Volume: 0.24"
1,3,0.0001,128,0.7111716270446777,"[[133  50]
 [ 56 128]]",7,0.001384518574923277,0.9986154437065125,"Ask_Open: 0.77
Ask_Low: 0.64
Ask_High: 0.55","Ex2: 0.38
Ask_High: 0.29
Ex1: 0.28"
1,3,0.0001,128,0.7111716270446777,"[[133  50]
 [ 56 128]]",7,0.001384518574923277,0.9986154437065125,"Ask_Open: 0.77
Ask_Low: 0.64
Ask_High: 0.55","Ex2: 0.38
Ask_High: 0.29
Ex1: 0.28"
1,3,0.0001,32,0.7029972672462463,"[[125  58]
 [ 51 133]]",6,0.0039765299297869205,0.9960234761238098,"Bid_Close: 0.40
Ask_Close: 0.28
Ask_Low: 0.19","Ex2: 0.61
Ask_Low: 0.43
Ex1: 0.23"
1,3,0.0001,32,0.6975476741790771,"[[123  60]
 [ 51 133]]",38,0.0023138339165598154,0.9976861476898193,"Ask_Low: 1.24
Ask_Open: 1.23
Bid_Low: 1.01","Ex5: 0.80
Ex4: 0.73
Ex6: 0.55"
1,3,0.0001,8,0.7220708131790161,"[[142  41]
 [ 61 123]]",16,0.004126454703509808,0.9958735108375549,"Bid_High: 0.53
Bid_Close: 0.53
Ask_Open: 0.52","Ex2: 0.61
Ask_Low: 0.46
Ex6: 0.35"
1,3,0.0001,8,0.7138964533805847,"[[142  41]
 [ 64 120]]",8,0.007262595929205418,0.9927374124526978,"Bid_Close: 0.41
Ask_Close: 0.30
Ask_Low: 0.22","Ex1: 0.53
Ex5: 0.50
Ex6: 0.48"
4,3,0.0001,128,0.7193460464477539,"[[141  42]
 [ 61 123]]",37,0.0063781109638512135,0.9936219453811646,"Ask_High: 0.54
Bid_Open: 0.52
Bid_Close: 0.40","Ex4: 0.84
Ex5: 0.83
Ex3: 0.53"
4,3,0.0001,128,0.7111716270446777,"[[134  49]
 [ 57 127]]",15,0.005152441561222076,0.9948475956916809,"Ask_High: 0.49
Bid_Open: 0.45
Bid_Close: 0.29","Ex2: 0.63
Ask_Low: 0.35
Ex1: 0.25"
4,3,0.0001,32,0.7111716270446777,"[[135  48]
 [ 58 126]]",10,0.023842517286539078,0.9761574864387512,"Bid_Close: 0.48
Bid_Low: 0.30
Ask_Close: 0.26","Ex1: 0.79
Ask_Volume: 0.78
Ask_High: 0.65"
4,3,0.0001,32,0.7247956395149231,"[[140  43]
 [ 58 126]]",19,0.018013540655374527,0.9819864630699158,"Bid_High: 0.56
Bid_Close: 0.51
Ask_High: 0.48","Ex1: 0.66
Ask_High: 0.60
Ask_Volume: 0.58"
4,3,0.0001,8,0.7329699993133545,"[[137  46]
 [ 52 132]]",15,0.010415719822049141,0.9895842671394348,"Bid_Close: 1.02
Ask_High: 0.88
Bid_Open: 0.77","Ex1: 0.59
Ask_Volume: 0.42
Ex2: 0.42"
4,3,0.0001,8,0.7111716270446777,"[[138  45]
 [ 61 123]]",36,0.0033572427928447723,0.9966427683830261,"Bid_Close: 0.99
Ask_High: 0.69
Bid_High: 0.67","Ex1: 0.60
Ask_Volume: 0.43
Ask_High: 0.26"
