kan_neurons,kan_grid,lamb,cnn_bottleneck_dim,ACC,Conf_Mtx,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
3,3,1e-05,1,0.7111716270446777,"[[123  60]
 [ 46 138]]",2,0.9997166991233826,0.0002833500038832426,,
3,3,1e-05,2,0.7247956395149231,"[[131  52]
 [ 49 135]]",8,0.3467988669872284,0.653201162815094,,
3,3,1e-05,4,0.7193460464477539,"[[125  58]
 [ 45 139]]",3,0.7381497025489807,0.2618502974510193,,
3,3,1e-05,6,0.7220708131790161,"[[127  56]
 [ 46 138]]",2,0.13249698281288147,0.8675029873847961,,
3,3,1e-05,8,0.7193460464477539,"[[127  56]
 [ 47 137]]",6,0.07901030778884888,0.9209896922111511,,
3,3,1e-05,10,0.7384195923805237,"[[131  52]
 [ 44 140]]",10,0.15751607716083527,0.8424838781356812,,
3,3,1e-05,12,0.7220708131790161,"[[123  60]
 [ 42 142]]",5,0.25490161776542664,0.745098352432251,,
2,4,1e-07,1,0.7356948256492615,"[[141  42]
 [ 55 129]]",3,0.9999998807907104,1.0472367506508817e-07,,
2,4,1e-07,2,0.7166212201118469,"[[126  57]
 [ 47 137]]",2,0.1816624402999878,0.8183375597000122,,
2,4,1e-07,3,0.7138964533805847,"[[135  48]
 [ 57 127]]",2,0.7033688426017761,0.29663121700286865,,
2,4,1e-07,6,0.7247956395149231,"[[134  49]
 [ 52 132]]",10,0.10679197311401367,0.8932080268859863,,
2,4,1e-07,9,0.7193460464477539,"[[121  62]
 [ 41 143]]",3,0.24957223236560822,0.750427782535553,,
2,4,1e-07,12,0.6893733143806458,"[[118  65]
 [ 49 135]]",3,0.19384698569774628,0.8061529994010925,,
3,7,1e-06,1,0.6975476741790771,"[[129  54]
 [ 57 127]]",25,0.9377152919769287,0.0622846744954586,,
3,7,1e-06,2,0.7166212201118469,"[[133  50]
 [ 54 130]]",8,0.2533082664012909,0.7466917037963867,,
3,7,1e-06,3,0.6866484880447388,"[[123  60]
 [ 55 129]]",3,0.3805297613143921,0.6194702386856079,,
3,7,1e-06,6,0.7193460464477539,"[[128  55]
 [ 48 136]]",5,0.2887974679470062,0.7112025022506714,,
3,7,1e-06,7,0.7002724409103394,"[[129  54]
 [ 56 128]]",13,0.37242090702056885,0.6275790929794312,,
3,7,1e-06,9,0.7057220339775085,"[[130  53]
 [ 55 129]]",5,0.22232754528522491,0.7776724696159363,,
3,7,1e-06,10,0.7193460464477539,"[[127  56]
 [ 47 137]]",5,0.18978837132453918,0.8102115988731384,,
3,7,1e-06,12,0.7029972672462463,"[[123  60]
 [ 49 135]]",5,0.21848483383655548,0.7815151214599609,,
5,7,0.0001,1,0.6893733143806458,"[[133  50]
 [ 64 120]]",4,0.9855363368988037,0.014463663101196289,,
5,7,0.0001,2,0.692098081111908,"[[129  54]
 [ 59 125]]",3,0.43948879837989807,0.5605112314224243,,
5,7,0.0001,4,0.6975476741790771,"[[130  53]
 [ 58 126]]",21,0.5776238441467285,0.42237621545791626,,
5,7,0.0001,6,0.7002724409103394,"[[122  61]
 [ 49 135]]",3,0.38557228446006775,0.6144276857376099,,
5,7,0.0001,8,0.7166212201118469,"[[139  44]
 [ 60 124]]",7,0.40885379910469055,0.5911462306976318,,
