kan_neurons,kan_grid,lamb,alpha,ACC,Conf_Mtx,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
3,3,1e-05,0.9,0.7166212201118469,"[[125  58]
 [ 46 138]]",10,0.004529858939349651,0.9954701662063599,,
3,3,1e-05,0.9,0.7166212201118469,"[[121  62]
 [ 42 142]]",3,0.011624307371675968,0.988375723361969,,
3,3,1e-05,0.8,0.7220708131790161,"[[138  45]
 [ 57 127]]",22,0.01480176392942667,0.9851981997489929,,
3,3,1e-05,0.75,0.7247956395149231,"[[125  58]
 [ 43 141]]",2,0.020281504839658737,0.9797185063362122,,
3,3,1e-05,0.7,0.7356948256492615,"[[131  52]
 [ 45 139]]",8,0.01371759083122015,0.9862823486328125,,
3,3,1e-05,0.6,0.7275204062461853,"[[129  54]
 [ 46 138]]",9,0.014672531746327877,0.9853274822235107,,
3,3,1e-05,0.5,0.7166212201118469,"[[137  46]
 [ 58 126]]",23,0.011304229497909546,0.9886958003044128,,
3,3,1e-05,0.4,0.7356948256492615,"[[141  42]
 [ 55 129]]",22,0.012690304778516293,0.9873096942901611,,
3,3,1e-05,0.3,0.7329699993133545,"[[138  45]
 [ 53 131]]",13,0.019190959632396698,0.9808090329170227,,
3,3,1e-05,0.25,0.7193460464477539,"[[138  45]
 [ 58 126]]",26,0.008985650725662708,0.991014301776886,,
3,3,1e-05,0.2,0.7111716270446777,"[[133  50]
 [ 56 128]]",11,0.014319355599582195,0.9856806397438049,,
3,3,1e-05,0.1,0.7247956395149231,"[[134  49]
 [ 52 132]]",4,0.0206679068505764,0.9793321490287781,,
3,3,1e-05,0.05,0.7193460464477539,"[[134  49]
 [ 54 130]]",12,0.015968820080161095,0.9840312004089355,,
3,3,1e-05,0.01,0.7111716270446777,"[[135  48]
 [ 58 126]]",16,0.04180961474776268,0.958190381526947,,
2,4,1e-07,0.9,0.7111716270446777,"[[133  50]
 [ 56 128]]",6,0.003738269442692399,0.996261715888977,,
2,4,1e-07,0.8,0.7193460464477539,"[[132  51]
 [ 52 132]]",1,0.0039924029260873795,0.9960076212882996,,
2,4,1e-07,0.75,0.7166212201118469,"[[138  45]
 [ 59 125]]",23,0.013645960949361324,0.9863540530204773,,
2,4,1e-07,0.7,0.7138964533805847,"[[139  44]
 [ 61 123]]",18,0.012174569070339203,0.9878254532814026,,
2,4,1e-07,0.6,0.7057220339775085,"[[133  50]
 [ 58 126]]",23,0.012355302460491657,0.9876447319984436,,
2,4,1e-07,0.5,0.7220708131790161,"[[134  49]
 [ 53 131]]",12,0.004369908943772316,0.9956300854682922,,
2,4,1e-07,0.5,0.7193460464477539,"[[137  46]
 [ 57 127]]",9,0.005565167870372534,0.9944348335266113,,
2,4,1e-07,0.4,0.7275204062461853,"[[140  43]
 [ 57 127]]",9,0.006814940366894007,0.9931851029396057,,
2,4,1e-07,0.3,0.7193460464477539,"[[138  45]
 [ 58 126]]",7,0.007831215858459473,0.9921687841415405,,
2,4,1e-07,0.25,0.7029972672462463,"[[132  51]
 [ 58 126]]",14,0.0038863851223140955,0.996113657951355,,
2,4,1e-07,0.2,0.7247956395149231,"[[136  47]
 [ 54 130]]",18,0.008337929844856262,0.9916620254516602,,
2,4,1e-07,0.1,0.7384195923805237,"[[139  44]
 [ 52 132]]",29,0.013646417297422886,0.9863535761833191,,
2,4,1e-07,0.05,0.7166212201118469,"[[131  52]
 [ 52 132]]",16,0.017162086442112923,0.9828379154205322,,
2,4,1e-07,0.01,0.6975476741790771,"[[130  53]
 [ 58 126]]",21,0.025466809049248695,0.974533200263977,,
