kan_neurons,kan_grid,lamb,ACC,Best_Epoch
1,3,0.1,0.48228880763053894,4
1,3,0.1,0.5013623833656311,14
1,3,0.01,0.692098081111908,7
1,3,0.001,0.7029972672462463,1
1,3,0.1,0.5013623833656311,14
1,3,0.01,0.7002724409103394,5
1,3,0.001,0.7029972672462463,1
1,3,0.0001,0.7057220339775085,1
1,3,1e-05,0.7057220339775085,26
1,3,1e-06,0.7193460464477539,1
1,3,1e-07,0.7111716270446777,1
1,4,0.1,0.4986375868320465,16
1,4,0.01,0.6076294183731079,3
1,4,0.001,0.7166212201118469,1
1,4,0.0001,0.6975476741790771,17
1,4,1e-05,0.7111716270446777,1
1,4,1e-06,0.6975476741790771,21
1,4,1e-07,0.7057220339775085,23
1,5,0.1,0.5013623833656311,2
1,5,0.01,0.6893733143806458,2
1,5,0.001,0.7220708131790161,1
1,5,0.0001,0.7138964533805847,9
1,5,1e-05,0.7138964533805847,1
1,5,1e-06,0.7166212201118469,4
1,5,1e-07,0.7302452325820923,4
1,6,0.1,0.5013623833656311,2
1,6,0.01,0.6948229074478149,1
1,6,0.001,0.7138964533805847,2
1,6,0.0001,0.7275204062461853,5
1,6,1e-05,0.7302452325820923,2
1,6,1e-06,0.7220708131790161,3
1,6,1e-07,0.7084468603134155,6
1,7,0.1,0.4959127902984619,3
1,7,0.01,0.6784741282463074,4
1,7,0.001,0.7193460464477539,2
1,7,0.0001,0.7247956395149231,2
1,7,1e-05,0.7384195923805237,3
1,7,1e-06,0.7029972672462463,9
1,7,1e-07,0.7275204062461853,4
1,8,0.1,0.5013623833656311,2
1,8,0.01,0.6621253490447998,0
1,8,0.001,0.7166212201118469,2
1,8,0.0001,0.7220708131790161,5
1,8,1e-05,0.7220708131790161,2
1,8,1e-06,0.7220708131790161,2
1,8,1e-07,0.7275204062461853,2
2,3,0.1,0.5013623833656311,2
2,3,0.01,0.6267029643058777,4
2,3,0.001,0.7084468603134155,1
2,3,0.0001,0.7166212201118469,21
2,3,1e-05,0.7138964533805847,3
2,3,1e-06,0.7247956395149231,14
2,3,1e-07,0.7193460464477539,2
2,4,0.1,0.5667575001716614,8
2,4,0.01,0.6784741282463074,1
2,4,0.001,0.7138964533805847,2
2,4,0.0001,0.7193460464477539,1
2,4,1e-05,0.7193460464477539,16
2,4,1e-06,0.7084468603134155,1
2,4,1e-07,0.7247956395149231,28
2,5,0.1,0.5013623833656311,2
2,5,0.01,0.6539509296417236,1
2,5,0.001,0.7111716270446777,1
2,5,0.0001,0.7111716270446777,5
2,5,1e-05,0.7302452325820923,1
2,5,1e-06,0.7084468603134155,6
2,5,1e-07,0.7247956395149231,3
2,6,0.1,0.5204359889030457,7
2,6,0.01,0.6757493019104004,6
2,6,0.001,0.6975476741790771,1
2,6,0.0001,0.7247956395149231,7
2,6,1e-05,0.7193460464477539,5
2,6,1e-06,0.7029972672462463,10
2,6,1e-07,0.7029972672462463,6
2,7,0.1,0.4959127902984619,13
2,7,0.01,0.6811988949775696,3
2,7,0.001,0.7166212201118469,11
2,7,0.0001,0.7138964533805847,2
2,7,1e-05,0.7138964533805847,31
2,7,1e-06,0.7275204062461853,9
2,7,1e-07,0.7275204062461853,5
2,8,0.1,0.5013623833656311,2
2,8,0.01,0.6594005227088928,2
2,8,0.001,0.7193460464477539,2
2,8,0.0001,0.7166212201118469,2
2,8,1e-05,0.7138964533805847,2
2,8,1e-06,0.7138964533805847,2
2,8,1e-07,0.7302452325820923,5
3,3,0.001,0.7384195923805237,6
3,4,0.0001,0.7411444187164307,2
5,3,1e-05,0.7384195923805237,1
3,3,1e-06,0.7384195923805237,3
3,4,0.0001,0.7438691854476929,2
5,3,1e-05,0.7384195923805237,1
3,4,0.001,0.7384195923805237,2
3,4,1e-05,0.7384195923805237,3
3,7,1e-05,0.7411444187164307,2
3,7,1e-05,0.7438691854476929,3
