images,values
images/000000.png,3.431148
images/000001.png,2.999153
images/000002.png,5.705974
images/000003.png,-1.544544
images/000004.png,-4.439669
images/000005.png,-3.181385
images/000006.png,-1.967988
images/000007.png,-9.394813
images/000008.png,-3.59211
images/000009.png,-8.029656
images/000010.png,-3.730053
images/000011.png,-0.257171
images/000012.png,5.295646
images/000013.png,-1.365759
images/000014.png,-3.34577
images/000015.png,-3.017276
images/000016.png,4.549622
images/000017.png,8.974584
images/000018.png,-2.014645
images/000019.png,-0.886994
images/000020.png,5.394186
images/000021.png,-7.853795
images/000022.png,8.347669
images/000023.png,-1.14245
images/000024.png,-2.50221
images/000025.png,2.38692
images/000026.png,8.591089
images/000027.png,0.18105
images/000028.png,-2.393076
images/000029.png,5.194538
images/000030.png,9.661907
images/000031.png,-0.277896
images/000032.png,7.875546
images/000033.png,-1.348682
images/000034.png,8.486879
images/000035.png,-7.563652
images/000036.png,10.36266
images/000037.png,2.003801
images/000038.png,9.608583
images/000039.png,5.533413
images/000040.png,1.145722
images/000041.png,1.166567
images/000042.png,7.81297
images/000043.png,9.488555
images/000044.png,4.72618
images/000045.png,1.627989
images/000046.png,3.482347
images/000047.png,6.179895
images/000048.png,9.620888
images/000049.png,-0.80602
images/000050.png,9.755793
images/000051.png,-0.05462
images/000052.png,3.452219
images/000053.png,-6.051905
images/000054.png,7.546779
images/000055.png,8.724869
images/000056.png,-0.73441
images/000057.png,4.410998
images/000058.png,5.690699
images/000059.png,8.965395
images/000060.png,0.023953
images/000061.png,-2.966884
images/000062.png,6.734582
images/000063.png,-6.277698
images/000064.png,-0.287144
images/000065.png,0.576618
images/000066.png,4.473842
images/000067.png,9.374492
images/000068.png,-1.075735
images/000069.png,6.198362
images/000070.png,-4.187578
images/000071.png,4.114082
images/000072.png,5.714983
images/000073.png,-7.211698
images/000074.png,1.313219
images/000075.png,3.794531
images/000076.png,-1.747149
images/000077.png,8.938941
images/000078.png,0.857271
images/000079.png,5.738271
images/000080.png,5.818656
images/000081.png,-5.353387
images/000082.png,7.891475
images/000083.png,5.674938
images/000084.png,-2.908651
images/000085.png,0.668211
images/000086.png,-4.487852
images/000087.png,-5.469807
images/000088.png,10.828044
images/000089.png,-2.686552
images/000090.png,8.762822
images/000091.png,-1.938858
images/000092.png,-7.607922
images/000093.png,-6.166821
images/000094.png,7.636305
images/000095.png,-0.257238
images/000096.png,-9.37291
images/000097.png,-5.047944
images/000098.png,9.895105
images/000099.png,-3.443154
images/000100.png,-2.927585
images/000101.png,8.29873
images/000102.png,-4.374912
images/000103.png,-4.896854
images/000104.png,7.066228
images/000105.png,-6.80196
images/000106.png,-4.217521
images/000107.png,7.71794
images/000108.png,2.144865
images/000109.png,0.97852
images/000110.png,-6.227737
images/000111.png,5.457124
images/000112.png,5.099686
images/000113.png,7.563923
images/000114.png,3.459127
images/000115.png,-0.679055
images/000116.png,-8.180368
images/000117.png,-8.355415
images/000118.png,8.138454
images/000119.png,1.46011
images/000120.png,10.002806
images/000121.png,-2.144315
images/000122.png,9.097573
images/000123.png,9.368661
images/000124.png,4.557229
images/000125.png,-3.744266
images/000126.png,-2.768789
images/000127.png,-7.965406
images/000128.png,-1.98869
images/000129.png,-4.1174
images/000130.png,-8.133116
images/000131.png,1.239099
images/000132.png,7.172468
images/000133.png,4.618588
images/000134.png,-5.232043
images/000135.png,0.637304
images/000136.png,-9.732043
images/000137.png,-7.043677
images/000138.png,8.02092
images/000139.png,-2.791714
images/000140.png,-2.014219
images/000141.png,-7.262907
images/000142.png,0.832012
images/000143.png,-2.214752
images/000144.png,5.908201
images/000145.png,-2.490153
images/000146.png,-3.654402
images/000147.png,-3.777386
images/000148.png,7.524094
images/000149.png,2.076485
images/000150.png,-1.641161
images/000151.png,-1.703061
images/000152.png,5.809226
images/000153.png,3.662991
images/000154.png,9.248491
images/000155.png,7.414864
images/000156.png,-5.798519
images/000157.png,-0.599064
images/000158.png,-1.896235
images/000159.png,-1.902156
images/000160.png,8.43391
images/000161.png,5.615665
images/000162.png,-0.973875
images/000163.png,-2.049365
images/000164.png,-4.04534
images/000165.png,-0.008852
images/000166.png,-2.057676
images/000167.png,8.230129
images/000168.png,9.675261
images/000169.png,1.117821
images/000170.png,-6.058576
images/000171.png,2.594837
images/000172.png,8.539158
images/000173.png,-7.085483
images/000174.png,-5.194372
images/000175.png,7.027317
images/000176.png,6.01828
images/000177.png,0.373479
images/000178.png,8.179464
images/000179.png,-2.233527
images/000180.png,7.480299
images/000181.png,9.680858
images/000182.png,5.052856
images/000183.png,9.408104
images/000184.png,-1.329246
images/000185.png,-5.453963
images/000186.png,-5.231231
images/000187.png,-10.119728
images/000188.png,6.158655
images/000189.png,2.462795
images/000190.png,9.298142
images/000191.png,7.53049
images/000192.png,-6.334711
images/000193.png,2.877984
images/000194.png,0.889758
images/000195.png,-6.875573
images/000196.png,1.170923
images/000197.png,-7.215828
images/000198.png,8.034515
images/000199.png,4.377654
images/000200.png,6.450862
images/000201.png,5.133776
images/000202.png,5.457101
images/000203.png,6.033114
images/000204.png,6.184193
images/000205.png,-8.268204
images/000206.png,-5.606081
images/000207.png,-0.157369
images/000208.png,-4.757431
images/000209.png,-0.575397
images/000210.png,-2.166435
images/000211.png,7.929737
images/000212.png,-4.774962
images/000213.png,-2.135298
images/000214.png,-3.352181
images/000215.png,-6.416751
images/000216.png,8.281677
images/000217.png,2.017907
images/000218.png,0.20807
images/000219.png,-3.620571
images/000220.png,-2.401305
images/000221.png,3.350506
images/000222.png,-2.844755
images/000223.png,4.475306
images/000224.png,-8.247809
images/000225.png,1.585878
images/000226.png,-3.150428
images/000227.png,5.599836
images/000228.png,2.285315
images/000229.png,1.087167
images/000230.png,9.215249
images/000231.png,4.008275
images/000232.png,-4.560176
images/000233.png,5.248042
images/000234.png,8.305209
images/000235.png,2.198323
images/000236.png,-7.776853
images/000237.png,-4.52682
images/000238.png,-4.590649
images/000239.png,6.838116
images/000240.png,-4.056479
images/000241.png,4.650448
images/000242.png,-5.081091
images/000243.png,3.932707
images/000244.png,-0.070257
images/000245.png,-1.817641
images/000246.png,9.853369
images/000247.png,8.040378
images/000248.png,-5.570012
images/000249.png,9.393912
images/000250.png,6.048352
images/000251.png,8.050658
images/000252.png,-2.699783
images/000253.png,-9.744742
images/000254.png,-0.835068
images/000255.png,-1.085062
images/000256.png,4.050016
images/000257.png,-4.718595
images/000258.png,-3.506597
images/000259.png,2.56095
images/000260.png,9.976282
images/000261.png,-7.823242
images/000262.png,-3.176033
images/000263.png,-10.606761
images/000264.png,-0.632158
images/000265.png,-3.533848
images/000266.png,-2.314343
images/000267.png,0.114728
images/000268.png,9.040484
images/000269.png,6.384256
images/000270.png,5.841289
images/000271.png,-0.802803
images/000272.png,-3.289433
images/000273.png,6.567258
images/000274.png,3.713565
images/000275.png,-0.079883
images/000276.png,4.790675
images/000277.png,-3.331568
images/000278.png,-0.77183
images/000279.png,-0.111468
images/000280.png,6.806291
images/000281.png,-4.84139
images/000282.png,-5.641006
images/000283.png,3.128235
images/000284.png,4.947956
images/000285.png,5.226826
images/000286.png,4.268901
images/000287.png,-3.984624
images/000288.png,3.225113
images/000289.png,-2.58215
images/000290.png,-6.449985
images/000291.png,0.320434
images/000292.png,-8.314714
images/000293.png,6.910511
images/000294.png,-2.140211
images/000295.png,4.759357
images/000296.png,6.971826
images/000297.png,6.39525
images/000298.png,5.417247
images/000299.png,-1.072892
images/000300.png,9.343175
images/000301.png,5.97845
images/000302.png,-2.786053
images/000303.png,7.032647
images/000304.png,-10.553581
images/000305.png,2.629006
images/000306.png,-3.990888
images/000307.png,7.792099
images/000308.png,-6.796708
images/000309.png,-2.946493
images/000310.png,8.887354
images/000311.png,-0.960693
images/000312.png,0.176506
images/000313.png,-5.520462
images/000314.png,-6.37474
images/000315.png,-0.677672
images/000316.png,-3.916811
images/000317.png,-1.294733
images/000318.png,-2.232393
images/000319.png,4.828447
images/000320.png,-0.789741
images/000321.png,8.307914
images/000322.png,-0.185357
images/000323.png,5.662857
images/000324.png,-0.502838
images/000325.png,-5.926058
images/000326.png,-2.62756
images/000327.png,-3.200416
images/000328.png,-4.407706
images/000329.png,7.553934
images/000330.png,-0.762834
images/000331.png,0.365824
images/000332.png,7.866716
images/000333.png,8.751039
images/000334.png,-8.297461
images/000335.png,-5.163339
images/000336.png,0.460469
images/000337.png,7.644578
images/000338.png,-8.332063
images/000339.png,5.972111
images/000340.png,8.863044
images/000341.png,0.921525
images/000342.png,-0.184622
images/000343.png,-6.860711
images/000344.png,6.365179
images/000345.png,3.67982
images/000346.png,-7.322826
images/000347.png,0.21156
images/000348.png,-2.504017
images/000349.png,-1.251877
images/000350.png,6.612424
images/000351.png,4.793939
images/000352.png,6.057131
images/000353.png,1.990499
images/000354.png,4.571586
images/000355.png,1.478991
images/000356.png,-5.147848
images/000357.png,7.578482
images/000358.png,5.551282
images/000359.png,-5.915879
images/000360.png,6.587683
images/000361.png,-3.224992
images/000362.png,1.765544
images/000363.png,-10.412454
images/000364.png,10.75855
images/000365.png,7.536803
images/000366.png,8.65214
images/000367.png,-1.993882
images/000368.png,-0.541768
images/000369.png,2.239736
images/000370.png,7.846903
images/000371.png,8.275773
images/000372.png,-6.906518
images/000373.png,-3.449826
images/000374.png,-3.454522
images/000375.png,-1.840822
images/000376.png,-0.770244
images/000377.png,7.648654
images/000378.png,7.283258
images/000379.png,2.143518
images/000380.png,-2.639988
images/000381.png,-2.921246
images/000382.png,-3.111423
images/000383.png,-4.680249
images/000384.png,-8.951908
images/000385.png,4.960024
images/000386.png,-1.525247
images/000387.png,-0.910655
images/000388.png,-2.765831
images/000389.png,8.185103
images/000390.png,8.468417
images/000391.png,-2.445923
images/000392.png,0.685252
images/000393.png,-0.003508
images/000394.png,4.817718
images/000395.png,-2.925908
images/000396.png,-2.772658
images/000397.png,-4.273052
images/000398.png,6.491667
images/000399.png,-0.612551
images/000400.png,1.642797
images/000401.png,-9.477421
images/000402.png,4.103138
images/000403.png,5.87016
images/000404.png,8.158635
images/000405.png,-0.866485
images/000406.png,5.640368
images/000407.png,-8.838738
images/000408.png,-9.070772
images/000409.png,8.398489
images/000410.png,-5.643356
images/000411.png,7.063541
images/000412.png,5.391852
images/000413.png,-5.914853
images/000414.png,2.834036
images/000415.png,1.113715
images/000416.png,2.761973
images/000417.png,1.782444
images/000418.png,-1.215595
images/000419.png,7.857575
images/000420.png,8.191304
