kan_neurons,kan_grid,lamb,"embed_dim, num_heads",ACC,Conf_Mtx,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
4,5,0.0001,"16, 2",0.72479564,"[[134  49]
 [ 52 132]]",10,0.251910448,0.748089552,"Ask_Low: 0.85
Bid_High: 0.84
Bid_Open: 0.76","Ex2: 0.89
Ask_Low: 0.70
Bid_Close: 0.42"
4,5,0.0001,"64, 8",0.722070813,"[[137  46]
 [ 56 128]]",30,0.000465863,0.99953413,"Ask_Low: 0.56
Bid_Open: 0.51
Ask_Open: 0.50","Bid_Close: 0.33
Ex2: 0.22
Ask_Low: 0.21"
3,3,1.00E-05,"64, 8",0.719346046,"[[134  49]
 [ 54 130]]",27,0.010378719,0.989621282,"Bid_Open: 0.70
Bid_Low: 0.70
Ask_Low: 0.56","Ex2: 0.58
Ask_Low: 0.39
Bid_Close: 0.10"
4,3,1.00E-06,"16, 8",0.719346046,"[[124  59]
 [ 44 140]]",20,0.15021655,0.84978348,"Bid_Close: 0.60
Ask_Open: 0.58
Ask_Close: 0.53","Ex4: 0.90
Ex5: 0.90
Ex3: 0.77"
4,5,0.0001,"16, 8",0.719346046,"[[126  57]
 [ 46 138]]",15,0.433541298,0.566458642,"Bid_High: 0.88
Ask_Low: 0.81
Bid_Open: 0.81","Ex2: 0.71
Ask_Low: 0.66
Bid_Close: 0.51"
2,4,1.00E-07,"32, 2",0.71662122,"[[131  52]
 [ 52 132]]",11,0.011578845,0.988421142,"Bid_Close: 2.24
Bid_Low: 1.83
Ask_Open: 1.55","Ask_Low: 0.51
Ex2: 0.35
Ask_High: 0.34"
4,5,0.0001,"16, 4",0.71662122,"[[124  59]
 [ 45 139]]",11,0.509510636,0.490489393,"Ask_Low: 0.72
Bid_High: 0.70
Bid_Open: 0.68","Ex2: 0.90
Ask_Low: 0.75
Bid_Close: 0.48"
3,3,1.00E-05,"32, 4",0.713896453,"[[140  43]
 [ 62 122]]",46,0.002982066,0.99701792,"Bid_Low: 0.63
Bid_Open: 0.63
Ask_Low: 0.50","Ex2: 0.83
Ask_Low: 0.51
Ex6: 0.35"
4,3,1.00E-06,"64, 2",0.713896453,"[[121  62]
 [ 43 141]]",48,0.032334272,0.967665732,"Bid_Close: 0.60
Ask_Open: 0.58
Ask_Close: 0.53","Bid_Low: 0.44
Bid_High: 0.43
Bid_Open: 0.40"
4,3,1.00E-06,"16, 4",0.713896453,"[[124  59]
 [ 46 138]]",20,0.431855857,0.568144143,"Bid_Close: 0.60
Ask_Open: 0.58
Ask_Close: 0.53","Ex4: 0.91
Ex5: 0.91
Ex3: 0.72"
4,5,0.0001,"32, 2",0.713896453,"[[124  59]
 [ 46 138]]",10,0.187822163,0.812177837,"Bid_Close: 0.63
Ask_Close: 0.58
Ask_High: 0.46","Ex2: 0.75
Ask_Low: 0.41
Ex1: 0.26"
3,3,1.00E-05,"64, 4",0.70844686,"[[133  50]
 [ 57 127]]",26,0.006859289,0.993140697,"Bid_Open: 0.66
Bid_Low: 0.66
Ask_Low: 0.53","Ex2: 0.39
Ask_Low: 0.28
Ask_High: 0.06"
3,3,1.00E-05,"16, 2",0.70844686,"[[125  58]
 [ 49 135]]",46,0.227562845,0.772437155,"Bid_Low: 0.58
Bid_Open: 0.58
Ask_Low: 0.46","Ask_Close: 0.69
Bid_Volume: 0.50
Ask_Volume: 0.40"
3,3,1.00E-05,"16, 4",0.70844686,"[[118  65]
 [ 42 142]]",31,0.072619803,0.927380145,"Bid_Low: 0.62
Bid_Open: 0.62
Ask_Low: 0.49","Ask_High: 0.73
Ask_Open: 0.60
Ask_Low: 0.59"
3,3,1.00E-05,"16, 8",0.70844686,"[[130  53]
 [ 54 130]]",10,0.482544005,0.517456055,"Bid_Open: 0.68
Bid_Low: 0.68
Ask_Low: 0.55","Ask_Low: 0.45
Ex2: 0.44
Ask_Volume: 0.44"
2,4,1.00E-07,"32, 4",0.70844686,"[[132  51]
 [ 56 128]]",13,0.017481653,0.982518315,"Bid_Close: 2.24
Bid_Low: 1.83
Ask_Open: 1.55","Ask_Low: 0.51
Ex2: 0.33
Ask_High: 0.32"
4,3,1.00E-06,"32, 8",0.70844686,"[[125  58]
 [ 49 135]]",18,0.013088361,0.986911654,"Bid_Close: 0.60
Ask_Open: 0.58
Ask_Close: 0.53","Ex2: 0.81
Ask_Low: 0.81
Bid_Close: 0.45"
4,5,0.0001,"32, 4",0.70844686,"[[117  66]
 [ 41 143]]",23,0.080802672,0.919197321,"Bid_Open: 0.90
Bid_High: 0.87
Bid_Close: 0.76","Ask_High: 0.48
Ex2: 0.47
Ask_Low: 0.44"
3,3,1.00E-05,"64, 2",0.705722034,"[[131  52]
 [ 56 128]]",17,0.01004137,0.989958584,"Bid_Open: 0.65
Bid_Low: 0.65
Ask_Low: 0.52","Ask_Low: 0.47
Ask_High: 0.45
Ex2: 0.41"
2,4,1.00E-07,"16, 8",0.705722034,"[[119  64]
 [ 44 140]]",16,0.031447265,0.968552709,"Bid_Close: 2.25
Bid_Low: 1.83
Ask_Open: 1.56","Ex2: 0.64
Ask_Open: 0.58
Ask_High: 0.54"
4,3,1.00E-06,"64, 4",0.705722034,"[[106  77]
 [ 31 153]]",18,0.042111799,0.957888246,"Bid_Close: 0.60
Ask_Open: 0.58
Ask_Close: 0.53","Ex1: 0.93
Ask_Volume: 0.89
Ask_High: 0.86"
3,3,1.00E-05,"32, 8",0.702997267,"[[116  67]
 [ 42 142]]",15,0.063094839,0.936905205,"Bid_Open: 0.65
Bid_Low: 0.65
Ask_Low: 0.52","Ex4: 0.63
Ex5: 0.63
Ex2: 0.60"
2,4,1.00E-07,"32, 8",0.702997267,"[[133  50]
 [ 59 125]]",15,0.001271731,0.998728216,"Bid_Close: 2.24
Bid_Low: 1.83
Ask_Open: 1.55","Ask_Low: 0.82
Ex2: 0.75
Bid_Close: 0.43"
4,3,1.00E-06,"16, 2",0.702997267,"[[107  76]
 [ 33 151]]",30,0.243945137,0.756054878,"Bid_Close: 0.60
Ask_Open: 0.58
Ask_Close: 0.53","Ex1: 0.90
Ask_Volume: 0.80
Ex2: 0.74"
2,4,1.00E-07,"16, 2",0.700272441,"[[108  75]
 [ 35 149]]",12,0.008746671,0.991253316,"Bid_Close: 2.24
Bid_Low: 1.83
Ask_Open: 1.55","Ask_Close: 0.67
Ex1: 0.61
Ask_Volume: 0.60"
4,5,0.0001,"32, 8",0.700272441,"[[112  71]
 [ 39 145]]",23,0.715616345,0.284383714,"Bid_Close: 0.69
Ask_Close: 0.61
Bid_Low: 0.42","Ask_High: 0.68
Ask_Volume: 0.65
Ex1: 0.62"
2,4,1.00E-07,"64, 8",0.694822907,"[[135  48]
 [ 64 120]]",35,0.000881306,0.999118745,"Bid_Close: 2.24
Bid_Low: 1.83
Ask_Open: 1.55","Ex2: 0.78
Ask_Low: 0.68
Ex4: 0.37"
4,3,1.00E-06,"32, 4",0.694822907,"[[131  52]
 [ 60 124]]",17,0.621144354,0.378855675,"Bid_Close: 0.60
Ask_Open: 0.58
Ask_Close: 0.53","Ex2: 0.46
Ask_Close: 0.35
Ex1: 0.32"
4,5,0.0001,"64, 2",0.694822907,"[[132  51]
 [ 61 123]]",24,0.00044034,0.9995597,"Ask_Low: 0.59
Bid_High: 0.53
Bid_Open: 0.52","Bid_Open: 0.16
Bid_Close: 0.13
Ex3: 0.12"
4,3,1.00E-06,"32, 2",0.692098081,"[[124  59]
 [ 54 130]]",19,0.305179834,0.694820166,"Bid_Close: 0.60
Ask_Open: 0.58
Ask_Close: 0.53","Ask_Low: 0.66
Ex2: 0.53
Bid_Close: 0.38"
4,5,0.0001,"64, 4",0.692098081,"[[137  46]
 [ 67 117]]",23,1.84E-05,0.999981523,"Bid_High: 0.93
Bid_Open: 0.91
Ask_Low: 0.85","Ex3: 0.43
Ex4: 0.32
Ex5: 0.32"
2,4,1.00E-07,"64, 2",0.689373314,"[[110  73]
 [ 41 143]]",29,0.001130441,0.998869538,"Bid_Close: 2.24
Bid_Low: 1.83
Ask_Open: 1.55","Ex1: 0.73
Ask_High: 0.68
Ask_Volume: 0.62"
2,4,1.00E-07,"16, 4",0.689373314,"[[136  47]
 [ 67 117]]",11,0.004122003,0.995877981,"Bid_Close: 2.24
Bid_Low: 1.83
Ask_Open: 1.55","Ex3: 0.24
Bid_Volume: 0.23
Ask_High: 0.22"
2,4,1.00E-07,"64, 4",0.683923721,"[[132  51]
 [ 65 119]]",27,0.001143682,0.998856366,"Bid_Close: 2.24
Bid_Low: 1.83
Ask_Open: 1.55","Ask_Low: 0.73
Ex2: 0.65
Bid_Close: 0.46"
3,3,1.00E-05,"32, 2",0.681198895,"[[112  71]
 [ 46 138]]",25,0.157290697,0.842709303,"Bid_Low: 0.63
Bid_Open: 0.62
Ask_Low: 0.50","Ex4: 0.43
Ex5: 0.43
Ex3: 0.42"
4,3,1.00E-06,"64, 8",0.656675756,"[[ 86  97]
 [ 29 155]]",34,0.03473134,0.965268672,"Bid_Close: 0.60
Ask_Open: 0.58
Ask_Close: 0.53","Ex1: 0.92
Ask_Volume: 0.87
Ask_High: 0.73"
