kan_neurons,kan_grid,lamb,hidden_dim,ACC,Conf_Mtx,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
10,8,0.001,8,0.949633718,"[[413  17  10   1]
 [  6 411   2   1]
 [  1   5  60   0]
 [  3   6   3 153]]",78,0.339464933,0.660535038,"V15: 0.41
V20: 0.26
V19: 0.22","V19: 0.39
V18: 0.39
V14: 0.36"
6,7,1.00E-05,128,0.944139183,"[[413  23   4   1]
 [  7 410   2   1]
 [  1   6  59   0]
 [  6   3   7 149]]",69,0.041881487,0.958118498,"V15: 0.40
V20: 0.28
V14: 0.23","V3: 0.36
V24: 0.35
V8: 0.33"
12,8,0.001,8,0.942307711,"[[411  20   7   3]
 [  7 409   4   0]
 [  0   5  61   0]
 [  4   7   6 148]]",67,0.376525432,0.623474598,"V15: 0.39
V19: 0.27
V20: 0.24","V24: 0.32
V23: 0.26
V19: 0.24"
6,7,1.00E-05,64,0.942307711,"[[421  11   6   3]
 [ 11 402   6   1]
 [  1   7  57   1]
 [  4   4   8 149]]",67,0.068030015,0.93197006,"V15: 0.36
V20: 0.32
V19: 0.24","V16: 0.27
V11: 0.27
V20: 0.25"
11,7,0.001,128,0.940476179,"[[413  17   6   5]
 [  8 408   4   0]
 [  0   5  61   0]
 [  5   5  10 145]]",77,0.368865699,0.631134331,"V15: 0.54
V19: 0.19
V20: 0.18","V13: 0.28
V12: 0.24
V8: 0.24"
11,7,0.001,64,0.940476179,"[[414  17   6   4]
 [  9 407   4   0]
 [  1   5  59   1]
 [  5   6   7 147]]",72,0.374104232,0.625895739,"V15: 0.51
V20: 0.20
V19: 0.17","V19: 0.31
V14: 0.30
V16: 0.29"
12,8,0.001,64,0.938644707,"[[410  25   3   3]
 [ 11 405   4   0]
 [  0   4  62   0]
 [  5   3   9 148]]",63,0.236511499,0.763488531,"V15: 0.40
V20: 0.28
V19: 0.25","V18: 0.54
V13: 0.53
V19: 0.46"
10,8,0.001,64,0.938644707,"[[414  19   4   4]
 [  8 407   4   1]
 [  0   4  61   1]
 [  1   8  13 143]]",75,0.294992864,0.705007195,"V15: 0.29
V20: 0.24
V19: 0.23","V18: 0.44
V19: 0.42
V13: 0.40"
12,8,0.001,32,0.937728941,"[[417  21   2   1]
 [  8 408   3   1]
 [  0   7  59   0]
 [  0   3  22 140]]",69,0.306037396,0.693962574,"V15: 0.33
V20: 0.32
V19: 0.24","V16: 0.43
V17: 0.34
V11: 0.32"
6,7,1.00E-05,32,0.936813176,"[[408  26   4   3]
 [ 10 406   2   2]
 [  0   6  59   1]
 [  3   7   5 150]]",47,0.058793966,0.941206038,"V15: 0.37
V20: 0.32
V19: 0.24","V13: 0.26
V11: 0.25
V12: 0.24"
12,8,0.001,16,0.93589741,"[[412  25   3   1]
 [  6 405   8   1]
 [  0   9  57   0]
 [  2   5  10 148]]",57,0.37125808,0.62874192,"V15: 0.33
V20: 0.25
V19: 0.17","V16: 0.28
V18: 0.27
V17: 0.25"
11,7,0.001,8,0.93589741,"[[412  23   5   1]
 [  9 405   5   1]
 [  0   5  60   1]
 [  4   6  10 145]]",74,0.412908256,0.587091744,"V15: 0.33
V20: 0.27
V14: 0.19","V20: 0.28
V24: 0.28
V15: 0.28"
11,7,0.001,32,0.934981704,"[[412  21   7   1]
 [  7 409   4   0]
 [  0   7  57   2]
 [  2   6  14 143]]",53,0.31720078,0.68279922,"V15: 0.47
V20: 0.18
V24: 0.17","V18: 0.32
V19: 0.31
V24: 0.29"
10,8,0.001,32,0.934981704,"[[412  21   7   1]
 [  7 411   0   2]
 [  0   6  58   2]
 [  4   4  17 140]]",58,0.334236979,0.665763021,"V15: 0.34
V20: 0.23
V19: 0.20","V19: 0.34
V18: 0.32
V14: 0.32"
12,8,0.001,64,0.933150172,"[[412  21   7   1]
 [ 10 404   4   2]
 [  0   5  58   3]
 [  4   6  10 145]]",62,0.225897089,0.774102926,"V15: 0.41
V20: 0.25
V19: 0.24","V13: 0.51
V18: 0.47
V12: 0.47"
11,7,0.001,16,0.932234406,"[[415  18   5   3]
 [  9 404   5   2]
 [  0   4  59   3]
 [  6   6  13 140]]",70,0.332170337,0.667829692,"V15: 0.49
V20: 0.26
V19: 0.20","V18: 0.36
V19: 0.32
V13: 0.32"
12,8,0.001,128,0.9313187,"[[417  17   6   1]
 [  9 397  13   1]
 [  0   5  60   1]
 [  2   7  13 143]]",37,0.364958256,0.635041773,"V15: 0.39
V20: 0.27
V19: 0.23","V16: 0.34
V11: 0.34
V13: 0.28"
12,8,0.001,16,0.9313187,"[[406  29   5   1]
 [ 11 405   3   1]
 [  0   5  60   1]
 [  1   6  12 146]]",60,0.342909545,0.657090425,"V15: 0.36
V20: 0.24
V19: 0.20","V16: 0.32
V19: 0.29
V14: 0.28"
12,8,0.001,128,0.930402935,"[[414  23   2   2]
 [ 15 398   7   0]
 [  0   7  59   0]
 [  0   5  15 145]]",32,0.143521905,0.856478095,"V15: 0.30
V20: 0.29
V19: 0.24","V24: 0.37
V23: 0.35
V22: 0.34"
6,7,1.00E-05,8,0.927655697,"[[410  22   6   3]
 [ 13 399   7   1]
 [  0   8  56   2]
 [  7   5   5 148]]",36,0.044806719,0.955193281,"V20: 0.29
V19: 0.26
V15: 0.24","V24: 0.32
V23: 0.28
V22: 0.25"
10,8,0.001,16,0.925824165,"[[407  27   6   1]
 [ 10 406   3   1]
 [  0   6  56   4]
 [  1   4  18 142]]",26,0.233055875,0.76694411,"V15: 0.46
V19: 0.22
V12: 0.21","V22: 0.27
V24: 0.27
V19: 0.25"
6,7,1.00E-05,16,0.925824165,"[[408  25   6   2]
 [ 15 399   3   3]
 [  1   6  59   0]
 [  2   4  14 145]]",66,0.062158294,0.937841713,"V15: 0.34
V20: 0.31
V19: 0.27","V14: 0.53
V19: 0.50
V9: 0.47"
12,8,0.001,32,0.923076928,"[[410  27   3   1]
 [ 14 394  12   0]
 [  0   6  58   2]
 [  1   5  13 146]]",63,0.45570609,0.54429388,"V15: 0.33
V19: 0.27
V20: 0.26","V23: 0.33
V24: 0.32
V19: 0.31"
10,8,0.001,128,0.918498158,"[[410  29   1   1]
 [ 11 403   3   3]
 [  0   8  56   2]
 [  1   4  26 134]]",27,0.232922122,0.767077863,"V15: 0.36
V20: 0.23
V19: 0.20","V24: 0.37
V23: 0.33
V19: 0.31"
