kan_neurons,kan_grid,lamb,cnn_bottleneck_dim,ACC,Conf_Mtx,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
3,3,1e-05,1,0.6948229074478149,"[[127  56]
 [ 56 128]]",36,0.8085612058639526,0.19143879413604736,,
3,3,1e-05,2,0.7302452325820923,"[[135  48]
 [ 51 133]]",4,0.17255470156669617,0.8274452686309814,,
3,3,1e-05,4,0.7220708131790161,"[[127  56]
 [ 46 138]]",11,0.26910585165023804,0.7308940887451172,,
3,3,1e-05,6,0.7002724409103394,"[[119  64]
 [ 46 138]]",3,0.1817798912525177,0.8182201385498047,,
3,3,1e-05,8,0.7029972672462463,"[[121  62]
 [ 47 137]]",3,0.1281658113002777,0.8718342185020447,,
3,3,1e-05,10,0.7275204062461853,"[[133  50]
 [ 50 134]]",14,0.20645636320114136,0.7935436367988586,,
3,3,1e-05,12,0.7084468603134155,"[[126  57]
 [ 50 134]]",31,0.06218133121728897,0.9378186464309692,,
2,4,1e-07,1,0.7493187785148621,"[[140  43]
 [ 49 135]]",3,0.9999987483024597,1.2657823162953719e-06,,
2,4,1e-07,2,0.7111716270446777,"[[136  47]
 [ 59 125]]",11,0.28134915232658386,0.7186508178710938,,
2,4,1e-07,3,0.7302452325820923,"[[137  46]
 [ 53 131]]",12,0.21751588582992554,0.7824841141700745,,
2,4,1e-07,6,0.7057220339775085,"[[122  61]
 [ 47 137]]",2,0.1481551080942154,0.8518449068069458,,
2,4,1e-07,9,0.7138964533805847,"[[125  58]
 [ 47 137]]",9,0.14714361727237701,0.8528563380241394,,
2,4,1e-07,12,0.7111716270446777,"[[126  57]
 [ 49 135]]",5,0.26712968945503235,0.7328702807426453,,
5,6,0.001,1,0.7111716270446777,"[[129  54]
 [ 52 132]]",10,0.23691748082637787,0.7630825042724609,,
5,6,0.001,2,0.6893733143806458,"[[126  57]
 [ 57 127]]",1,0.524522602558136,0.4754774570465088,,
5,6,0.001,3,0.7247956395149231,"[[135  48]
 [ 53 131]]",6,0.02675074152648449,0.9732492566108704,,
5,6,0.001,6,0.7002724409103394,"[[125  58]
 [ 52 132]]",5,0.13719436526298523,0.8628056049346924,,
5,6,0.001,9,0.7275204062461853,"[[132  51]
 [ 49 135]]",17,0.16249142587184906,0.8375085592269897,,
5,6,0.001,12,0.7220708131790161,"[[131  52]
 [ 50 134]]",7,0.14321544766426086,0.8567845225334167,,
3,3,0.0001,1,0.7138964533805847,"[[127  56]
 [ 49 135]]",1,0.9999422430992126,5.771987707703374e-05,,
3,3,0.0001,2,0.7111716270446777,"[[131  52]
 [ 54 130]]",22,0.19892722368240356,0.8010727763175964,,
3,3,0.0001,4,0.7193460464477539,"[[127  56]
 [ 47 137]]",7,0.15668578445911407,0.8433142304420471,,
3,3,0.0001,6,0.7247956395149231,"[[131  52]
 [ 49 135]]",10,0.09573572874069214,0.9042642712593079,,
3,3,0.0001,8,0.7166212201118469,"[[133  50]
 [ 54 130]]",42,0.11201081424951553,0.8879891633987427,,
3,7,1e-06,1,0.7138964533805847,"[[126  57]
 [ 48 136]]",2,0.2593177855014801,0.7406821846961975,,
3,7,1e-06,2,0.7247956395149231,"[[132  51]
 [ 50 134]]",8,0.29896867275238037,0.7010313272476196,,
3,7,1e-06,3,0.7084468603134155,"[[125  58]
 [ 49 135]]",1,0.2637682557106018,0.7362317442893982,,
3,7,1e-06,6,0.6893733143806458,"[[120  63]
 [ 51 133]]",40,0.30125123262405396,0.698748767375946,,
3,7,1e-06,7,0.7302452325820923,"[[131  52]
 [ 47 137]]",2,0.24447648227214813,0.7555235028266907,,
3,7,1e-06,9,0.6839237213134766,"[[131  52]
 [ 64 120]]",36,0.2285248041152954,0.7714751958847046,,
3,7,1e-06,10,0.7057220339775085,"[[123  60]
 [ 48 136]]",5,0.15092574059963226,0.8490742444992065,,
3,7,1e-06,12,0.6975476741790771,"[[127  56]
 [ 55 129]]",7,0.229435995221138,0.7705640196800232,,
5,7,0.0001,1,0.7111716270446777,"[[136  47]
 [ 59 125]]",5,0.9483941793441772,0.05160585790872574,,
5,7,0.0001,2,0.7057220339775085,"[[133  50]
 [ 58 126]]",12,0.31496790051460266,0.6850321292877197,,
5,7,0.0001,4,0.7247956395149231,"[[132  51]
 [ 50 134]]",6,0.20957835018634796,0.7904216647148132,,
5,7,0.0001,6,0.7302452325820923,"[[130  53]
 [ 46 138]]",2,0.31841519474983215,0.6815847754478455,,
5,7,0.0001,8,0.7084468603134155,"[[129  54]
 [ 53 131]]",13,0.24121418595314026,0.7587857842445374,,
