kan_neurons,kan_grid,lamb,alpha,ACC,Conf_Mtx,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
3,3,1e-05,0.9,0.7084468603134155,"[[133  50]
 [ 57 127]]",25,0.01292693056166172,0.9870730638504028,,
3,3,1e-05,0.8,0.7193460464477539,"[[124  59]
 [ 44 140]]",1,0.016721125692129135,0.9832788705825806,,
3,3,1e-05,0.75,0.7302452325820923,"[[131  52]
 [ 47 137]]",6,0.006180010735988617,0.9938200116157532,,
3,3,1e-05,0.7,0.7057220339775085,"[[120  63]
 [ 45 139]]",0,0.017336828634142876,0.9826632142066956,,
3,3,1e-05,0.6,0.7193460464477539,"[[122  61]
 [ 42 142]]",0,0.020822182297706604,0.9791777729988098,,
3,3,1e-05,0.5,0.7166212201118469,"[[125  58]
 [ 46 138]]",4,0.00486575486138463,0.9951342344284058,,
3,3,1e-05,0.4,0.7275204062461853,"[[134  49]
 [ 51 133]]",2,0.005304231308400631,0.9946957230567932,,
3,3,1e-05,0.3,0.7302452325820923,"[[133  50]
 [ 49 135]]",6,0.009843231178820133,0.9901567697525024,,
3,3,1e-05,0.25,0.7356948256492615,"[[142  41]
 [ 56 128]]",12,0.014954984188079834,0.9850450754165649,,
3,3,1e-05,0.2,0.7275204062461853,"[[132  51]
 [ 49 135]]",6,0.014437360689043999,0.9855626821517944,,
3,3,1e-05,0.1,0.7302452325820923,"[[137  46]
 [ 53 131]]",4,0.017516735941171646,0.9824832677841187,,
3,3,1e-05,0.05,0.7138964533805847,"[[134  49]
 [ 56 128]]",10,0.013923781923949718,0.9860762357711792,,
3,3,1e-05,0.01,0.7275204062461853,"[[138  45]
 [ 55 129]]",3,0.02357308752834797,0.976426899433136,,
2,4,1e-07,0.9,0.7220708131790161,"[[130  53]
 [ 49 135]]",1,0.002908580005168915,0.9970914125442505,,
2,4,1e-07,0.8,0.7356948256492615,"[[129  54]
 [ 43 141]]",1,0.003243745770305395,0.9967563152313232,,
2,4,1e-07,0.75,0.7329699993133545,"[[133  50]
 [ 48 136]]",6,0.004706436302512884,0.9952935576438904,,
2,4,1e-07,0.7,0.7138964533805847,"[[125  58]
 [ 47 137]]",1,0.003212416311725974,0.9967876076698303,,
