kan_neurons,kan_grid,lamb,alpha,ACC,Conf_Mtx,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
12,8,0.001,0.9,0.9148351550102234,"[[398  38   4   1]
 [  8 409   3   0]
 [  0   7  57   2]
 [  1   4  25 135]]",21,0.08422461152076721,0.9157753586769104,"V20: 0.35
V15: 0.28
V19: 0.27","V15: 0.47
V20: 0.42
V10: 0.40"
12,8,0.001,0.75,0.9239926934242249,"[[408  29   3   1]
 [  8 400  12   0]
 [  0   7  55   4]
 [  0   5  14 146]]",25,0.24735616147518158,0.752643883228302,"V20: 0.44
V15: 0.25
V19: 0.24","V15: 0.29
V24: 0.29
V23: 0.28"
12,8,0.001,0.5,0.9276556968688965,"[[407  31   2   1]
 [  8 406   5   1]
 [  0   6  57   3]
 [  0   5  17 143]]",15,0.3935585916042328,0.6064414381980896,"V20: 0.43
V15: 0.29
V19: 0.28","V24: 0.25
V22: 0.24
V23: 0.24"
12,8,0.001,0.25,0.9157509207725525,"[[406  31   3   1]
 [ 13 393  14   0]
 [  0   6  53   7]
 [  0   7  10 148]]",24,0.49329739809036255,0.5067025423049927,"V15: 0.40
V20: 0.23
V14: 0.20","V11: 0.22
V6: 0.21
V12: 0.21"
12,8,0.001,0.1,0.8708791136741638,"[[394  43   3   1]
 [ 29 371  20   0]
 [  0   5  59   2]
 [  2   5  31 127]]",18,0.40013110637664795,0.5998688340187073,"V15: 0.28
V19: 0.27
V20: 0.20","V24: 0.27
Ex1: 0.27
V12: 0.23"
12,8,0.001,0.05,0.9120879173278809,"[[411  23   6   1]
 [ 15 388  17   0]
 [  1   9  53   3]
 [  1   3  17 144]]",57,0.5875647664070129,0.41243523359298706,"V15: 0.30
V19: 0.25
V20: 0.21","V12: 0.27
V17: 0.24
V18: 0.24"
12,8,0.001,0.01,0.8846153616905212,"[[395  42   3   1]
 [ 26 376  18   0]
 [  1  10  54   1]
 [  0   6  18 141]]",61,0.5660290122032166,0.43397101759910583,"V15: 0.40
V20: 0.31
V19: 0.23","V12: 0.24
V17: 0.23
V18: 0.22"
6,7,1e-05,0.9,0.9267399311065674,"[[401  28   6   6]
 [ 11 401   6   2]
 [  0   3  62   1]
 [  4   5   8 148]]",38,0.020176319405436516,0.979823648929596,"V15: 0.31
V3: 0.23
V14: 0.23","V13: 0.26
V24: 0.24
V23: 0.24"
6,7,1e-05,0.75,0.9294871687889099,"[[401  25   8   7]
 [  4 410   4   2]
 [  0   7  54   5]
 [  4   4   7 150]]",27,0.030204202979803085,0.969795823097229,"V15: 0.27
V22: 0.21
V14: 0.20","V15: 0.32
V20: 0.30
V10: 0.26"
6,7,1e-05,0.5,0.8644688725471497,"[[392  42   6   1]
 [ 32 376  11   1]
 [  0  10  54   2]
 [  0   8  35 122]]",13,0.06320688128471375,0.9367931485176086,"V15: 0.26
V20: 0.23
V22: 0.22","V23: 0.30
V24: 0.30
V22: 0.25"
6,7,1e-05,0.25,0.8461538553237915,"[[385  48   7   1]
 [ 34 364  22   0]
 [  1   6  53   6]
 [  1   4  38 122]]",15,0.09298943728208542,0.907010555267334,"V15: 0.34
V9: 0.24
V20: 0.23","V18: 0.28
V17: 0.24
V8: 0.24"
6,7,1e-05,0.1,0.8406593203544617,"[[389  42   9   1]
 [ 41 353  25   1]
 [  1   4  56   5]
 [  2   9  34 120]]",16,0.08993493020534515,0.9100650548934937,"V15: 0.28
V14: 0.19
V20: 0.18","V12: 0.27
V23: 0.25
V17: 0.24"
6,7,1e-05,0.05,0.8250916004180908,"[[378  52   9   2]
 [ 39 352  29   0]
 [  0   7  54   5]
 [  1   6  41 117]]",10,0.08778367191553116,0.9122163653373718,"V15: 0.33
V9: 0.18
V13: 0.18","V15: 0.30
V20: 0.27
V10: 0.26"
6,7,1e-05,0.01,0.8333333134651184,"[[375  53  11   2]
 [ 30 362  27   1]
 [  0  10  53   3]
 [  1   8  36 120]]",9,0.08867931365966797,0.911320686340332,"V15: 0.28
V20: 0.23
V19: 0.19","V12: 0.29
V13: 0.29
V2: 0.27"
11,3,0.001,0.9,0.9349817037582397,"[[414  14   5   8]
 [  9 401   5   5]
 [  2   4  57   3]
 [  6   3   7 149]]",43,5.3254672820912674e-05,0.9999467134475708,"V7: 0.20
V22: 0.19
V15: 0.18","V13: 0.30
V12: 0.27
V7: 0.24"
11,3,0.001,0.75,0.9487179517745972,"[[424  10   2   5]
 [ 10 399   8   3]
 [  1   4  61   0]
 [  5   2   6 152]]",49,2.8733278668369167e-05,0.9999712705612183,"V7: 0.29
V9: 0.21
V5: 0.16","V12: 0.25
V18: 0.22
V17: 0.21"
11,3,0.001,0.5,0.9175823926925659,"[[407  17  12   5]
 [ 13 405   0   2]
 [  5  10  46   5]
 [ 10   4   7 144]]",57,0.07422760874032974,0.9257724285125732,"V7: 0.20
V15: 0.19
V20: 0.17","V12: 0.32
V7: 0.28
V18: 0.28"
11,3,0.001,0.25,0.9020146727561951,"[[402  30   5   4]
 [ 11 401   5   3]
 [  1  14  50   1]
 [  3   6  24 132]]",43,0.1819240003824234,0.8180760145187378,"V15: 0.33
V20: 0.26
V19: 0.25","V24: 0.26
V23: 0.24
V12: 0.23"
11,3,0.001,0.1,0.9294871687889099,"[[413  24   2   2]
 [  8 406   4   2]
 [  1   8  53   4]
 [  7   9   6 143]]",62,0.261197566986084,0.738802433013916,"V15: 0.28
V24: 0.18
V19: 0.15","V18: 0.31
V12: 0.29
V7: 0.28"
11,3,0.001,0.05,0.930402934551239,"[[408  24   7   2]
 [  8 405   3   4]
 [  0   7  58   1]
 [  9   6   5 145]]",38,0.16680656373500824,0.8331934213638306,"V15: 0.37
V19: 0.30
V20: 0.24","V14: 0.35
V18: 0.34
V12: 0.33"
11,3,0.001,0.01,0.9212453961372375,"[[405  27   6   3]
 [ 11 400   7   2]
 [  0   6  57   3]
 [  2   9  10 144]]",66,0.24286842346191406,0.7571316361427307,"V15: 0.29
V20: 0.21
V7: 0.20","V12: 0.35
V7: 0.30
V17: 0.29"
10,8,0.001,0.1,0.9056776762008667,"[[412  25   3   1]
 [ 20 380  20   0]
 [  0   6  59   1]
 [  0   6  21 138]]",49,0.5085945129394531,0.4914054572582245,"V15: 0.41
V20: 0.26
V19: 0.24","V12: 0.30
V17: 0.25
V13: 0.25"
