kan_neurons,kan_grid,lamb,ACC,Best_Epoch
3,4,0.001,0.735694826,7
3,6,1.00E-06,0.735694826,6
5,8,1.00E-07,0.735694826,13
4,5,1.00E-06,0.732969999,4
4,8,0.0001,0.732969999,9
1,7,0.001,0.732969999,13
1,7,0.0001,0.732969999,6
2,8,0.0001,0.732969999,8
2,8,1.00E-07,0.732969999,9
3,5,0.0001,0.730245233,35
3,6,0.0001,0.730245233,6
4,4,0.001,0.730245233,8
4,5,1.00E-07,0.730245233,11
5,5,1.00E-07,0.730245233,9
1,3,1.00E-07,0.730245233,9
1,8,0.001,0.730245233,7
2,3,0.001,0.730245233,13
2,3,0.0001,0.730245233,12
2,3,1.00E-05,0.730245233,6
2,3,1.00E-06,0.730245233,5
2,3,1.00E-07,0.730245233,8
2,5,0.001,0.730245233,10
2,7,1.00E-05,0.730245233,10
3,3,0.001,0.727520406,11
3,8,1.00E-05,0.727520406,6
4,3,0.0001,0.727520406,30
4,4,1.00E-05,0.727520406,24
4,8,1.00E-06,0.727520406,8
5,5,0.001,0.727520406,5
5,7,0.001,0.727520406,11
5,8,0.0001,0.727520406,16
1,4,1.00E-06,0.727520406,20
1,6,1.00E-07,0.727520406,1
2,4,0.001,0.727520406,8
2,6,0.001,0.727520406,7
2,7,0.001,0.727520406,6
2,8,0.001,0.727520406,12
2,8,1.00E-05,0.727520406,8
3,4,1.00E-05,0.72479564,8
3,6,1.00E-05,0.72479564,8
3,7,1.00E-06,0.72479564,8
3,8,0.001,0.72479564,11
4,3,1.00E-05,0.72479564,12
4,4,0.0001,0.72479564,0
4,6,0.001,0.72479564,8
5,3,1.00E-05,0.72479564,9
5,4,1.00E-06,0.72479564,9
5,4,1.00E-07,0.72479564,9
5,6,0.0001,0.72479564,8
1,3,1.00E-05,0.72479564,5
1,8,1.00E-07,0.72479564,7
2,7,1.00E-06,0.72479564,7
3,4,0.0001,0.722070813,12
3,6,1.00E-07,0.722070813,1
3,7,0.0001,0.722070813,1
5,3,0.0001,0.722070813,0
5,7,1.00E-06,0.722070813,0
1,5,1.00E-05,0.722070813,4
2,8,1.00E-06,0.722070813,16
3,8,1.00E-06,0.719346046,7
4,4,1.00E-06,0.719346046,12
4,6,1.00E-07,0.719346046,7
4,7,0.0001,0.719346046,1
4,7,1.00E-07,0.719346046,10
5,4,0.001,0.719346046,7
5,4,0.0001,0.719346046,7
1,6,0.001,0.719346046,5
1,7,1.00E-07,0.719346046,7
2,5,1.00E-06,0.719346046,11
2,6,0.0001,0.719346046,1
2,7,1.00E-07,0.719346046,6
3,4,1.00E-07,0.71662122,1
3,5,1.00E-07,0.71662122,0
3,7,1.00E-07,0.71662122,1
4,5,1.00E-05,0.71662122,26
4,7,0.001,0.71662122,0
4,7,1.00E-05,0.71662122,11
5,6,1.00E-05,0.71662122,1
5,7,1.00E-05,0.71662122,7
5,8,0.001,0.71662122,1
1,3,0.001,0.71662122,1
1,3,0.0001,0.71662122,1
1,4,0.0001,0.71662122,16
1,4,1.00E-05,0.71662122,1
2,6,1.00E-05,0.71662122,9
2,6,1.00E-06,0.71662122,8
3,3,1.00E-05,0.713896453,8
3,3,1.00E-07,0.713896453,3
3,5,1.00E-05,0.713896453,0
4,4,1.00E-07,0.713896453,0
4,5,0.0001,0.713896453,1
4,6,1.00E-05,0.713896453,11
4,8,0.001,0.713896453,22
4,8,1.00E-07,0.713896453,16
5,3,1.00E-06,0.713896453,0
5,3,1.00E-07,0.713896453,5
5,4,1.00E-05,0.713896453,7
5,8,1.00E-06,0.713896453,10
1,5,0.0001,0.713896453,14
2,4,1.00E-07,0.713896453,1
2,5,1.00E-05,0.713896453,1
2,7,0.0001,0.713896453,14
3,3,1.00E-06,0.711171627,15
3,4,1.00E-06,0.711171627,1
3,8,1.00E-07,0.711171627,0
1,3,1.00E-06,0.711171627,7
1,5,0.001,0.711171627,1
1,5,1.00E-07,0.711171627,1
1,6,0.0001,0.711171627,1
