kan_neurons,kan_grid,lamb,RMSE,Best_Epoch
1,3,0.1,4.0961995124816895,26
1,3,0.01,4.236727714538574,22
1,3,0.001,4.18359375,45
1,3,0.0001,4.56562614440918,49
1,3,1e-05,4.428501605987549,27
1,3,1e-06,4.527919769287109,27
1,3,0.1,4.325981616973877,42
1,3,0.01,4.612823486328125,10
1,3,0.001,4.707195281982422,32
1,3,0.1,4.038038730621338,41
1,3,0.01,4.180380821228027,57
1,3,0.001,4.6721367835998535,3
1,3,0.0001,4.32529878616333,40
1,3,1e-05,4.41503381729126,3
1,3,1e-06,3.8331310749053955,49
1,3,1e-07,4.4152421951293945,59
1,4,0.1,4.116422176361084,42
1,4,0.01,4.152281761169434,14
1,4,0.001,4.325422763824463,58
1,4,0.0001,4.121894359588623,56
1,4,1e-05,4.03808069229126,51
1,4,1e-06,4.186045169830322,24
1,5,0.1,4.007558345794678,50
1,5,0.01,4.022542476654053,40
1,5,0.001,4.0267205238342285,7
1,5,0.0001,4.058546543121338,13
1,5,1e-05,4.106025695800781,43
1,5,1e-06,3.9323132038116455,28
1,6,0.1,4.0715789794921875,6
1,6,0.01,3.95251727104187,27
1,6,0.001,4.117439270019531,11
1,6,0.0001,4.1905364990234375,18
1,6,1e-05,4.024664402008057,11
1,6,1e-06,4.233840465545654,27
1,7,0.1,4.03066349029541,6
1,7,0.01,4.017488956451416,27
1,7,0.001,4.126894950866699,27
1,4,0.1,3.8538107872009277,3
1,4,0.01,3.806027412414551,6
1,4,0.001,3.485992670059204,38
1,4,0.1,3.888361930847168,53
1,4,0.01,3.862142562866211,18
1,4,0.001,3.485992670059204,38
1,4,0.0001,3.438039541244507,59
1,4,1e-05,3.572995901107788,34
1,4,1e-06,3.5752713680267334,34
1,5,0.1,3.8261139392852783,15
1,5,0.01,3.803046941757202,8
1,5,0.001,3.6034395694732666,54
1,5,0.0001,3.765286684036255,56
1,5,1e-05,3.8612356185913086,39
1,5,1e-06,3.7477965354919434,53
1,6,0.1,3.811444044113159,8
1,6,0.01,3.8087685108184814,8
1,6,0.001,3.646684408187866,49
1,6,0.0001,3.553560733795166,58
1,6,1e-05,3.693603992462158,58
1,6,1e-06,3.5918378829956055,53
1,7,0.1,3.8237574100494385,8
1,7,0.01,3.8844869136810303,15
1,7,0.001,3.6047523021698,33
1,7,0.0001,3.545835256576538,38
1,7,1e-05,3.648815631866455,43
1,7,1e-06,3.597996473312378,38
2,4,0.1,3.832077741622925,15
2,4,0.01,3.3790290355682373,54
2,4,0.001,3.4045567512512207,32
2,4,0.0001,3.4729866981506348,32
2,4,1e-05,3.4041800498962402,29
2,4,1e-06,3.5096607208251953,44
2,5,0.1,3.835101366043091,15
2,5,0.01,3.821195602416992,32
2,5,0.001,3.610551357269287,54
2,5,0.0001,3.510101795196533,59
2,5,1e-05,3.519620895385742,59
2,5,1e-06,3.519425630569458,58
2,6,0.1,3.7895407676696777,8
2,6,0.01,3.409048318862915,52
2,6,0.001,3.6369926929473877,44
2,6,0.0001,3.615788459777832,40
2,6,1e-05,3.70420241355896,53
2,6,1e-06,3.5838887691497803,43
2,7,0.1,3.852560043334961,15
2,7,0.01,3.838040828704834,18
2,7,0.001,3.6048097610473633,19
2,7,0.0001,3.6646835803985596,26
2,7,1e-05,3.5897247791290283,27
2,7,1e-06,3.623265504837036,26
3,4,0.1,3.853821039199829,53
3,4,0.01,3.582000970840454,20
3,4,0.001,3.50514817237854,43
3,4,0.0001,3.592437505722046,40
3,4,1e-05,3.590869426727295,58
3,4,1e-06,3.641934633255005,44
3,5,0.1,3.8765037059783936,40
3,5,0.01,3.523935556411743,58
3,5,0.001,3.5133137702941895,15
3,5,0.0001,3.445467710494995,40
3,5,1e-05,3.5434038639068604,44
3,5,1e-06,3.416231632232666,53
3,6,0.1,3.8285293579101562,19
3,6,0.01,3.4749162197113037,54
3,6,0.001,3.5017263889312744,19
3,6,0.0001,3.551198959350586,33
3,6,1e-05,3.5219764709472656,32
3,6,1e-06,3.4546117782592773,17
3,7,0.1,3.790471076965332,8
3,7,0.01,3.4472692012786865,57
3,7,0.001,3.351853847503662,59
3,7,0.0001,3.4735922813415527,44
3,7,1e-05,3.4063003063201904,40
3,7,1e-06,3.5318844318389893,44
4,4,0.1,3.796215772628784,8
4,4,0.01,3.488009452819824,44
4,4,0.001,3.554952383041382,54
4,4,0.0001,3.416372776031494,51
4,4,1e-05,3.528032064437866,44
4,4,1e-06,3.4835216999053955,24
4,5,0.1,3.8564038276672363,53
4,5,0.01,3.4249253273010254,57
4,5,0.001,3.4736168384552,38
4,5,0.0001,3.558356523513794,15
4,5,1e-05,3.6089627742767334,59
4,5,1e-06,3.554133653640747,48
4,6,0.1,3.8108561038970947,8
4,6,0.01,3.4703590869903564,47
4,6,0.001,3.429051160812378,58
4,6,0.0001,3.4688167572021484,58
4,6,1e-05,3.44976806640625,53
4,6,1e-06,3.7143807411193848,39
4,7,0.1,3.8184850215911865,15
4,7,0.01,3.373932361602783,32
4,7,0.001,3.4435696601867676,35
4,7,0.0001,3.481260061264038,32
4,7,1e-05,3.4523701667785645,53
4,7,1e-06,3.399111270904541,35
