kan_neurons,kan_grid,lamb,ACC,Best_Epoch
13,3,0.1,0.38461539149284363,0
13,3,0.01,0.9450549483299255,33
13,3,0.001,0.9468864798545837,31
13,3,0.0001,0.9569597244262695,56
13,3,1e-05,0.9120879173278809,41
13,3,1e-06,0.9349817037582397,55
13,3,1e-07,0.9148351550102234,28
13,4,0.1,0.38461539149284363,0
13,4,0.01,0.9468864798545837,75
13,4,0.001,0.9432234764099121,48
13,4,0.0001,0.9496337175369263,48
13,4,1e-05,0.9349817037582397,33
13,4,1e-06,0.9212453961372375,41
13,4,1e-07,0.9276556968688965,43
13,5,0.1,0.38461539149284363,0
13,5,0.01,0.9478021860122681,82
13,5,0.001,0.9313187003135681,45
13,5,0.0001,0.9349817037582397,47
13,5,1e-05,0.9120879173278809,35
13,5,1e-06,0.9120879173278809,22
13,5,1e-07,0.9056776762008667,35
13,6,0.1,0.38461539149284363,0
13,6,0.01,0.9267399311065674,94
13,6,0.001,0.9496337175369263,45
13,6,0.0001,0.9404761791229248,41
13,6,1e-05,0.9395604729652405,35
13,6,1e-06,0.9395604729652405,32
13,6,1e-07,0.9322344064712524,19
13,7,0.1,0.38461539149284363,0
13,7,0.01,0.9212453961372375,16
13,7,0.001,0.9340659379959106,57
13,7,0.0001,0.9358974099159241,29
13,7,1e-05,0.9139193892478943,37
13,7,1e-06,0.8791208863258362,35
13,7,1e-07,0.889194130897522,38
13,8,0.1,0.38461539149284363,0
13,8,0.01,0.91300368309021,72
13,8,0.001,0.9239926934242249,39
13,8,0.0001,0.8873626589775085,26
13,8,1e-05,0.8937729001045227,30
13,8,1e-06,0.8553113341331482,32
13,8,1e-07,0.8937729001045227,26
12,3,0.1,0.38461539149284363,0
12,3,0.01,0.9322344064712524,60
12,3,0.001,0.9523809552192688,38
12,3,0.0001,0.9175823926925659,84
12,3,1e-05,0.930402934551239,32
12,3,1e-06,0.9239926934242249,30
12,3,1e-07,0.9166666865348816,60
12,4,0.1,0.38461539149284363,0
12,4,0.01,0.9258241653442383,87
12,4,0.001,0.9450549483299255,38
12,4,0.0001,0.9276556968688965,32
12,4,1e-05,0.9478021860122681,41
12,4,1e-06,0.9340659379959106,29
12,4,1e-07,0.9322344064712524,87
12,5,0.1,0.38461539149284363,0
12,5,0.01,0.9496337175369263,42
12,5,0.001,0.9221611618995667,65
12,5,0.0001,0.91300368309021,47
12,5,1e-05,0.9029303789138794,24
12,5,1e-06,0.9093406796455383,50
12,5,1e-07,0.8827838897705078,27
12,6,0.1,0.38461539149284363,0
12,6,0.01,0.9294871687889099,75
12,6,0.001,0.9377289414405823,43
12,6,0.0001,0.9120879173278809,36
12,6,1e-05,0.9038461446762085,53
12,6,1e-06,0.8873626589775085,32
12,6,1e-07,0.8928571343421936,21
12,7,0.1,0.38461539149284363,0
12,7,0.01,0.9413919448852539,92
12,7,0.001,0.9175823926925659,35
12,7,0.0001,0.9029303789138794,29
12,7,1e-05,0.8855311274528503,33
12,7,1e-06,0.8956043720245361,55
12,7,1e-07,0.91300368309021,39
12,8,0.1,0.38461539149284363,0
12,8,0.01,0.9313187003135681,48
12,8,0.001,0.8983516693115234,29
12,8,0.0001,0.8791208863258362,31
12,8,1e-05,0.8800366520881653,34
12,8,1e-06,0.8571428656578064,35
12,8,1e-07,0.872710645198822,35
11,3,0.1,0.38461539149284363,0
11,3,0.01,0.9313187003135681,74
11,3,0.001,0.9615384936332703,60
11,3,0.0001,0.9194139242172241,75
11,3,1e-05,0.9322344064712524,35
11,3,1e-06,0.9221611618995667,57
11,3,1e-07,0.9148351550102234,55
11,4,0.1,0.38461539149284363,0
11,4,0.01,0.9322344064712524,52
11,4,0.001,0.9478021860122681,83
11,4,0.0001,0.918498158454895,87
11,4,1e-05,0.8983516693115234,38
11,4,1e-06,0.9203296899795532,81
11,4,1e-07,0.9313187003135681,45
11,5,0.1,0.38461539149284363,0
11,5,0.01,0.9212453961372375,78
11,5,0.001,0.9102563858032227,40
11,5,0.0001,0.9029303789138794,37
11,5,1e-05,0.8946886658668518,47
11,5,1e-06,0.8855311274528503,29
11,5,1e-07,0.8827838897705078,26
11,6,0.1,0.38461539149284363,0
11,6,0.01,0.9230769276618958,94
11,6,0.001,0.8992673754692078,66
11,6,0.0001,0.8983516693115234,52
11,6,1e-05,0.9111721515655518,34
11,6,1e-06,0.8864468932151794,35
11,6,1e-07,0.9047619104385376,24
11,7,0.1,0.38461539149284363,0
11,7,0.01,0.9258241653442383,90
11,7,0.001,0.9175823926925659,23
11,7,0.0001,0.8937729001045227,30
11,7,1e-05,0.8910256624221802,18
11,7,1e-06,0.8937729001045227,20
11,7,1e-07,0.8763736486434937,25
11,8,0.1,0.38461539149284363,0
11,8,0.01,0.9221611618995667,36
11,8,0.001,0.9368131756782532,25
11,8,0.0001,0.9349817037582397,57
11,8,1e-05,0.9285714030265808,40
11,8,1e-06,0.8736263513565063,27
11,8,1e-07,0.9349817037582397,19
10,3,0.1,0.38461539149284363,0
10,3,0.01,0.9368131756782532,99
10,3,0.001,0.9404761791229248,70
10,3,0.0001,0.9404761791229248,87
10,3,1e-05,0.9084249138832092,26
10,3,1e-06,0.9230769276618958,58
10,3,1e-07,0.8965201377868652,38
10,4,0.1,0.38461539149284363,0
10,4,0.01,0.9377289414405823,44
10,4,0.001,0.9413919448852539,31
10,4,0.0001,0.9056776762008667,55
10,4,1e-05,0.942307710647583,68
10,4,1e-06,0.918498158454895,31
10,4,1e-07,0.9413919448852539,47
10,5,0.1,0.38461539149284363,0
10,5,0.01,0.9450549483299255,99
10,5,0.001,0.9505494832992554,54
10,5,0.0001,0.9175823926925659,39
10,5,1e-05,0.8983516693115234,50
10,5,1e-06,0.906593382358551,21
10,5,1e-07,0.8956043720245361,29
10,6,0.1,0.38461539149284363,0
10,6,0.01,0.9331501722335815,78
10,6,0.001,0.9239926934242249,46
10,6,0.0001,0.872710645198822,40
10,6,1e-05,0.8910256624221802,36
10,6,1e-06,0.8882783651351929,26
10,6,1e-07,0.8956043720245361,33
10,7,0.1,0.38461539149284363,0
