kan_neurons,kan_grid,lamb,alpha,ACC,Conf_Mtx,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
3,3,1e-05,0.9,0.6948229074478149,"[[119  64]
 [ 48 136]]",28,0.012397249229252338,0.9876027703285217,,
3,3,1e-05,0.8,0.6948229074478149,"[[122  61]
 [ 51 133]]",19,0.022419612854719162,0.9775804281234741,,
3,3,1e-05,0.75,0.7057220339775085,"[[128  55]
 [ 53 131]]",14,0.029401063919067383,0.9705989360809326,,
3,3,1e-05,0.7,0.7057220339775085,"[[131  52]
 [ 56 128]]",47,0.007903045043349266,0.9920969009399414,,
3,3,1e-05,0.6,0.7057220339775085,"[[121  62]
 [ 46 138]]",29,0.023770781233906746,0.976229190826416,,
3,3,1e-05,0.5,0.692098081111908,"[[114  69]
 [ 44 140]]",11,0.05685347691178322,0.9431464672088623,,
3,3,1e-05,0.4,0.6948229074478149,"[[125  58]
 [ 54 130]]",14,0.036710452288389206,0.9632895588874817,,
3,3,1e-05,0.3,0.692098081111908,"[[122  61]
 [ 52 132]]",30,0.04307851940393448,0.9569214582443237,,
3,3,1e-05,0.25,0.7057220339775085,"[[125  58]
 [ 50 134]]",20,0.039915259927511215,0.9600847959518433,,
3,3,1e-05,0.2,0.6702997088432312,"[[118  65]
 [ 56 128]]",31,0.010269173420965672,0.9897307753562927,,
3,3,1e-05,0.1,0.692098081111908,"[[120  63]
 [ 50 134]]",24,0.030757544562220573,0.9692424535751343,,
3,3,1e-05,0.05,0.7084468603134155,"[[121  62]
 [ 45 139]]",19,0.01602175086736679,0.983978271484375,,
3,3,1e-05,0.01,0.7084468603134155,"[[126  57]
 [ 50 134]]",20,0.013372136279940605,0.9866278767585754,,
2,4,1e-07,0.9,0.6893733143806458,"[[123  60]
 [ 54 130]]",10,0.012117580510675907,0.9878824353218079,,
2,4,1e-07,0.8,0.7002724409103394,"[[124  59]
 [ 51 133]]",13,0.008380578830838203,0.9916194081306458,,
2,4,1e-07,0.75,0.7002724409103394,"[[131  52]
 [ 58 126]]",24,0.00232149800285697,0.9976784586906433,,
2,4,1e-07,0.7,0.7029972672462463,"[[121  62]
 [ 47 137]]",9,0.013207884505391121,0.9867920875549316,,
2,4,1e-07,0.6,0.7002724409103394,"[[125  58]
 [ 52 132]]",24,0.006297773215919733,0.993702232837677,,
