kan_neurons,kan_grid,lamb,alpha,RMSE,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
2,4,1e-05,0.9,0.25968465209007263,71,0.21804949641227722,0.7819504737854004,,
2,4,1e-05,0.8,0.22416594624519348,38,0.3886594772338867,0.6113405227661133,,
2,4,1e-05,0.75,0.24022775888442993,29,0.24328188598155975,0.7567181587219238,,
2,4,1e-05,0.7,0.2254437953233719,19,0.4463253617286682,0.5536746382713318,,
2,4,1e-05,0.6,0.20240609347820282,70,0.25598520040512085,0.7440147399902344,,
2,4,1e-05,0.5,0.2257539927959442,79,0.2612893879413605,0.7387105822563171,,
2,4,1e-05,0.4,0.23497997224330902,8,0.521575927734375,0.4784241020679474,,
2,4,1e-05,0.3,0.22859178483486176,68,0.23065195977687836,0.7693480253219604,,
2,4,1e-05,0.2,0.22419433295726776,29,0.35993123054504395,0.6400687098503113,,
2,4,1e-05,0.1,0.22268885374069214,24,0.2350417673587799,0.7649582624435425,,
2,4,1e-05,0.05,0.4250962436199188,74,0.005665600299835205,0.99433434009552,,
2,4,1e-05,0.01,0.5022338032722473,28,0.0036905386950820684,0.9963093996047974,,
3,5,0.0001,0.9,0.24948306381702423,79,0.3517674207687378,0.6482325792312622,,
3,5,0.0001,0.8,0.2217816412448883,25,0.2925223708152771,0.7074776291847229,,
3,5,0.0001,0.75,0.28558483719825745,73,0.484153687953949,0.515846312046051,,
3,5,0.0001,0.7,0.23330877721309662,47,0.20540323853492737,0.7945967316627502,,
3,5,0.0001,0.6,0.20604091882705688,27,0.5873915553092957,0.41260847449302673,,
3,5,0.0001,0.5,0.23214583098888397,26,0.49919411540031433,0.5008059144020081,,
3,5,0.0001,0.4,0.22791972756385803,17,0.44524404406547546,0.5547559857368469,,
3,5,0.0001,0.3,0.3284338712692261,28,0.38194841146469116,0.6180515885353088,,
3,5,0.0001,0.2,0.21643702685832977,27,0.4176473319530487,0.5823526382446289,,
3,5,0.0001,0.1,0.23279403150081635,79,0.5350903868675232,0.4649096131324768,,
3,5,0.0001,0.05,0.27491435408592224,24,0.26041990518569946,0.7395801544189453,,
3,5,0.0001,0.01,0.24051092565059662,79,0.07925146073102951,0.9207485318183899,,
1,6,1e-06,0.9,0.23493018746376038,79,0.06763222813606262,0.932367742061615,,
1,6,1e-06,0.8,0.32499486207962036,70,0.06316161155700684,0.9368384480476379,,
1,6,1e-06,0.75,0.22885066270828247,79,0.08574648946523666,0.9142535328865051,,
1,6,1e-06,0.7,0.23123815655708313,27,0.10065097361803055,0.89934903383255,,
1,6,1e-06,0.6,0.21618428826332092,65,0.06643655151128769,0.9335634112358093,,
1,6,1e-06,0.5,0.24289925396442413,41,0.09322470426559448,0.9067753553390503,,
1,6,1e-06,0.4,0.22747211158275604,19,0.1348685920238495,0.8651314377784729,,
1,6,1e-06,0.3,0.2668549418449402,16,0.11272834986448288,0.8872717022895813,,
1,6,1e-06,0.2,0.29519525170326233,27,0.06152133643627167,0.9384786486625671,,
1,6,1e-06,0.1,0.2577827274799347,73,0.12972718477249146,0.8702727556228638,,
1,6,1e-06,0.05,0.21882101893424988,18,0.21428780257701874,0.7857122421264648,,
1,6,1e-06,0.01,0.3243541121482849,56,0.00542068388313055,0.9945792555809021,,
7,4,1e-06,0.9,0.22099508345127106,71,0.19635836780071259,0.8036416172981262,,
