kan_neurons,kan_grid,lamb,cnn_bottleneck_dim,ACC,Conf_Mtx,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
12,8,0.001,1,0.9285714030265808,"[[410  26   4   1]
 [ 14 402   3   1]
 [  0   5  57   4]
 [  0   4  16 145]]",57,0.9878686666488647,0.012131301686167717,,
12,8,0.001,3,0.9230769276618958,"[[420  16   5   0]
 [ 22 385  13   0]
 [  0  10  54   2]
 [  0   2  14 149]]",37,0.9860817790031433,0.013918211683630943,,
12,8,0.001,6,0.9294871687889099,"[[411  28   1   1]
 [ 11 401   7   1]
 [  1   4  61   0]
 [  0   4  19 142]]",48,0.9828528761863708,0.01714717037975788,,
12,8,0.001,9,0.918498158454895,"[[406  32   2   1]
 [ 14 396   9   1]
 [  0   3  58   5]
 [  0   3  19 143]]",97,0.9888595938682556,0.0111404312774539,,
12,8,0.001,12,0.9258241653442383,"[[409  28   3   1]
 [ 10 407   2   1]
 [  0   7  59   0]
 [  0   4  25 136]]",15,0.8978660702705383,0.10213390737771988,,
12,8,0.001,15,0.9056776762008667,"[[398  40   2   1]
 [ 10 398  12   0]
 [  0   7  54   5]
 [  0   0  26 139]]",22,0.9987916350364685,0.0012083671754226089,,
12,8,0.001,18,0.9276556968688965,"[[418  18   4   1]
 [ 15 394  11   0]
 [  1   7  56   2]
 [  0   5  15 145]]",80,0.9982736706733704,0.001726300222799182,,
12,8,0.001,21,0.9175823926925659,"[[412  27   2   0]
 [ 14 391  15   0]
 [  0   4  58   4]
 [  0   1  23 141]]",44,0.9691870212554932,0.030812975019216537,,
12,8,0.001,24,0.9203296899795532,"[[413  23   4   1]
 [ 11 396  10   3]
 [  0   7  57   2]
 [  0   4  22 139]]",48,0.997096836566925,0.0029031620360910892,,
12,8,0.001,27,0.8919413685798645,"[[405  31   4   1]
 [ 22 373  24   1]
 [  0  10  54   2]
 [  0   3  20 142]]",51,0.991797685623169,0.008202309720218182,,
6,7,1e-05,1,0.9230769276618958,"[[404  30   6   1]
 [ 14 403   1   2]
 [  3   3  59   1]
 [  1   5  17 142]]",19,0.9671381711959839,0.03286181762814522,,
6,7,1e-05,2,0.877289354801178,"[[406  30   4   1]
 [ 27 369  22   2]
 [  0   9  49   8]
 [  1   3  27 134]]",24,0.860356330871582,0.13964363932609558,,
6,7,1e-05,3,0.8699633479118347,"[[392  45   4   0]
 [ 38 365  17   0]
 [  1   5  60   0]
 [  0   5  27 133]]",36,0.8187004923820496,0.18129950761795044,,
