kan_neurons,kan_grid,lamb,alpha,ACC,Conf_Mtx,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
12,8,0.001,0.9,0.9322344064712524,"[[404  33   3   1]
 [  6 409   3   2]
 [  0   7  59   0]
 [  1   4  14 146]]",27,0.9318366050720215,0.06816339492797852,,
12,8,0.001,0.8,0.9358974099159241,"[[410  28   2   1]
 [  9 407   3   1]
 [  1   8  57   0]
 [  0   3  14 148]]",25,0.9323340058326721,0.06766598671674728,,
12,8,0.001,0.75,0.9331501722335815,"[[415  24   1   1]
 [  8 400  10   2]
 [  0   5  61   0]
 [  0   6  16 143]]",40,0.9920226335525513,0.007977340370416641,,
12,8,0.001,0.7,0.9386447072029114,"[[411  24   5   1]
 [  5 412   2   1]
 [  1   6  56   3]
 [  0   4  15 146]]",56,0.9967092871665955,0.0032907251734286547,,
12,8,0.001,0.6,0.761904776096344,"[[334 101   5   1]
 [ 35 353  31   1]
 [  0  25  40   1]
 [  0  14  46 105]]",4,0.6721976399421692,0.3278024196624756,,
12,8,0.001,0.5,0.9441391825675964,"[[419  18   3   1]
 [  8 406   5   1]
 [  3   3  60   0]
 [  0   5  14 146]]",14,0.9728168249130249,0.027183188125491142,,
12,8,0.001,0.4,0.9331501722335815,"[[418  18   4   1]
 [ 13 398   4   5]
 [  2   4  60   0]
 [  0   5  17 143]]",22,0.9877104163169861,0.012289576232433319,,
12,8,0.001,0.3,0.9249083995819092,"[[409  26   5   1]
 [  7 402  10   1]
 [  1   6  55   4]
 [  0   6  15 144]]",14,0.8269577026367188,0.17304228246212006,,
12,8,0.001,0.25,0.9047619104385376,"[[406  32   2   1]
 [ 14 386  20   0]
 [  1   5  55   5]
 [  1   6  17 141]]",21,0.9653576612472534,0.034642305225133896,,
12,8,0.001,0.2,0.9166666865348816,"[[403  34   3   1]
 [ 15 400   4   1]
 [  0   6  60   0]
 [  0   6  21 138]]",6,0.8106597065925598,0.189340278506279,,
12,8,0.001,0.1,0.9322344064712524,"[[411  24   5   1]
 [  8 409   3   0]
 [  1  14  51   0]
 [  0   5  13 147]]",8,0.9472885131835938,0.05271148309111595,,
12,8,0.001,0.05,0.9395604729652405,"[[417  20   3   1]
 [  5 410   5   0]
 [  0   8  57   1]
 [  0   5  18 142]]",60,0.9996650815010071,0.00033490819623693824,,
12,8,0.001,0.01,0.9148351550102234,"[[404  34   2   1]
 [ 16 393  10   1]
 [  0   9  56   1]
 [  0   6  13 146]]",40,0.99726402759552,0.0027359817177057266,,
6,7,1e-05,0.9,0.8699633479118347,"[[399  37   4   1]
 [ 29 371  19   1]
 [  1  12  48   5]
 [  1   6  26 132]]",61,0.0863475501537323,0.9136524796485901,,
6,7,1e-05,0.8,0.9120879173278809,"[[407  29   4   1]
 [ 22 391   6   1]
 [  1   5  57   3]
 [  1   2  21 141]]",28,0.2327497899532318,0.7672501802444458,,
6,7,1e-05,0.75,0.9203296899795532,"[[405  28   7   1]
 [ 13 403   2   2]
 [  1   6  58   1]
 [  1   4  21 139]]",30,0.18859608471393585,0.8114039301872253,,
6,7,1e-05,0.7,0.9166666865348816,"[[406  31   3   1]
 [ 11 399   9   1]
 [  0   7  56   3]
 [  1   7  17 140]]",65,0.13717669248580933,0.8628233075141907,,
6,7,1e-05,0.6,0.9276556968688965,"[[415  23   2   1]
 [ 16 399   3   2]
 [  0   6  58   2]
 [  1   3  20 141]]",27,0.22180327773094177,0.7781966924667358,,
