cnn_blocks,dense_layers,_,RMSE,Best_Epoch
1,1,_,4.374844551086426,7
1,1,_,4.373193740844727,13
1,2,_,3.9591715335845947,56
1,3,_,4.43916654586792,62
2,1,_,3.721555233001709,18
2,2,_,3.7194623947143555,96
2,3,_,3.7420597076416016,145
3,1,_,3.7177276611328125,8
3,2,_,3.7400078773498535,10
3,3,_,3.7182226181030273,90
1,1,_,4.373892307281494,84
1,2,_,3.878385066986084,37
1,3,_,4.460822105407715,69
2,1,_,3.7232110500335693,15
2,2,_,3.7319846153259277,48
2,3,_,3.7586586475372314,110
3,1,_,3.721644163131714,7
3,2,_,3.7320876121520996,7
3,3,_,3.7287347316741943,23
