kan_neurons,kan_grid,lamb,RMSE,Best_Epoch
1,3,0.1,3.737635850906372,79
1,3,0.01,3.2775495052337646,76
1,3,0.001,3.3189048767089844,74
1,3,0.0001,3.2830817699432373,39
1,3,1e-05,3.2869150638580322,22
1,3,1e-06,3.2924156188964844,29
1,4,0.1,3.7344446182250977,58
1,4,0.01,3.2873804569244385,52
1,4,0.001,3.281661033630371,51
1,4,0.0001,3.3388447761535645,76
1,4,1e-05,3.371717929840088,44
1,4,1e-06,3.317722797393799,77
1,5,0.1,3.750418186187744,25
1,5,0.01,3.2789254188537598,60
1,5,0.001,3.3043856620788574,21
1,5,0.0001,3.3050765991210938,30
1,5,1e-05,3.3100039958953857,39
1,5,1e-06,3.281182050704956,30
1,6,0.1,3.728780746459961,26
1,6,0.01,3.3100433349609375,78
1,6,0.001,3.3986129760742188,42
1,6,0.0001,3.345275402069092,23
1,6,1e-05,3.3480165004730225,27
1,6,1e-06,3.3807005882263184,14
2,3,0.1,3.739041805267334,33
2,3,0.01,3.351179599761963,56
2,3,0.001,3.283839225769043,66
2,3,0.0001,3.396545886993408,19
2,3,1e-05,3.349637985229492,59
2,3,1e-06,3.374300956726074,42
2,4,0.1,3.74698543548584,50
2,4,0.01,3.335085391998291,63
2,4,0.001,3.2878987789154053,52
2,4,0.0001,3.348278284072876,29
2,4,1e-05,3.3460874557495117,46
2,4,1e-06,3.3017466068267822,40
2,5,0.1,3.75829815864563,12
2,5,0.01,3.3426425457000732,79
2,5,0.001,3.28713059425354,43
2,5,0.0001,3.243856191635132,26
2,5,1e-05,3.275663375854492,55
2,5,1e-06,3.258681058883667,26
2,6,0.1,3.741159200668335,14
2,6,0.01,3.2579822540283203,79
2,6,0.001,3.305694818496704,37
2,6,0.0001,3.3236491680145264,60
2,6,1e-05,3.269278049468994,42
2,6,1e-06,3.329993724822998,71
3,3,0.1,3.747328996658325,30
3,3,0.01,3.238795518875122,33
3,3,0.001,3.286196708679199,55
3,3,0.0001,3.3133420944213867,49
3,3,1e-05,3.306148052215576,77
3,3,1e-06,3.2988204956054688,79
3,4,0.1,3.747846841812134,76
3,4,0.01,3.2889091968536377,54
3,4,0.001,3.2783069610595703,29
3,4,0.0001,3.2532920837402344,29
3,4,1e-05,3.2380731105804443,45
3,4,1e-06,3.280231475830078,35
3,5,0.1,3.7446258068084717,14
3,5,0.01,3.243985176086426,22
3,5,0.001,3.2906718254089355,27
3,5,0.0001,3.310225248336792,60
3,5,1e-05,3.3256843090057373,53
3,5,1e-06,3.265650749206543,35
3,6,0.1,3.7450649738311768,10
3,6,0.01,3.263556480407715,22
3,6,0.001,3.3001482486724854,17
3,6,0.0001,3.3122594356536865,22
3,6,1e-05,3.267327070236206,34
3,6,1e-06,3.2900028228759766,48
4,3,0.1,3.731067657470703,20
4,3,0.01,3.344217538833618,61
4,3,0.001,3.2532074451446533,43
4,3,0.0001,3.2940406799316406,43
4,3,1e-05,3.265753746032715,41
4,3,1e-06,3.2653582096099854,39
4,4,0.1,3.7431883811950684,11
4,4,0.01,3.2385237216949463,25
4,4,0.001,3.281696081161499,33
4,4,0.0001,3.307047128677368,15
4,4,1e-05,3.296785354614258,21
4,4,1e-06,3.290656089782715,14
4,5,0.1,3.7304091453552246,74
4,5,0.01,3.253201484680176,43
4,5,0.001,3.2797012329101562,37
4,5,0.0001,3.27128529548645,16
4,5,1e-05,3.252086877822876,29
4,5,1e-06,3.286238431930542,28
4,6,0.1,3.7344460487365723,37
4,6,0.01,3.2877020835876465,38
4,6,0.001,3.2799408435821533,43
4,6,0.0001,3.273242473602295,25
4,6,1e-05,3.278482437133789,29
4,6,1e-06,3.2695584297180176,23
5,3,0.1,3.7493510246276855,28
5,3,0.01,3.255070686340332,57
5,3,0.001,3.2393290996551514,29
5,3,0.0001,3.2630372047424316,53
5,3,1e-05,3.269099473953247,28
5,3,1e-06,3.2648684978485107,39
5,4,0.1,3.7471840381622314,30
5,4,0.01,3.2428603172302246,33
5,4,0.001,3.276022434234619,34
5,4,0.0001,3.251465082168579,10
5,4,1e-05,3.240816354751587,19
5,4,1e-06,3.26442289352417,28
