kan_neurons,kan_grid,lamb,RMSE,Best_Epoch
1,3,0.1,0.7032023668289185,59
1,3,0.01,0.40293148159980774,59
1,3,0.001,0.2371758222579956,31
1,3,0.0001,0.233123779296875,51
1,3,1e-05,0.23996663093566895,42
1,3,1e-06,0.23516103625297546,55
1,4,0.1,0.6612325310707092,58
1,4,0.01,0.407235324382782,53
1,4,0.001,0.22740451991558075,58
1,4,0.0001,0.22470901906490326,59
1,4,1e-05,0.2643108367919922,55
1,4,1e-06,0.25375449657440186,48
1,5,0.1,0.69020676612854,56
1,5,0.01,0.3668091893196106,59
1,5,0.001,0.2251933217048645,59
1,5,0.0001,0.22378432750701904,45
1,5,1e-05,0.23133555054664612,29
1,5,1e-06,0.21989929676055908,32
1,6,0.1,0.7479545474052429,59
1,6,0.01,0.4104301333427429,24
1,6,0.001,0.2237129509449005,59
1,6,0.0001,0.21635738015174866,56
1,6,1e-05,0.23309046030044556,54
1,6,1e-06,0.17915214598178864,56
2,3,0.1,0.6500396132469177,45
2,3,0.01,0.25818341970443726,54
2,3,0.001,0.24649208784103394,32
2,3,0.0001,0.20751959085464478,49
2,3,1e-05,0.24701516330242157,54
2,3,1e-06,0.22355447709560394,55
2,4,0.1,0.6577951908111572,57
2,4,0.01,0.2531629800796509,59
2,4,0.001,0.21797478199005127,59
2,4,0.0001,0.2246561348438263,58
2,4,1e-05,0.23600637912750244,34
2,4,1e-06,0.22343041002750397,36
2,5,0.1,0.6991989016532898,39
2,5,0.01,0.24658644199371338,55
2,5,0.001,0.21549460291862488,54
2,5,0.0001,0.22515442967414856,27
2,5,1e-05,0.22407302260398865,52
2,5,1e-06,0.22171373665332794,29
2,6,0.1,0.6750257015228271,58
2,6,0.01,0.24460063874721527,59
2,6,0.001,0.2341061234474182,56
2,6,0.0001,0.20496389269828796,58
2,6,1e-05,0.22274141013622284,32
2,6,1e-06,0.20721445977687836,57
3,3,0.1,0.6689432263374329,59
3,3,0.01,0.25766676664352417,55
3,3,0.001,0.24966438114643097,27
3,3,0.0001,0.20388981699943542,54
3,3,1e-05,0.21981051564216614,35
3,3,1e-06,0.21698501706123352,57
3,4,0.1,0.6679539084434509,59
3,4,0.01,0.25035232305526733,57
3,4,0.001,0.20776242017745972,52
3,4,0.0001,0.21594277024269104,52
3,4,1e-05,0.24114786088466644,14
3,4,1e-06,0.22105450928211212,59
3,5,0.1,0.6758590340614319,59
3,5,0.01,0.24651557207107544,54
3,5,0.001,0.22246737778186798,49
3,5,0.0001,0.24369263648986816,29
3,5,1e-05,0.2504504323005676,34
3,5,1e-06,0.23792317509651184,39
3,6,0.1,0.6717747449874878,59
3,6,0.01,0.3160034120082855,20
3,6,0.001,0.2997627854347229,39
3,6,0.0001,0.2328362613916397,29
3,6,1e-05,0.23537547886371613,37
3,6,1e-06,0.2203848958015442,50
4,3,0.1,0.6691877841949463,59
4,3,0.01,0.2611146867275238,51
4,3,0.001,0.22111693024635315,59
4,3,0.0001,0.2187134474515915,46
4,3,1e-05,0.24289236962795258,53
4,3,1e-06,0.2278059870004654,39
4,4,0.1,0.6231342554092407,55
4,4,0.01,0.2508532702922821,26
4,4,0.001,0.21670034527778625,59
4,4,0.0001,0.222016841173172,59
4,4,1e-05,0.2761895954608917,58
4,4,1e-06,0.2435002326965332,10
4,5,0.1,0.6663174033164978,56
4,5,0.01,0.25560441613197327,24
4,5,0.001,0.21480406820774078,59
4,5,0.0001,0.21604259312152863,31
4,5,1e-05,0.23526594042778015,33
4,5,1e-06,0.2230028659105301,59
4,6,0.1,0.6735830307006836,59
4,6,0.01,0.24398474395275116,25
4,6,0.001,0.2194068282842636,58
4,6,0.0001,0.23440153896808624,58
4,6,1e-05,0.24258258938789368,59
4,6,1e-06,0.24540534615516663,44
5,3,0.1,0.6479876637458801,57
5,3,0.01,0.3393709361553192,32
5,3,0.001,0.20723523199558258,37
