kan_neurons,kan_grid,lamb,hidden_dim,ACC,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
5,4,0.0001,128,0.241009712,38,0.001554499,0.998445511,"savingsDeposits: 0.47
loansLeases: 0.41
tradeCurrencies: 0.41","checkableDeposits: 0.75
Ex1: 0.53
currency: 0.46"
5,4,0.0001,128,0.233757779,36,0.001678628,0.998321354,"savingsDeposits: 0.47
loansLeases: 0.41
tradeCurrencies: 0.41","checkableDeposits: 0.45
loansLeases: 0.28
3M-Rate-SecondaryMarket: 0.25"
5,4,0.0001,64,0.247760609,34,0.00194309,0.998056948,"savingsDeposits: 0.44
loansLeases: 0.40
tradeCurrencies: 0.40","loansLeases: 0.01
1Y-CMaturityRate: 0.00
3M-Rate-SecondaryMarket: 0.00"
5,4,0.0001,64,0.24165453,20,0.001843205,0.998156786,"savingsDeposits: 0.45
loansLeases: 0.41
tradeCurrencies: 0.40","loansLeases: 0.18
savingsDeposits: 0.03
1Y-CMaturityRate: 0.00"
5,4,0.0001,32,0.227024525,26,0.003011307,0.996988714,"savingsDeposits: 0.45
loansLeases: 0.40
tradeCurrencies: 0.40","loansLeases: 0.25
3Y-CMaturityRate: 0.24
demandDeposits: 0.12"
5,4,0.0001,32,0.243705466,25,0.002809089,0.997190893,"savingsDeposits: 0.46
loansLeases: 0.40
tradeCurrencies: 0.40","loansLeases: 0.25
3M-Rate-SecondaryMarket: 0.03
1Y-CMaturityRate: 0.02"
5,4,0.0001,16,0.245047554,14,0.002633468,0.997366488,"savingsDeposits: 0.46
loansLeases: 0.41
tradeCurrencies: 0.40","loansLeases: 0.28
savingsDeposits: 0.07
demandDeposits: 0.03"
5,4,0.0001,16,0.239099041,45,0.002630734,0.997369289,"savingsDeposits: 0.46
tradeCurrencies: 0.40
loansLeases: 0.40","loansLeases: 0.36
3M-Rate-SecondaryMarket: 0.26
savingsDeposits: 0.03"
5,4,0.0001,8,0.246821165,68,0.001838153,0.998161852,"savingsDeposits: 0.45
tradeCurrencies: 0.41
loansLeases: 0.40","tradeCurrencies: 0.51
loansLeases: 0.21
savingsDeposits: 0.17"
5,4,0.0001,8,0.24020195,26,0.0020344,0.997965574,"savingsDeposits: 0.45
tradeCurrencies: 0.39
loansLeases: 0.39","tradeCurrencies: 0.02
loansLeases: 0.02
savingsDeposits: 0.01"
6,5,1.00E-05,128,0.248224407,40,0.002519197,0.99748081,"checkableDeposits: 0.51
tradeCurrencies: 0.36
loansLeases: 0.30","loansLeases: 0.18
3M-Rate-SecondaryMarket: 0.03
checkableDeposits: 0.03"
