kan_neurons,kan_grid,lamb,hidden_dim,ACC,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
5,4,0.0001,128,0.2473018914461136,56,0.00179128791205585,0.9982087016105652,"savingsDeposits: 0.46
loansLeases: 0.40
tradeCurrencies: 0.40","checkableDeposits: 0.57
3M-Rate-SecondaryMarket: 0.52
currency: 0.25"
5,4,0.0001,128,0.22494399547576904,33,0.0019359959987923503,0.9980640411376953,"savingsDeposits: 0.46
tradeCurrencies: 0.40
loansLeases: 0.40","checkableDeposits: 0.57
currency: 0.27
3M-Rate-SecondaryMarket: 0.26"
5,4,0.0001,64,0.2444329410791397,45,0.0017731141997501254,0.9982268810272217,"savingsDeposits: 0.45
tradeCurrencies: 0.40
loansLeases: 0.40","loansLeases: 0.03
3M-Rate-SecondaryMarket: 0.01
1Y-CMaturityRate: 0.01"
5,4,0.0001,64,0.24228718876838684,31,0.0023969721514731646,0.9976029992103577,"savingsDeposits: 0.45
tradeCurrencies: 0.40
loansLeases: 0.40","3M-Rate-SecondaryMarket: 0.02
loansLeases: 0.02
1Y-CMaturityRate: 0.01"
5,4,0.0001,32,0.23013822734355927,37,0.0033862979616969824,0.9966136813163757,"savingsDeposits: 0.45
tradeCurrencies: 0.40
loansLeases: 0.39","loansLeases: 0.17
3M-Rate-SecondaryMarket: 0.03
1Y-CMaturityRate: 0.01"
5,4,0.0001,32,0.23920176923274994,27,0.002906067529693246,0.997093915939331,"savingsDeposits: 0.46
tradeCurrencies: 0.40
loansLeases: 0.40","loansLeases: 0.25
demandDeposits: 0.06
3Y-CMaturityRate: 0.06"
5,4,0.0001,16,0.22238145768642426,14,0.0037181712687015533,0.9962818026542664,"savingsDeposits: 0.45
loansLeases: 0.40
tradeCurrencies: 0.40","loansLeases: 0.28
savingsDeposits: 0.07
demandDeposits: 0.03"
5,4,0.0001,16,0.22883668541908264,28,0.0025319557171314955,0.9974680542945862,"savingsDeposits: 0.45
tradeCurrencies: 0.40
loansLeases: 0.39","loansLeases: 0.32
savingsDeposits: 0.06
3M-Rate-SecondaryMarket: 0.03"
5,4,0.0001,8,0.2317219227552414,23,0.002040378749370575,0.9979596138000488,"savingsDeposits: 0.44
tradeCurrencies: 0.40
loansLeases: 0.39","3M-Rate-SecondaryMarket: 0.02
1Y-CMaturityRate: 0.01
loansLeases: 0.00"
5,4,0.0001,8,0.24355153739452362,37,0.0017641568556427956,0.998235821723938,"savingsDeposits: 0.44
tradeCurrencies: 0.40
loansLeases: 0.39","tradeCurrencies: 0.38
loansLeases: 0.12
savingsDeposits: 0.08"
