kan_neurons,kan_grid,lamb,embed_dim,ACC,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
5,4,0.0001,64,0.24480152130126953,39,0.004996350035071373,0.9950037002563477,"savingsDeposits: 0.47
tradeCurrencies: 0.40
loansLeases: 0.40","Ex1: 0.57
tradeCurrencies: 0.37
savingsDeposits: 0.27"
5,4,0.0001,64,0.25182875990867615,36,0.09469439089298248,0.9053056240081787,"savingsDeposits: 0.47
loansLeases: 0.41
tradeCurrencies: 0.40","loansLeases: 0.08
checkableDeposits: 0.02
savingsDeposits: 0.02"
5,4,0.0001,32,0.22989331185817719,51,0.41314321756362915,0.5868567824363708,"savingsDeposits: 0.47
tradeCurrencies: 0.40
loansLeases: 0.40","loansLeases: 0.29
savingsDeposits: 0.06
3M-Rate-SecondaryMarket: 0.02"
5,4,0.0001,32,0.22989331185817719,51,0.41314321756362915,0.5868567824363708,"savingsDeposits: 0.47
tradeCurrencies: 0.40
loansLeases: 0.40","loansLeases: 0.29
savingsDeposits: 0.06
3M-Rate-SecondaryMarket: 0.02"
5,4,0.0001,16,0.22848239541053772,33,0.23564685881137848,0.7643532156944275,"savingsDeposits: 0.46
tradeCurrencies: 0.39
loansLeases: 0.36","tradeCurrencies: 0.31
loansLeases: 0.23
savingsDeposits: 0.17"
5,4,0.0001,16,0.23293769359588623,20,0.2434411495923996,0.7565588355064392,"savingsDeposits: 0.47
tradeCurrencies: 0.40
loansLeases: 0.38","Ex1: 0.35
loansLeases: 0.30
savingsDeposits: 0.16"
6,5,1e-05,64,0.2855335772037506,51,0.04480883479118347,0.9551911950111389,"checkableDeposits: 0.52
tradeCurrencies: 0.36
loansLeases: 0.30","loansLeases: 0.25
savingsDeposits: 0.09
demandDeposits: 0.03"
6,5,1e-05,64,0.2855335772037506,51,0.04480883479118347,0.9551911950111389,"checkableDeposits: 0.52
tradeCurrencies: 0.36
loansLeases: 0.30","loansLeases: 0.25
savingsDeposits: 0.09
demandDeposits: 0.03"
6,5,1e-05,32,0.24562862515449524,59,0.032247480005025864,0.9677524566650391,"checkableDeposits: 0.52
tradeCurrencies: 0.36
loansLeases: 0.30","loansLeases: 0.15
savingsDeposits: 0.05
3M-Rate-SecondaryMarket: 0.04"
6,5,1e-05,32,0.2365335077047348,24,0.012703944928944111,0.9872960448265076,"checkableDeposits: 0.52
tradeCurrencies: 0.35
loansLeases: 0.29","loansLeases: 0.20
savingsDeposits: 0.06
3M-Rate-SecondaryMarket: 0.02"
6,5,1e-05,16,0.24088899791240692,51,0.10360046476125717,0.8963995575904846,"checkableDeposits: 0.51
tradeCurrencies: 0.35
loansLeases: 0.29","loansLeases: 0.35
tradeCurrencies: 0.10
currency: 0.07"
6,5,1e-05,16,0.22315388917922974,39,0.2672792673110962,0.7327207326889038,"checkableDeposits: 0.51
tradeCurrencies: 0.35
loansLeases: 0.29","3M-Rate-SecondaryMarket: 0.38
loansLeases: 0.18
currency: 0.09"
1,5,1e-05,64,0.22649401426315308,51,0.0003182708169333637,0.9996817111968994,"currency: 0.32
loansLeases: 0.31
bankCredit: 0.29","3M-Rate-SecondaryMarket: 0.04
loansLeases: 0.00
1Y-CMaturityRate: 0.00"
1,5,1e-05,64,0.23852556943893433,49,0.0002895686193369329,0.9997104406356812,"currency: 0.32
loansLeases: 0.31
bankCredit: 0.29","loansLeases: 0.18
currency: 0.03
savingsDeposits: 0.03"
1,5,1e-05,32,0.2185816466808319,21,0.022014571353793144,0.9779855012893677,"currency: 0.32
loansLeases: 0.31
bankCredit: 0.29","3M-Rate-SecondaryMarket: 0.19
1Y-CMaturityRate: 0.14
loansLeases: 0.13"
1,5,1e-05,32,0.2185816466808319,21,0.022014571353793144,0.9779855012893677,"currency: 0.32
loansLeases: 0.31
bankCredit: 0.29","3M-Rate-SecondaryMarket: 0.19
1Y-CMaturityRate: 0.14
loansLeases: 0.13"
1,5,1e-05,16,0.24395693838596344,59,0.4600154161453247,0.5399845838546753,"currency: 0.32
loansLeases: 0.30
bankCredit: 0.28","loansLeases: 0.04
1Y-CMaturityRate: 0.00
savingsDeposits: 0.00"
1,5,1e-05,16,0.24121513962745667,70,0.4268905818462372,0.5731093287467957,"currency: 0.32
loansLeases: 0.30
bankCredit: 0.28","loansLeases: 0.04
1Y-CMaturityRate: 0.00
savingsDeposits: 0.00"
1,5,1e-05,16,0.23787346482276917,70,0.2007502317428589,0.7992497682571411,"currency: 0.32
loansLeases: 0.30
bankCredit: 0.28","loansLeases: 0.07
savingsDeposits: 0.01
demandDeposits: 0.00"
6,7,1e-05,64,0.23458467423915863,36,0.09142512828111649,0.9085748791694641,"checkableDeposits: 0.58
federalFunds: 0.55
3M-Rate-AuctionAverage: 0.42","loansLeases: 0.14
1Y-CMaturityRate: 0.08
demandDeposits: 0.06"
6,7,1e-05,64,0.24098870158195496,35,0.09267868101596832,0.9073212742805481,"checkableDeposits: 0.58
federalFunds: 0.55
3M-Rate-AuctionAverage: 0.42","loansLeases: 0.14
1Y-CMaturityRate: 0.08
demandDeposits: 0.07"
