kan_neurons,kan_grid,lamb,alpha,RMSE,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
5,4,0.0001,0.9,0.2824234664440155,28,0.13202397525310516,0.8679760694503784,,
5,4,0.0001,0.8,0.281978040933609,51,0.17065374553203583,0.829346239566803,,
5,4,0.0001,0.75,0.2541979253292084,19,0.12353433668613434,0.8764656782150269,,
5,4,0.0001,0.7,0.2833252549171448,22,0.16367998719215393,0.8363199830055237,,
5,4,0.0001,0.6,0.22125422954559326,31,0.1703607141971588,0.8296393156051636,,
5,4,0.0001,0.5,0.25388988852500916,24,0.15169155597686768,0.8483084440231323,,
5,4,0.0001,0.4,0.26126912236213684,18,0.13807711005210876,0.8619229197502136,,
5,4,0.0001,0.3,0.20364317297935486,18,0.27712705731391907,0.7228729724884033,,
5,4,0.0001,0.2,0.24913448095321655,19,0.4000040292739868,0.5999959707260132,,
5,4,0.0001,0.1,0.24787816405296326,16,0.44098350405693054,0.5590164065361023,,
5,4,0.0001,0.05,0.20850415527820587,28,0.4127265214920044,0.5872735381126404,,
5,4,0.0001,0.01,0.2317018210887909,8,0.30484437942504883,0.6951556205749512,,
6,5,1e-05,0.9,0.2902772128582001,31,0.16924728453159332,0.8307526707649231,,
6,5,1e-05,0.8,0.29425498843193054,20,0.15322403609752655,0.8467759490013123,,
6,5,1e-05,0.75,0.2628832757472992,15,0.20098266005516052,0.7990173697471619,,
6,5,1e-05,0.7,0.2280201017856598,17,0.20371288061141968,0.7962871789932251,,
6,5,1e-05,0.6,0.23393379151821136,12,0.20765236020088196,0.7923476696014404,,
6,5,1e-05,0.5,0.24825920164585114,12,0.19064712524414062,0.8093528747558594,,
6,5,1e-05,0.4,0.2178720086812973,11,0.2926768958568573,0.7073230743408203,,
6,5,1e-05,0.3,0.22390754520893097,9,0.3954160213470459,0.6045839786529541,,
6,5,1e-05,0.2,0.24576692283153534,8,0.3761146068572998,0.6238853931427002,,
6,5,1e-05,0.1,0.25615668296813965,4,0.398852676153183,0.6011473536491394,,
6,5,1e-05,0.05,0.23768477141857147,8,0.3217059373855591,0.6782940626144409,,
6,5,1e-05,0.01,0.24577629566192627,9,0.221757709980011,0.7782423496246338,,
1,6,1e-06,0.9,0.37665337324142456,37,0.011677965521812439,0.9883220195770264,,
1,6,1e-06,0.8,0.3804023861885071,33,0.010854423977434635,0.9891455769538879,,
1,6,1e-06,0.75,0.4101888835430145,44,0.0003293729678262025,0.999670684337616,,
1,6,1e-06,0.7,0.4611798822879791,45,0.0006117798038758337,0.9993882179260254,,
1,6,1e-06,0.6,0.4045065939426422,13,0.0015941525343805552,0.9984058141708374,,
1,6,1e-06,0.5,0.3985413908958435,33,0.007365375757217407,0.9926345944404602,,
1,6,1e-06,0.4,0.4007520377635956,9,0.009371061809360981,0.9906289577484131,,
1,6,1e-06,0.3,0.3344673216342926,13,0.06828203052282333,0.9317179918289185,,
1,6,1e-06,0.2,0.28017768263816833,7,0.20859265327453613,0.7914072871208191,,
1,6,1e-06,0.1,0.22773894667625427,7,0.31359702348709106,0.6864029765129089,,
1,6,1e-06,0.05,0.24157950282096863,8,0.24291442334651947,0.7570855617523193,,
1,6,1e-06,0.01,0.2845836281776428,4,0.1017104983329773,0.8982895016670227,,
7,4,1e-06,0.9,0.23979409039020538,29,0.08672059327363968,0.9132794141769409,,
7,4,1e-06,0.8,0.2601880729198456,20,0.15347327291965485,0.8465267419815063,,
7,4,1e-06,0.75,0.265715092420578,21,0.13781744241714478,0.8621825575828552,,
7,4,1e-06,0.7,0.24894879758358002,35,0.15160374343395233,0.8483962416648865,,
7,4,1e-06,0.6,0.2591503858566284,24,0.13097181916236877,0.8690281510353088,,
7,4,1e-06,0.5,0.2620956599712372,27,0.12135549634695053,0.8786445260047913,,
7,4,1e-06,0.4,0.2810751497745514,13,0.24598141014575958,0.7540185451507568,,
7,4,1e-06,0.3,0.25487852096557617,7,0.32473209500312805,0.6752679347991943,,
7,4,1e-06,0.2,0.2562268078327179,6,0.30350151658058167,0.6964985132217407,,
7,4,1e-06,0.1,0.2554466426372528,9,0.3179360330104828,0.6820639967918396,,
7,4,1e-06,0.05,0.25125831365585327,6,0.29408836364746094,0.7059116363525391,,
7,4,1e-06,0.01,0.2322872281074524,11,0.2008109837770462,0.7991889715194702,,
