kan_neurons,kan_grid,lamb,_,ACC,Conf_Mtx,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
12,8,0.001,_,0.48443225026130676,"[[277  85  45  34]
 [114 146 116  44]
 [ 10   7  25  24]
 [ 14  19  51  81]]",17,0.99950110912323,0.0004989283042959869,"V22: 0.88
V7: 0.87
V5: 0.84","V22: 0.31
V17: 0.31
V20: 0.30"
12,8,0.001,_,0.4496336877346039,"[[231 108  72  30]
 [136 140  97  47]
 [  9   8  34  15]
 [ 17  16  46  86]]",17,0.9626203775405884,0.03737960010766983,"V7: 0.83
V14: 0.79
V22: 0.77","V3: 0.40
V5: 0.38
V4: 0.37"
5,7,1e-07,_,0.6382783651351929,"[[309 111  15   6]
 [ 82 272  36  30]
 [ 11  20  20  15]
 [  5  27  37  96]]",17,0.824457049369812,0.1755429208278656,"V10: 0.47
V13: 0.46
V3: 0.41","V5: 0.53
V4: 0.40
V10: 0.37"
5,7,1e-07,_,0.6382783651351929,"[[309 111  15   6]
 [ 82 272  36  30]
 [ 11  20  20  15]
 [  5  27  37  96]]",17,0.824457049369812,0.1755429208278656,"V10: 0.47
V13: 0.46
V3: 0.41","V5: 0.53
V4: 0.40
V10: 0.37"
7,8,0.001,_,0.7051281929016113,"[[364  65   5   7]
 [ 45 284  51  40]
 [  0  27  17  22]
 [  0  21  39 105]]",9,0.9998306035995483,0.00016932676953729242,"V11: 0.61
V12: 0.56
V5: 0.49","V3: 0.39
V5: 0.38
V4: 0.37"
7,8,0.001,_,0.7234432101249695,"[[369  61   5   6]
 [ 43 301  33  43]
 [  0  35  15  16]
 [  0  27  33 105]]",17,0.998924970626831,0.001074971747584641,"V11: 0.63
V12: 0.56
V15: 0.53","V19: 0.37
V23: 0.36
V3: 0.35"
9,8,0.001,_,0.5549450516700745,"[[234 168  21  18]
 [ 63 280  45  32]
 [ 10  28  10  18]
 [  5  47  31  82]]",7,0.9994670748710632,0.0005329191917553544,"V9: 0.81
V11: 0.78
V4: 0.71","V3: 0.56
V5: 0.56
V4: 0.54"
9,8,0.001,_,0.5668498277664185,"[[305  98  18  20]
 [111 226  42  41]
 [ 21  22  13  10]
 [ 17  46  27  75]]",20,0.9658169150352478,0.03418310359120369,"V9: 0.86
V11: 0.80
V7: 0.78","V5: 0.51
V3: 0.50
V4: 0.48"
9,8,0.001,_,0.5421245694160461,"[[241 161  23  16]
 [ 74 261  47  38]
 [ 13  22  11  20]
 [  8  44  34  79]]",6,0.9995622038841248,0.0004378018493298441,"V11: 0.81
V9: 0.80
V7: 0.71","V3: 0.56
V5: 0.55
V4: 0.54"
9,8,0.001,_,0.5421245694160461,"[[241 161  23  16]
 [ 74 261  47  38]
 [ 13  22  11  20]
 [  8  44  34  79]]",6,0.9995622038841248,0.0004378018493298441,"V11: 0.81
V9: 0.80
V7: 0.71","V3: 0.56
V5: 0.55
V4: 0.54"
